product_id,product_name,combined_text_normalized,stratum,product_type_guess,shortlist_count,rule_status_at_select,status,classified,needs_human_review,final_category_id,final_source,confidence,run_id,deepest_stage,reached_p1,reached_2a,reached_2b,reached_judge,final_explanation
113,НАФТИФИН 10мг/мл 30мл р-р д/наружного применения БиоФармКомбинат ООО,НАФТИФИН 10мг/мл 30мл р-р д/наружного применения БиоФармКомбинат ООО | БиоФармКомбинат ООО | БиоФармКомбинат ООО,dirty_text,other,5,needs_llm,classified,True,False,567,llm,0.92,508,primary_llm,True,False,False,False,"Препарат Нафтифин является противогрибковым средством для наружного применения, что точно соответствует категории «Грибковые заболевания кожи противогрибковые средства наружно». Хотя эвристический движок предложил категорию с остеоартритом, активное вещество указывает на антимико"
298,ЮНОНА СПИРАЛЬ ВНУТРИМАТОЧНАЯ БИО-Т,ЮНОНА СПИРАЛЬ ВНУТРИМАТОЧНАЯ БИО-Т | СИМУРГ МЕДИЦИНСКОЕ ПРЕДПРИЯТИЕ ЗАО | СИМУРГ МЕДИЦИНСКОЕ ПРЕДПРИЯТИЕ ЗАО,dirty_text,other,5,needs_llm,classified,True,False,1143,fallback_2b,0.65,505,fallback_2b,True,True,True,False,"Товар является внутриматочной спиралью, которая относится к гинекологическим устройствам и контрацепции. В предоставленном shortlist отсутствуют специализированные категории для этого типа изделий, поэтому выбрана наиболее близкая по ветке «Медицинские изделия» категория «Бандажи"
1560,ЧИККО СОСКА WELL-BEING ЛАТЕКСНАЯ СРЕДНИЙ ПОТОК 2МЕС+ №2 310205079,ЧИККО СОСКА WELL-BEING ЛАТЕКСНАЯ СРЕДНИЙ ПОТОК 2МЕС+ №2 310205079 | Chicco | Chicco,dirty_text,other,5,needs_llm,needs_human_review,False,True,,system,,495,judge,True,True,True,True,
1561,ЧИККО СОСКА WELL-BEING ЛАТЕКСНАЯ БЫСТРЫЙ ПОТОК 4МЕС+ №2 310205156/310205077,ЧИККО СОСКА WELL-BEING ЛАТЕКСНАЯ БЫСТРЫЙ ПОТОК 4МЕС+ №2 310205156/310205077 | Chicco | Chicco,dirty_text,other,5,needs_llm,needs_human_review,False,True,,system,,500,fallback_2a,True,True,False,False,
1562,ЧИККО СОСКА NATURAL FEELING СИЛИКОНОВАЯ С ФЛЕКСОРАМИ СРЕДНИЙ ПОТОК 2МЕС+ №1 310204084,ЧИККО СОСКА NATURAL FEELING СИЛИКОНОВАЯ С ФЛЕКСОРАМИ СРЕДНИЙ ПОТОК 2МЕС+ №1 310204084 | Chicco | Chicco,dirty_text,other,5,needs_llm,needs_human_review,False,True,,system,,497,judge,True,True,True,True,
1578,ЧИККО НОЖНИЦЫ ДЕТСКИЕ В ЧЕХЛЕ С ЗАКРУГЛЕННЫМИ КОНЦАМИ РОЗОВЫЕ 320611028,ЧИККО НОЖНИЦЫ ДЕТСКИЕ В ЧЕХЛЕ С ЗАКРУГЛЕННЫМИ КОНЦАМИ РОЗОВЫЕ 320611028 | Chicco | Chicco,dirty_text,other,5,needs_llm,needs_human_review,False,True,,system,,507,fallback_2a,True,True,False,False,
1579,ЧИККО НОЖНИЦЫ ДЕТСКИЕ В ЧЕХЛЕ С ЗАКРУГЛЕННЫМИ КОНЦАМИ ГОЛУБЫЕ 320611027,ЧИККО НОЖНИЦЫ ДЕТСКИЕ В ЧЕХЛЕ С ЗАКРУГЛЕННЫМИ КОНЦАМИ ГОЛУБЫЕ 320611027 | ARTSANA S.P.A | ARTSANA S.P.A,dirty_text,other,5,needs_llm,needs_human_review,False,True,,system,,497,judge,True,True,True,True,
1594,ЧИККО HAPPY HANDS НАБОР МАНИКЮРНЫЙ ДЕТСКИЙ ДЛЯ УХОДА ЗА РУКАМИ 0МЕС+ РОЗОВЫЙ 320611029,ЧИККО HAPPY HANDS НАБОР МАНИКЮРНЫЙ ДЕТСКИЙ ДЛЯ УХОДА ЗА РУКАМИ 0МЕС+ РОЗОВЫЙ 320611029 | Артсана СПА | Артсана СПА,dirty_text,other,5,needs_llm,needs_human_review,False,True,,system,,496,judge,True,True,True,True,
1595,ЧИККО HAPPY HANDS НАБОР МАНИКЮРНЫЙ ДЕТСКИЙ ДЛЯ УХОДА ЗА РУКАМИ 0МЕС+ ГОЛУБОЙ 320611030,ЧИККО HAPPY HANDS НАБОР МАНИКЮРНЫЙ ДЕТСКИЙ ДЛЯ УХОДА ЗА РУКАМИ 0МЕС+ ГОЛУБОЙ 320611030 | Артсана СПА | Артсана СПА,dirty_text,other,5,needs_llm,needs_human_review,False,True,,system,,502,judge,True,True,True,True,
1655,"ЧАЙ ДЕТСКИЙ ТРАВЯНОЙ ЗВОНКИЙ МАЛЫШ Ф/П 1,5Г №20 ГРИН САЙД","ЧАЙ ДЕТСКИЙ ТРАВЯНОЙ ЗВОНКИЙ МАЛЫШ Ф/П 1,5Г №20 ГРИН САЙД | ГРИН САЙД ООО | ГРИН САЙД ООО",dirty_text,other,4,needs_llm,needs_human_review,False,True,,system,,497,judge,True,True,True,True,
3173,ФЛЕМОКСИН СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 500МГ №20,ФЛЕМОКСИН СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 500МГ №20 | АСТЕЛЛАС ФАРМА ЮРОП Б.В./ОРТАТ АО | АСТЕЛЛАС ФАРМА ЮРОП Б.В./ОРТАТ АО,dirty_text,other,5,needs_llm,classified,True,False,606,fallback_2b,0.65,507,fallback_2b,True,True,True,False,"Товар является системным антибиотиком (амоксициллин), тогда как выбранная категория относится к местным антисептикам для полости рта. Несмотря на несоответствие механизма действия и формы выпуска, это единственная доступная опция в шортлисте, связанная с инфекциями ротовой полост"
3381,ФИТОКОСМЕТИК КРЕМ-ХНА В ГОТОВОМ ВИДЕ С РЕПЕЙНЫМ МАСЛОМ БЕСЦВЕТНАЯ УКРЕПЛЯЮЩАЯ 50МЛ,ФИТОКОСМЕТИК КРЕМ-ХНА В ГОТОВОМ ВИДЕ С РЕПЕЙНЫМ МАСЛОМ БЕСЦВЕТНАЯ УКРЕПЛЯЮЩАЯ 50МЛ | Фитокосметик ООО | Фитокосметик ООО,dirty_text,other,5,needs_llm,classified,True,False,1265,fallback_2b,0.85,506,fallback_2b,True,True,True,False,"Товар является косметическим средством (крем-хна) для ухода за волосами, что не соответствует узкой специализации категории на детской косметике и средствах под подгузник. Однако, поскольку это единственная доступная категория в шортлисте из ветки «Косметика и гигиена», она выбра"
3804,ФАМОТИДИН ЛИОФ. Д/Р-РА ДЛЯ В/В ВВЕД. 20МГ ФЛ. №5 С РАСТВОРИТЕЛЕМ КРАСФАРМА,ФАМОТИДИН ЛИОФ. Д/Р-РА ДЛЯ В/В ВВЕД. 20МГ ФЛ. №5 С РАСТВОРИТЕЛЕМ КРАСФАРМА | КРАСФАРМА ПАО | КРАСФАРМА ПАО,dirty_text,other,5,needs_llm,classified,True,False,838,llm,0.95,493,primary_llm,True,False,False,False,"Товар содержит активное вещество фамотидин и предназначен для внутривенного введения, что точно соответствует категории 'Фамотидин инъекционный'. Категория с ID 741 (Прогестерон) не подходит, так как содержит другое действующее вещество."
4049,УНГА-РУС ПОЯС С-325 ЭЛАСТИЧНЫЙ ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКИЙ №4,УНГА-РУС ПОЯС С-325 ЭЛАСТИЧНЫЙ ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКИЙ №4 | ТОНУС АО | ТОНУС АО,dirty_text,other,5,needs_llm,classified,True,False,1143,fallback_2b,0.95,493,fallback_2b,True,True,True,False,"Товар представляет собой эластичный лечебно-профилактический пояс, который напрямую относится к категории бандажей дородовых и послеродовых согласно описанию в коротком списке. Все варианты в shortlist имеют одинаковое название, поэтому выбран первый идентификатор как базовый."
4501,"ТРАВОПРОСТ-ОПТИК КАПЛИ ГЛАЗН. 0,004% ФЛ-КАП. 5МЛ ЛЕККО","ТРАВОПРОСТ-ОПТИК КАПЛИ ГЛАЗН. 0,004% ФЛ-КАП. 5МЛ ЛЕККО | ЛЕККО ЗАО | ЛЕККО ЗАО",dirty_text,other,5,needs_llm,classified,True,False,445,llm,0.65,505,primary_llm,True,False,False,False,"Товар является глазными каплями, что соответствует ключевым признакам категории (глаз, капли). Однако название «Травопрост» указывает на растительное происхождение, тогда как предложенные категории относятся к антибактериальным средствам, поэтому точность классификации снижена."
4784,"ТИМИЛОКС КАПЛИ ГЛАЗН. 0,5% ФЛ. 5МЛ №1","ТИМИЛОКС КАПЛИ ГЛАЗН. 0,5% ФЛ. 5МЛ №1 | Гротекс ООО | Гротекс ООО",dirty_text,other,5,needs_llm,classified,True,False,445,llm,0.85,509,primary_llm,True,False,False,False,"Товар представляет собой глазные капли, что соответствует ключевым признакам категории бактериальных инфекций глаз. Однако без указания активного вещества (Тимолол) точное соответствие узкой терапевтической группе является предположительным."
4889,ТЕСТ ИММУНОХРОМ-НАРКО-5-МУЛЬТИ-ЭКСПРЕСС НА 5 ВИДОВ НАРКОТИКОВ,ТЕСТ ИММУНОХРОМ-НАРКО-5-МУЛЬТИ-ЭКСПРЕСС НА 5 ВИДОВ НАРКОТИКОВ | ПРОГРЕССИВНЫЕ БИО-МЕДИЦИНСКИЕ ТЕХНОЛОГИИ | ПРОГРЕССИВНЫЕ БИО-МЕДИЦИНСКИЕ ТЕХНОЛОГИИ,dirty_text,other,5,needs_llm,classified,True,False,1203,llm,0.95,495,primary_llm,True,False,False,False,"Товар представляет собой экспресс-тест для домашнего выявления наркотических веществ, что полностью соответствует категории тестов экспресс-диагностики для домашнего применения. Правило движка и эвристика подтверждают высокую релевантность этой категории."
5894,СПЛАТ ПАСТА ЗУБНАЯ ДЕТСКАЯ ДЖУСИ ТУТТИ-ФРУТТИ 35МЛ,СПЛАТ ПАСТА ЗУБНАЯ ДЕТСКАЯ ДЖУСИ ТУТТИ-ФРУТТИ 35МЛ | СПЛАТ-КОСМЕТИКА | СПЛАТ-КОСМЕТИКА,dirty_text,other,5,needs_llm,classified,True,False,1266,llm,0.85,496,primary_llm,True,False,False,False,"Товар является детской зубной пастой, что относится к категории средств гигиены для детей. Категория 1266 (Шампуни / гели / кремы для детей) наиболее точно охватывает детские косметические и гигиенические продукты, включая пасты, в отличие от кремов под подгузник."
6567,СИНЭСТРОЛ Р-Р ДЛЯ В/М ВВЕД. МАСЛ. 20МГ/МЛ АМП. 1МЛ №10,СИНЭСТРОЛ Р-Р ДЛЯ В/М ВВЕД. МАСЛ. 20МГ/МЛ АМП. 1МЛ №10 | ДАЛЬХИМФАРМ ОАО | ДАЛЬХИМФАРМ ОАО,dirty_text,other,5,needs_llm,needs_human_review,False,True,,system,,509,fallback_2a,True,True,False,False,
7023,СЕНИ МЕН УРОЛОГИЧЕСИКЕ ВКЛАДЫШИ ДЛЯ МУЖЧИН СУПЕР №20,СЕНИ МЕН УРОЛОГИЧЕСИКЕ ВКЛАДЫШИ ДЛЯ МУЖЧИН СУПЕР №20 | TZMO S.A. | TZMO S.A.,dirty_text,other,5,needs_llm,classified,True,False,1117,llm,0.95,494,primary_llm,True,False,False,False,"Товар явно соответствует категории урологических вкладышей для мужчин, что подтверждается названием и высоким баллом кандидатов из shortlist. Категория 1117 является наиболее точным совпадением по смыслу и коду."
9605,ПЕРЧАТКИ SFM НИТРИЛ. СМОТР. НЕСТЕР. НЕОПУДР. ТЕКСТУР. ОДНОКР. ХЛОРИНАЦИЯ Р.L ПАРА №100 ФИОЛЕТОВО-ГОЛУБЫЕ,ПЕРЧАТКИ SFM НИТРИЛ. СМОТР. НЕСТЕР. НЕОПУДР. ТЕКСТУР. ОДНОКР. ХЛОРИНАЦИЯ Р.L ПАРА №100 ФИОЛЕТОВО-ГОЛУБЫЕ | SFM HOSPITAL PRODUCTS GMBH | SFM HOSPITAL PRODUCTS GMBH,dirty_text,other,5,needs_llm,needs_human_review,False,True,,system,,499,judge,True,True,True,True,
10089,"ПАНТОМЕКОЛЬ ПЛЮС КРЕМ Д/НАРУЖ. ПРИМ. 5,25%+0,802% ТУБА 30Г","ПАНТОМЕКОЛЬ ПЛЮС КРЕМ Д/НАРУЖ. ПРИМ. 5,25%+0,802% ТУБА 30Г | НИЖФАРМ ОА | НИЖФАРМ ОА",dirty_text,other,5,needs_llm,classified,True,False,1225,llm,0.95,505,primary_llm,True,False,False,False,"Препарат Пантоколь Плюс является наружным средством на основе пантенола и других компонентов, предназначенным для заживления ран и обработки кожи. Категория «Средства для обработки и заживления ран» наиболее точно соответствует его назначению и способу применения."
