product_id,run_id_source,normalized_text,product_kind,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,source_canonical_json,component_stats_json,resolved_mnn,resolved_mnn_components,mnn_resolution_status,resolution_reason,resolved_rx_otc,resolved_age_segment,needs_mnn_enrichment,enrichment_called,mnn_enrichment_status,mnn_enriched,rx_otc_enriched,age_enriched,final_candidate_mnn,needs_human_review,evidence_urls,enrichment_retried,enrichment_retry_query
19,331,АСКОРУТИН 50мг+50мг N50 таб. Фармцентр вилар АО | Фармцентр Вилар АО | Фармцентр Вилар АО | N50,drug,,otc,,,Аскорбиновая кислота+Рутозид,otc,"Аскорбиновая кислота, Рутозид",,Аскорбиновая кислота,otc,"[{""source"": ""apteka"", ""raw_mnn"": ""Аскорбиновая кислота, Рутозид"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Аскорбиновая кислота"", ""Рутозид""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Аскорбиновая кислота+Рутозид"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Аскорбиновая кислота"", ""Рутозид""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Аскорбиновая кислота"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Аскорбиновая кислота""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Аскорбиновая кислота"", ""source_count"": 3, ""sources"": [""apteka"", ""asna"", ""vidal""]}, {""component"": ""Рутозид"", ""source_count"": 2, ""sources"": [""apteka"", ""asna""]}]","Аскорбиновая кислота, Рутозид","Аскорбиновая кислота, Рутозид",resolved_catalog,consensus,otc,unknown,False,False,,,unknown,unknown,"Аскорбиновая кислота, Рутозид",False,,,
41,332,"БИФРАДУАЛ 0,25мг/мл + 0,5мг/мл 20мл р-р д/ингаляций ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО",drug,,rx,,,Ипратропия бромид + Фенотерол,rx,"Фенотерол, Ипратропия бромид",rx,Фенотерол,rx,"[{""source"": ""apteka"", ""raw_mnn"": ""Фенотерол, Ипратропия бромид"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Фенотерол"", ""Ипратропия бромид""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Ипратропия бромид + Фенотерол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Ипратропия бромид"", ""Фенотерол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Фенотерол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Фенотерол""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Фенотерол"", ""source_count"": 3, ""sources"": [""apteka"", ""asna"", ""vidal""]}, {""component"": ""Ипратропия бромид"", ""source_count"": 2, ""sources"": [""apteka"", ""asna""]}]","Фенотерол, Ипратропия бромид","Фенотерол, Ипратропия бромид",resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,"Фенотерол, Ипратропия бромид",False,,,
46,332,КОЛИСТИН 80мг (1000000 ЕД) N28 порошок д/приготовления р-ра д/ингаляций Кселлия Фармасьютикалс АпС | Кселлия фармасьютикалс АпС | Кселлия фармасьютикалс АпС | N28,drug,Колистин,rx,,,,,Колистиметат натрия,rx,,,"[{""source"": ""apteka"", ""raw_mnn"": ""Колистиметат натрия"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Колистиметат натрия""], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,single_source,unknown,unknown,True,True,ok,Колистиметат натрия,rx,универсальный,Колистиметат натрия,False,https://www.rlsnet.ru/drugs/kolistin-31325 | https://aptekamos.ru/tovary/lekarstva/kolistimetat-natriya-10511/kolimetat-poroshok-1000000ed-104529/instrukciya | https://www.vidal.ru/drugs/molecule/268 | https://megapteka.ru/specials/guide_kolistin-instrukciya-po-5211 | https://aptekamos.ru/tovary/lekarstva/kolistimetat-natriya-10511/kolistimetat-natriya-liofilizat-2000000ed-160mg-110822/instrukciya | https://www.rlsnet.ru/drugs/kolistin-31325 | https://medi.ru/instrukciya/kolistin_25603/ | https://www.vidal.ru/drugs/colistin__13358 | https://www.rlsnet.ru/drugs/kolistin-31325 | https://megapteka.ru/specials/guide_kolistin-instrukciya-po-5211 | https://health.mail.ru/drug/colistin/ | https://www.webapteka.ru/drugbase/name19169_desc4328.html | https://wer.ru/opisanie/kolistin/ | https://www.eapteka.ru/goods/drugs/antibacterial/antibiotic/kolistin_gryunental/ | https://zdravcity.ru/p_kolistin-por-d-prig-r-ra-d-ing-80-mg-1000000-ed-fl-n28-0157289.html | https://zdravcity.ru/p_kolistin-por-d-prig-r-ra-d-ing-80-mg-1000000-ed-fl-n28-0109992.html,,
55,332,"БИСОМОР 2,5мг N30 таб. покрытые пленочной оболочкой Эдж Фарма Прайвет | Эдж Фарма Прайвет Лимитед | Эдж Фарма Прайвет Лимитед | N30",drug,,рецептурный,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Бисопролол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Бисопролол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Бисопролол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Бисопролол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Бисопролол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Бисопролол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Бисопролол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Бисопролол""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Бисопролол"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Бисопролол,Бисопролол,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Бисопролол,False,,,
67,333,ДИКЛОФАРМ 25мг/мл 3мл N5 р-р для в/м введения ВетПром АД | ВетПром АД | ВетПром АД | N5,drug,,rx,Диклофенак,rx,Диклофенак,otc,Диклофенак,rx,Диклофенак,otc,"[{""source"": ""uteka"", ""raw_mnn"": ""Диклофенак"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Диклофенак""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Диклофенак"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Диклофенак""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Диклофенак"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Диклофенак""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Диклофенак"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Диклофенак""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Диклофенак"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Диклофенак,Диклофенак,resolved_catalog,consensus,unknown,unknown,False,False,,,unknown,unknown,Диклофенак,False,,,
91,334,ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,drug,,рецептурный,Тигециклин,rx,,,,,Тигециклин,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Тигециклин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Тигециклин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Тигециклин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Тигециклин""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Тигециклин"", ""source_count"": 2, ""sources"": [""uteka"", ""vidal""]}]",Тигециклин,Тигециклин,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Тигециклин,False,,,
145,334,"МЕКСИКОР 50мг/мл 5мл N20 р-р для в/в и в/м введения ГосЗМП, ФГУП | Госзмп ФГУП | Госзмп ФГУП | N20",drug,,рецептурный,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Этилметилгидроксипиридина сукцинат"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Этилметилгидроксипиридина сукцинат""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Этилметилгидроксипиридина сукцинат"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Этилметилгидроксипиридина сукцинат""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Этилметилгидроксипиридина сукцинат"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Этилметилгидроксипиридина сукцинат""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Этилметилгидроксипиридина сукцинат"", ""source_count"": 3, ""sources"": [""uteka"", ""asna"", ""vidal""]}]",Этилметилгидроксипиридина сукцинат,Этилметилгидроксипиридина сукцинат,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Этилметилгидроксипиридина сукцинат,False,,,
310,334,ЮНИДОКС СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 100МГ №20 | ЗИО-ЗДОРОВЬЕ ЗАО | ЗИО-ЗДОРОВЬЕ ЗАО,drug,,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Доксициклин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Доксициклин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Доксициклин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Доксициклин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Доксициклин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Доксициклин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Доксициклин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Доксициклин""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Доксициклин"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Доксициклин,Доксициклин,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Доксициклин,False,,,
358,334,ЭФФЕРАЛГАН ТАБЛ. ШИПУЧ. 500МГ №16 | УПСА САС | УПСА САС,drug,,otc,Парацетамол,otc,Парацетамол,otc,Парацетамол,,Парацетамол,otc,"[{""source"": ""uteka"", ""raw_mnn"": ""Парацетамол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Парацетамол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Парацетамол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Парацетамол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Парацетамол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Парацетамол""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Парацетамол"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Парацетамол""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Парацетамол"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Парацетамол,Парацетамол,resolved_catalog,consensus,otc,unknown,False,False,,,unknown,unknown,Парацетамол,False,,,
459,334,ЭТОРЕЛЕКС ТАБЛ. П/ПЛЕН/ОБ. 90МГ №28 | ФАРМАСИНТЕЗ АО | ФАРМАСИНТЕЗ АО,drug,,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Эторикоксиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эторикоксиб""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Эторикоксиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эторикоксиб""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Эторикоксиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эторикоксиб""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Эторикоксиб"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эторикоксиб""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Эторикоксиб"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Эторикоксиб,Эторикоксиб,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Эторикоксиб,False,,,
