product_id,normalized_text,final_candidate_mnn,final_mnn_method,mnn_resolution_status,mnn_enrichment_status,needs_human_review,label_mnn,label_notes
3020,ФЛУОМИЗИН ТАБЛ. ВАГ. 10МГ №6 | РОТТЕНДОРФ ФАРМА ГМБХ/МЕДИНОВА АГ | РОТТЕНДОРФ ФАРМА ГМБХ/МЕДИНОВА АГ,Деквалиния хлорид,catalog_consensus,resolved_catalog,,False,,
3079,ФЛУИМУЦИЛ ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 200МГ ПАК. №20 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,Ацетилцистеин,catalog_consensus,resolved_catalog,,False,,
4294,ТРОМБОСТЕН ТАБЛ. КИШ-РАСТ. П/ПЛЕН/ОБ. 50МГ №100 | ОЗОН ООО | ОЗОН ООО,Ацетилсалициловая кислота,catalog_consensus,resolved_catalog,,False,,
6122,СОЛУ-КОРТЕФ ЛИОФ. Д/Р-РА ДЛЯ В/В В/М ВВЕД. 100МГ ФЛ. №1 С Р-ЛЕМ 2МЛ | ПФАЙЗЕР МФГ. БЕЛЬГИЯ Н.В. | ПФАЙЗЕР МФГ. БЕЛЬГИЯ Н.В.,Гидрокортизон,catalog_consensus,resolved_catalog,,False,,
7787,РОЗУЛИП ПЛЮС КАПС. 20МГ+10МГ №30 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО,"Эзетимиб, Розувастатин",catalog_consensus,resolved_catalog,,False,,
8122,РИБОКСИН Р-Р ДЛЯ В/В ВВЕД. 20МГ/МЛ АМП. 5МЛ №10 ДАЛЬХИМФАРМ | ДАЛЬХИМФАРМ ОАО | ДАЛЬХИМФАРМ ОАО,Инозин,catalog_consensus,resolved_catalog,,False,,
8428,РЕАФЕРОН-ЕС-ЛИПИНТ ЛИОФ. Д/СУСП. Д/ПРИЕМА ВНУТРЬ 500ТЫС.МЕ ФЛ. №5 | ВЕКТОР-МЕДИКА АО | ВЕКТОР-МЕДИКА АО,Интерферон альфа-2b,catalog_consensus,resolved_catalog,,False,,
10366,ОРНИДАЗОЛ-OBL ТАБЛ. П/ПЛЕН/ОБ. 500МГ №10 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Орнидазол,catalog_consensus,resolved_catalog,,False,,
11817,НЕМОЗОЛ СУСП. Д/ПРИЕМА ВНУТРЬ 100МГ/5МЛ ФЛ. 20МЛ | ИПКА ЛАБОРАТОРИЗ ЛИМИТЕД | ИПКА ЛАБОРАТОРИЗ ЛИМИТЕД,Албендазол,catalog_consensus,resolved_catalog,,False,,
12237,НАТЕКАЛЬ 1000 ТАБЛ. ДИСПЕРГ. 600МГ+1000МЕ №30 | ИТАЛФАРМАКО С.П.А. | ИТАЛФАРМАКО С.П.А.,"Кальция карбонат, Колекальциферол",catalog_consensus,resolved_catalog,,False,,
12570,МОТИЛАК ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ВЕРОФАРМ ООО | ВЕРОФАРМ ООО,Домперидон,catalog_consensus,resolved_catalog,,False,,
12728,"МОКСОНИДИН-АЛСИ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №30 | АЛСИ ФАРМА | АЛСИ ФАРМА",Моксонидин,catalog_consensus,resolved_catalog,,False,,
13084,МИЛУРИТ ТАБЛ. 300МГ №30 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО,Аллопуринол,catalog_consensus,resolved_catalog,,False,,
17898,КАРДИКЕТ ТАБЛ. ПРОЛОНГ. 40МГ №50 | ЭЙСИКА ФАРМАСЬЮТИКАЛЗ С.Р.Л. | ЭЙСИКА ФАРМАСЬЮТИКАЛЗ С.Р.Л.,Изосорбида динитрат,catalog_consensus,resolved_catalog,,False,,
20199,"ДИЛАКСА КАПС. 200МГ №30 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",Целекоксиб,catalog_consensus,resolved_catalog,,False,,
20693,ДАЛАЦИН КРЕМ ВАГ. 2% ТУБА 40Г С АППЛИКАТ. №7 | ФАРМАЦИЯ И АПДЖОН КАМПАНИ ЭЛ ЭЛ СИ | ФАРМАЦИЯ И АПДЖОН КАМПАНИ ЭЛ ЭЛ СИ,Клиндамицин,catalog_consensus,resolved_catalog,,False,,
24821,АФОБАЗОЛ ТАБЛ. 10МГ №60 ОТИСИФАРМ | ОТИСИФАРМ ПРО АО | ОТИСИФАРМ ПРО АО,Фабомотизол,catalog_consensus,resolved_catalog,,False,,
25794,АНАЛЬГИН ТАБЛ. 500МГ №20 БИОХИМИК | БИОХИМИК АО | БИОХИМИК АО,Метамизол натрия,catalog_consensus,resolved_catalog,,False,,
25878,АМОСИН ТАБЛ. 500МГ №10 | СИНТЕЗ | СИНТЕЗ,Амоксициллин,catalog_consensus,resolved_catalog,,False,,
26539,АЛГЕЗИР УЛЬТРА ТАБЛ. П/ПЛЕН/ОБ. 275МГ №10 АЛИУМ | АЛИУМ АО | АЛИУМ АО,Напроксен,catalog_consensus,resolved_catalog,,False,,
1448,ШИПОВНИКА ПЛОДЫ 100Г ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО,Шиповника плоды,enrichment,unresolved_catalog,ok,False,,
9303,ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г КРАСНОГОРСКЛЕКСРЕДСТВА | КРАСНОГОРСКЛЕКСРЕДСТВА | КРАСНОГОРСКЛЕКСРЕДСТВА,Полыни горькой трава,enrichment,unresolved_catalog,ok,False,,
15920,ЛАРИГАМА Р-Р ДЛЯ В/М ВВЕД. АМП. 2МЛ №5 | ГРОТЕКС ООО | ГРОТЕКС ООО,"Пиридоксин, Тиамин, Цианокобаламин, Лидокаин",enrichment,unresolved_catalog,ok,False,,
19320,ЖЕЛЧЕГОННЫЙ СБОР №2 50Г ИВАН-ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО,"Бессмертника Песчаного Цветки, Тысячелистника Обыкновенного Трава, Мяты Перечной Листья, Кориандра Плоды",enrichment,unresolved_catalog,ok,False,,
21260,ГИДРОХЛОРТИАЗИД ТАБЛ. 100МГ №20 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Гидрохлоротиазид,enrichment,unresolved_catalog,ok,False,,
21479,ГЕМАЗА ПОР. ЛИОФ. Д/Р-РА Д/ИН. АМП. 5000ЕД №5 | ФГБУ НМИЦ КАРДИОЛОГИИ МЗ РФ | ФГБУ НМИЦ КАРДИОЛОГИИ МЗ РФ,Проурокиназа,enrichment,unresolved_catalog,ok,False,,
23662,БИСАКОДИЛ СУПП. РЕКТ. 10МГ №10 ТУЛЬСКАЯ ФФ | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО,Бисакодил,enrichment,unresolved_catalog,ok,False,,
27053,АЕВИТ МЕЛИГЕН КАПС. ПО 200МГ №10 | МЕЛИГЕН ФП | МЕЛИГЕН ФП,,,unresolved_catalog,ok,True,,
