product_id,run_id_source,mnn_enrichment_run_id,normalized_text,product_kind,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,source_canonical_json,component_stats_json,resolved_mnn,resolved_mnn_components,mnn_resolution_status,resolution_reason,resolved_rx_otc,resolved_age_segment,needs_mnn_enrichment,enrichment_called,mnn_enrichment_status,mnn_enriched,rx_otc_enriched,age_enriched,final_candidate_mnn,final_mnn_method,retry_count,needs_human_review,evidence_urls,idempotency_key
8,406,459,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,drug,Левофлоксацин,rx,Левофлоксацин,rx,Левофлоксацин,rx,,,Левофлоксацин,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Левофлоксацин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Левофлоксацин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Левофлоксацин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Левофлоксацин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Левофлоксацин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Левофлоксацин""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Левофлоксацин"", ""source_count"": 3, ""sources"": [""uteka"", ""asna"", ""vidal""]}]",Левофлоксацин,Левофлоксацин,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Левофлоксацин,catalog_consensus,0,False,,ca9122f2edc815783916f3537126367e
10,406,459,"НАТРИЯ ХЛОРИД 0,9% 400мл N12 р-р д/инфузий Биосинтез | Биосинтез ПАО | Биосинтез ПАО | N12",drug,Натрия хлорид,rx,Натрия хлорид,rx,,,,,,,"[{""source"": ""uteka"", ""raw_mnn"": ""Натрия хлорид"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Натрия хлорид""], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,single_source,unknown,unknown,True,True,ok,Натрия хлорид,rx,универсальный,Натрия хлорид,enrichment,0,False,https://www.lsgeotar.ru/drugs/sodium-chloride-ADHG | https://www.rlsnet.ru/drugs/natriya-xlorid-2123 | https://allmed.pro/ru/drugs/natrija-hlorid | https://megapteka.ru/specials/guide_natriya-hlorid-instrukciya-1168 | https://www.vidal.ru/drugs/sodium_chlorid__31235 | https://www.vidal.ru/drugs/sodium-chlorid-60 | https://health.mail.ru/drug/natriya-hlorid-1/ | https://medum.ru/sodium-chloride-for-children | https://health.mail.ru/drug/natriya-hlorid/ | https://www.asna.ru/product/natriya_khlorid/instruction/ | https://steritech.ru/upload/docs/sodium_chloride_instructions_0.9.pdf | https://www.pharmcontrol.ru/registry/drugs/138639/,55e2a5fdf4a309b9ff05c9717c7f6e54
28,407,459,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,drug,Мерифатин,rx,Метформин,rx,Метформин,rx,Метформин,rx,Метформин,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Метформин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Метформин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Метформин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Метформин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Метформин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Метформин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Метформин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Метформин""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Метформин"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Метформин,Метформин,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Метформин,catalog_consensus,0,False,,19abf0af5157d3ceacf55b4057633ccb
34,407,459,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,drug,,rx,Мелатонин,otc,Мелатонин,otc,Мелатонин,,Мелатонин,otc,"[{""source"": ""uteka"", ""raw_mnn"": ""Мелатонин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Мелатонин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Мелатонин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Мелатонин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Мелатонин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Мелатонин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Мелатонин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Мелатонин""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Мелатонин"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Мелатонин,Мелатонин,resolved_catalog,consensus,otc,unknown,False,False,,,unknown,unknown,Мелатонин,catalog_consensus,0,False,,9c1c974bf406e3f57c702e467e93d784
45,408,459,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,drug,,otc,,,Биотин,otc,,,,,"[{""source"": ""asna"", ""raw_mnn"": ""Биотин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Биотин""], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,single_source,unknown,unknown,True,True,ok,,unknown,взрослые,,,0,True,https://www.rlsnet.ru/baa/akvion-koza-volosy-i-nogti-86134 | https://kiberis.ru/?p=35810 | https://www.lsgeotar.ru/lv/akvion-kozha-volosi-nogti-25345.html | https://bz.medvestnik.ru/drugs/409738.html | https://akvion.ru/ru/katalog/akvion/akvion-koja-volosy-i-nogti_caps/ | https://akvion.ru/ru/katalog/akvion/akvion-koja-volosy-i-nogti/ | https://akvion.shop/catalog/ot_akviona/akvion_koja_volosy_nogty_caps | https://zdravcity.ru/p_kozha-volosy-i-nogti-akvion-kapsuly895mg-60sht-0269295.html | https://akvion.shop/catalog/ot_akviona/akvion_koja_volosy_nogty | https://zdravcity.ru/p_kozha-volosy-i-nogti-akvion-kapsuly895mg-60sht-0269295.html | https://akvion.ru/ru/katalog/akvion/akvion-koja-volosy-i-nogti_caps/ | https://akvion.ru/ru/katalog/akvion/akvion-koja-volosy-i-nogti/,145f36b37f94ad556e424b2b19fc2057
54,408,459,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,drug,Гепарин натрия,rx,,,,,Гепарин натрия,rx,,,"[{""source"": ""apteka"", ""raw_mnn"": ""Гепарин натрия"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Гепарин натрия""], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,single_source,unknown,unknown,True,True,ok,Гепарин натрия,rx,универсальный,Гепарин натрия,enrichment,0,False,https://www.rlsnet.ru/active-substance/geparin-natriya-423 | https://www.rlsnet.ru/active-substance/geparin-3413 | https://grls.rosminzdrav.ru/ | https://edu-rosminzdrav.ru/oficialnyj-buklet-o-geparine-i-opisanie-preparata-geparin-heparin-dlya-sistemnogo-primeneniya/ | https://health.mail.ru/drug/geparin-3/ | https://zdesapteka.ru/instructions/geparin/ | https://tabletka.ru/selection/geparin/instruction/ | https://medspravochnik.com/drugs/antikoagulyanty/geparin/ | https://plusmama.ru/drugs/rus-g/geparin/ | https://www.rlsnet.ru/drugs/geparin-900 | https://health.mail.ru/drug/geparin/ | https://www.vidal.ru/drugs/heparin__4363,c454cde1c8f3571464fed0f9b037ae35
56,408,459,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,drug,,,,,Глюкозамин+Хондроитин+MSM,,"Глюкозамин, Хондроитинсульфат",,,,"[{""source"": ""apteka"", ""raw_mnn"": ""Глюкозамин, Хондроитинсульфат"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Глюкозамин"", ""Хондроитинсульфат""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Глюкозамин+Хондроитин+MSM"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Глюкозамин"", ""Хондроитин"", ""MSM""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Глюкозамин"", ""source_count"": 2, ""sources"": [""apteka"", ""asna""]}, {""component"": ""MSM"", ""source_count"": 1, ""sources"": [""asna""]}, {""component"": ""Хондроитин"", ""source_count"": 1, ""sources"": [""asna""]}, {""component"": ""Хондроитинсульфат"", ""source_count"": 1, ""sources"": [""apteka""]}]","Глюкозамин, MSM, Хондроитин, Хондроитинсульфат","Глюкозамин, MSM, Хондроитин, Хондроитинсульфат",resolved_catalog,consensus,unknown,unknown,False,False,,,unknown,unknown,"Глюкозамин, MSM, Хондроитин, Хондроитинсульфат",catalog_consensus,0,False,,15386090e8dba02939b1198ba36f4591
60,408,459,ДИКЛОФЕНАК 25мг/мл 3мл N10 р-р для в/м введения Дальхимфарм ОАО | Дальхимфарм ОАО | Дальхимфарм ОАО | N10,drug,Диклофенак,rx,,,,,Диклофенак,rx,,,"[{""source"": ""apteka"", ""raw_mnn"": ""Диклофенак"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Диклофенак""], ""url"": null, ""parse_warnings"": []}]",[],,,unresolved_catalog,single_source,unknown,unknown,True,True,ok,Диклофенак,rx,универсальный,Диклофенак,enrichment,0,False,https://www.rlsnet.ru/drugs/diklofenak-1202 | https://www.vidal.ru/drugs/molecule/310 | https://health.mail.ru/drug/diklofenak_2/ | https://www.vidal.ru/drugs/diclofenac__30226 | https://www.vidal.ru/drugs/diclofenac__1101 | https://clinic-mos.ru/articles/nevrologiya/25667-diklofenak-tabletki-instruktsiya-pravila-priema-pobochnye.html | https://lecheniedetej.ru/preparaty/ot-temperatury/diklofenak.html | https://medi.ru/instrukciya/diklofenak_19443/ | https://medi.ru/instrukciya/diklofenak_19441/ | https://grls.pharm-portal.ru/grls/f43c9ecd-b71d-4f8b-8caa-0932535e568a | https://grls.pharm-portal.ru/grls/1aad622f-9125-4c98-8487-6d0a45c1f2a0 | https://www.pharmcontrol.ru/registry/drugs/10817/,77222a85df3b6150645ae05f48c0fb26
68,408,459,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,drug,Эплеренон,rx,Эплеренон,rx,Эплеренон,rx,Эплеренон,rx,Эплеренон,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Эплеренон"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эплеренон""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Эплеренон"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эплеренон""], ""url"": null, ""parse_warnings"": []}, {""source"": ""asna"", ""raw_mnn"": ""Эплеренон"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эплеренон""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Эплеренон"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Эплеренон""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Эплеренон"", ""source_count"": 4, ""sources"": [""uteka"", ""apteka"", ""asna"", ""vidal""]}]",Эплеренон,Эплеренон,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Эплеренон,catalog_consensus,0,False,,64dc3fd3feb1830936285863bd767bb9
70,409,459,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,drug,Розувастатин,rx,Розувастатин,rx,,,Розувастатин,rx,Розувастатин,rx,"[{""source"": ""uteka"", ""raw_mnn"": ""Розувастатин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Розувастатин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""apteka"", ""raw_mnn"": ""Розувастатин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Розувастатин""], ""url"": null, ""parse_warnings"": []}, {""source"": ""vidal"", ""raw_mnn"": ""Розувастатин"", ""field_type"": ""explicit_mnn"", ""canonical_components"": [""Розувастатин""], ""url"": null, ""parse_warnings"": []}]","[{""component"": ""Розувастатин"", ""source_count"": 3, ""sources"": [""uteka"", ""apteka"", ""vidal""]}]",Розувастатин,Розувастатин,resolved_catalog,consensus,rx,unknown,False,False,,,unknown,unknown,Розувастатин,catalog_consensus,0,False,,bbd5b867009008d775c2e7cd1e80474c
