product_id,normalized_text,final_candidate_mnn,final_mnn_method,mnn_resolution_status,mnn_enrichment_status,needs_human_review,label_mnn,label_notes
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,Левофлоксацин,catalog_consensus,resolved_catalog,,False,,
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,Метформин,catalog_consensus,resolved_catalog,,False,,
34,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,Мелатонин,catalog_consensus,resolved_catalog,,False,,
56,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,"Глюкозамин, MSM, Хондроитин, Хондроитинсульфат",catalog_consensus,resolved_catalog,,False,,
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,Эплеренон,catalog_consensus,resolved_catalog,,False,,
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,Розувастатин,catalog_consensus,resolved_catalog,,False,,
73,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,"Кальция карбонат, Магния карбонат",catalog_consensus,resolved_catalog,,False,,
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,Албендазол,catalog_consensus,resolved_catalog,,False,,
92,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,Тадалафил,catalog_consensus,resolved_catalog,,False,,
456,"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",Эторикоксиб,catalog_consensus,resolved_catalog,,False,,
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам,catalog_consensus,resolved_catalog,,False,,
777,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,Эналаприл,catalog_consensus,resolved_catalog,,False,,
