product_id,normalized_text,previous_final_candidate_mnn,new_final_candidate_mnn,previous_final_mnn_method,new_final_mnn_method,previous_status,new_status,identity_gate_effect,rejected_source_count,reason
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,Левофлоксацин,Левофлоксацин,catalog_consensus,catalog_consensus,resolved_catalog,resolved_catalog,unchanged,0,consensus
10,"НАТРИЯ ХЛОРИД 0,9% 400мл N12 р-р д/инфузий Биосинтез | Биосинтез ПАО | Биосинтез ПАО | N12",Натрия хлорид,Натрия хлорид,enrichment,input_plus_enrichment,unresolved_catalog,resolved_enrichment,method_changed,1,empty
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,Метформин,Метформин,catalog_consensus,catalog_consensus,resolved_catalog,resolved_catalog,sources_rejected_same_final,1,consensus
34,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,Мелатонин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,1,single_source
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,Гепарин натрия,Гепарин натрия,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,1,empty
56,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,"Глюкозамин, MSM, Хондроитин, Хондроитинсульфат",,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,1,single_source
60,ДИКЛОФЕНАК 25мг/мл 3мл N10 р-р для в/м введения Дальхимфарм ОАО | Дальхимфарм ОАО | Дальхимфарм ОАО | N10,Диклофенак,Диклофенак,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,1,empty
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,Эплеренон,Эплеренон,catalog_consensus,catalog_consensus,resolved_catalog,resolved_catalog,sources_rejected_same_final,1,consensus
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,Розувастатин,Розувастатин,catalog_consensus,input_explicit_mnn,resolved_catalog,resolved_input_explicit,catalog_accept_removed,1,single_source
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,0,empty
73,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,"Кальция карбонат, Магния карбонат",,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,1,single_source
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,0,empty
86,ТАДАЛАФИЛ-АЛИУМ 20мг N8 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N8,Тадалафил,Тадалафил,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,3,empty
88,ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,Албендазол,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,weak_explicit_soft_signal_only
92,ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,Тадалафил,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
249,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,0,empty
354,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО",Эхинацеи пурпурной трава,Эхинацеи пурпурной трава,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,2,empty
456,"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",Эторикоксиб,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
486,ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
777,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,Эналаприл,Эналаприл,catalog_consensus,input_explicit_mnn,resolved_catalog,resolved_input_explicit,catalog_accept_removed,2,empty
844,ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,Левокарнитин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
884,"ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ №56 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",Эсциталопрам,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",Аморолфин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,1,empty
1217,"ЭВКАЛИПТА ПРУТОВИДНОГО ЛИСТЬЯ Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Эвкалипта прутовидного листья,Эвкалипта прутовидного листья,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,2,empty
1638,ЧЕРЕДЫ ТРАВА 50Г ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО,Череды трехраздельной трава,Череды трехраздельной трава,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,3,empty
1668,"ЧАБРЕЦА ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | Здоровье фирма ЗАО | Здоровье фирма ЗАО",Тимьяна ползучего трава,Тимьяна ползучего трава,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,2,empty
1765,ЦИПРОТЕРОН-ТЕВА ТАБЛ. 50МГ №50 | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О. | ТЕВА ЧЕШСКИЕ ПРЕДПРИЯТИЯ С.Р.О.,Ципротерон,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
2023,ЦЕЛЕКОКСИБ-ТЕВА КАПС. 200МГ №30 | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД | УОТСОН ФАРМА ПРАЙВЭТ ЛИМИТЕД,Целекоксиб,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
2348,ХИЛАК ФОРТЕ КАПЛИ Д/ПРИЕМА ВНУТРЬ ВИШНЯ ФЛ. 100МЛ | МЕРКЛЕ ГМБХ | МЕРКЛЕ ГМБХ,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,1,single_source
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,Нитрофурал,Нитрофурал,enrichment,enrichment,unresolved_catalog,resolved_enrichment,sources_rejected_same_final,1,single_source
3027,ФЛУОКСЕТИН КАПС. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Флуоксетин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,1,single_source
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,Флуконазол,catalog_consensus,catalog_consensus,resolved_catalog,resolved_catalog,unchanged,0,consensus
3556,"ФИЗИОТЕНЗ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №28 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО",Моксонидин,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
3759,ФАСПИК ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ АБРИКОС 400МГ ПАК. 3Г №12 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,Ибупрофен,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
3763,ФАРМГРУПП НАСТОЙКА 5 ТРАВ УСПОКОИТЕЛЬНАЯ ФЛ. 250МЛ | ФАРМГРУПП ООО | ФАРМГРУПП ООО,,,,unresolved,unresolved_catalog,unresolved_catalog,method_changed,3,empty
3781,ФАРИНГОСЕПТ ТАБЛ. Д/РАССАС. МЕД-ЛИМОН 10МГ №20 | C.К. ТЕРАПИЯ С.А. | C.К. ТЕРАПИЯ С.А.,Амбазон,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,2,single_source
4133,УЛЬЦЕРНИЛ ТАБЛ. КИШ/РАСТ. П/ПЛЕН/ОБ. 20МГ №28 | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД | САН ФАРМАСЬЮТИКАЛ ИНДАСТРИЗ ЛТД,Рабепразол,,catalog_consensus,unresolved,resolved_catalog,unresolved_catalog,catalog_accept_removed,0,single_source
