product_id,normalized_text,baseline_attr_mnn,input_explicit_mnn,catalog_candidate_mnn_before_gate,catalog_candidate_mnn_after_gate,enrichment_mnn,final_candidate_mnn,final_mnn_method,mnn_resolution_status,needs_human_review,accepted_source_count,rejected_source_count,ambiguous_source_count,accepted_source_titles,accepted_source_urls,accepted_source_mnn,accepted_source_match_scores,rejected_source_titles,rejected_source_urls,rejected_source_mnn,rejected_source_match_scores,rejection_reasons,enrichment_evidence_urls,label_mnn,label_source_match,label_rx_otc,label_notes
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,Эплеренон,,Эплеренон,Эплеренон,,Эплеренон,catalog_consensus,resolved_catalog,False,2,1,2,"Эплеренон-Тева, 25 мг, табл. п.п.о, 30 шт. | /cards/eplerenon-teva_25mg_n30_tab_pokrytye_plenochnoy_obolochkoy_teva_pharmaceutical_works_private_co.html",https://uteka.ru/product/eplerenon-401467/ | https://www.asna.ru/cards/eplerenon-teva_25mg_n30_tab_pokrytye_plenochnoy_obolochkoy_teva_pharmaceutical_works_private_co.html,Эплеренон | Эплеренон,0.85 | 0.85,eplerenon teva 25 mg 30 sht tabletki pokrytye plenochnoj obolochkoj,https://apteka.ru/product/eplerenon-teva-25-mg-30-sht-tabletki-pokrytye-plenochnoj-obolochkoj-6566fabdb045b8b580df49be/,Эплеренон,-0.4,"brand_title_conflict:-0.60,dose_match:+0.20",,,,,
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,Мерифатин,,Метформин,Метформин,,Метформин,catalog_consensus,resolved_catalog,False,2,1,2,"Мерифатин МВ, 750 мг, табл. с пролонг. высвоб, 60 шт. | /cards/merifatin_mv_750mg_n60_tab_s_prolongirovannym_vysvobozhdeniem_farmasintez-tyumen_ooo.html",https://uteka.ru/product/merifatin-mv-376881/ | https://www.asna.ru/cards/merifatin_mv_750mg_n60_tab_s_prolongirovannym_vysvobozhdeniem_farmasintez-tyumen_ooo.html,Метформин | Метформин,0.85 | 0.85,merifatin mv 750 mg 60 sht blister tabletki s prolongirovannym vysvobozhdeniem,https://apteka.ru/product/merifatin-mv-750-mg-60-sht-blister-tabletki-s-prolongirovannym-vysvobozhdeniem-622b16f05032e8d0b17c8ece/,Метформин,-0.4,"brand_title_conflict:-0.60,dose_match:+0.20",,,,,
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,,Флуконазол,Флуконазол,,Флуконазол,catalog_consensus,resolved_catalog,False,3,0,2,"Флуконазол-OBL, 150 мг, капсулы, 2 шт. | flukonazol obl 150 mg 2 sht kapsuly | /cards/flukonazol-obl_150mg_n4_kaps_alium_ao.html",https://uteka.ru/product/flukonazol-obl-251683/ | https://apteka.ru/product/flukonazol-obl-150-mg-2-sht-kapsuly-5f450cdea453570001b46f3c/ | https://www.asna.ru/cards/flukonazol-obl_150mg_n4_kaps_alium_ao.html,Флуконазол | Флуконазол | Флуконазол,0.85 | 0.7 | 0.7,,,,,,,,,,
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,Левофлоксацин,,Левофлоксацин,Левофлоксацин,,Левофлоксацин,catalog_consensus,resolved_catalog,False,2,0,3,"Хайлефлокс, 500 мг, табл. п.п.о, 5 шт. | /cards/khaylefloks_500mg_n5_tab_khayglans_laboratoriz_pvtltd.html",https://uteka.ru/product/hajlefloks-238472/ | https://www.asna.ru/cards/khaylefloks_500mg_n5_tab_khayglans_laboratoriz_pvtltd.html,Левофлоксацин | Левофлоксацин,0.85 | 0.85,,,,,,,,,,
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,Мебеверин,,"Мебеверин, Симетикон",,,,unresolved,unresolved_catalog,True,1,2,2,"Дюспаталин Дуо, 135 мг + 84,43 мг, табл. п.о, 30 шт.",https://uteka.ru/product/dyuspatalin-duo-403549/,Мебеверин + Симетикон,0.85,dyuspatalin duo 135 mg8443 mg 30 sht tabletki pokrytye plenochnoj obolochkoj | /cards/dyuspatalin_135mg_n15_tab_pokrytye_obolochkoy_verofarm_ao.html,https://apteka.ru/product/dyuspatalin-duo-135-mg8443-mg-30-sht-tabletki-pokrytye-plenochnoj-obolochkoj-65857c146365683593e5fbf2/ | https://www.asna.ru/cards/dyuspatalin_135mg_n15_tab_pokrytye_obolochkoy_verofarm_ao.html,"Симетикон, Мебеверин | Мебеверин",-0.4 | -0.25,"brand_title_conflict:-0.60,dose_match:+0.20 | brand_title_conflict:-0.60,dose_match:+0.20,form_match:+0.15",,,,,
3027,ФЛУОКСЕТИН КАПС. 10МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Флуоксетин,,Флуоксетин,,,,unresolved,unresolved_catalog,True,1,1,3,"Флуоксетин, 10 мг, капсулы, 20 шт.",https://uteka.ru/product/fluoksetin-149226/,Флуоксетин,0.85,fluoksetin kanon 20 mg 30 sht kapsuly,https://apteka.ru/product/fluoksetin-kanon-20-mg-30-sht-kapsuly-5e326c56f5a9ae000140a4c2/,Флуоксетин,-0.9,"brand_title_conflict:-0.60,dose_conflict:-0.30",,,,,
12389,"МЯТЫ ПЕРЕЧНОЙ ЛИСТЬЯ Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Мяты перечной листья,,,,,,unresolved,unresolved_catalog,True,1,2,2,"М Здоровье Крапивы листья, 1.5 г, 20 шт.",https://uteka.ru/product/m-zdorove-krapivi-listya-436042/,,0.7,fitochaj zdorovechernika 2 gr 20 sht filtr pakety | /cards/krapiva_listya_15g_n20_fp_zdorove.html,https://apteka.ru/product/fitochaj-zdorovechernika-2-gr-20-sht-filtr-pakety-5e32723665b5ab0001655da0/ | https://www.asna.ru/cards/krapiva_listya_15g_n20_fp_zdorove.html, | Крапивы двудомной листья,-0.6 | -0.6,"brand_title_conflict:-0.60,dose_card_unknown | brand_title_conflict:-0.60,dose_card_unknown",,,,,
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,,,,,,,unresolved,unresolved_catalog,True,2,1,2,"Аквион мультивитамины для женщин, табл. п.п.о, 60 шт. | /cards/akvion_biotin_tab_600mkg_n60_biosfera_ooo.html",https://uteka.ru/product/akvion-multivitaminy-dlya-zhenshhin-384682/ | https://www.asna.ru/cards/akvion_biotin_tab_600mkg_n60_biosfera_ooo.html, | Биотин,0.65 | 0.65,akvion morskoj kollagen 50 sht tabletki zhevatelnye massoj 1960 mg,https://apteka.ru/product/akvion-morskoj-kollagen-50-sht-tabletki-zhevatelnye-massoj-1960-mg-63ff859c222122894ef0f212/,,-0.6,brand_title_conflict:-0.60,,,,,
22468,"ВИДОРА МИКРО ТАБЛ. П/ПЛЕН/ОБ. 3МГ+0,02МГ №21+7 | ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А. | ЛАБОРАТОРИОС ЛЕОН ФАРМА С.А.",Дроспиренон + Этинилэстрадиол,,"Этинилэстрадиол, Дроспиренон",,,,unresolved,unresolved_catalog,True,0,2,3,,,,,vidora mikro 3 mg  002 mg 28 sht tabletki pokrytye plenochnoj obolochkoj | /cards/vidora_mikro_n244_tab_pokrytye_plenochnoy_obolochkoy_laboratorios_leon_farma_sa.html,https://apteka.ru/product/vidora-mikro-3-mg--002-mg-28-sht-tabletki-pokrytye-plenochnoj-obolochkoj-5e3271a5f5a9ae000140cc6b/ | https://www.asna.ru/cards/vidora_mikro_n244_tab_pokrytye_plenochnoy_obolochkoy_laboratorios_leon_farma_sa.html,"Этинилэстрадиол, Дроспиренон | Дроспиренон + Этинилэстрадиол",-0.4 | -0.45,"brand_title_conflict:-0.60,dose_match:+0.20 | brand_title_conflict:-0.60,dose_card_unknown,form_match:+0.15",,,,,
20518,ДЕПАКИН ХРОНОСФЕРА ГРАН. ПРОЛОНГ. 100МГ ПАК. №30 | САНОФИ ВИНТРОП ИНДУСТРИЯ | САНОФИ ВИНТРОП ИНДУСТРИЯ,Вальпроевая кислота,,Вальпроевая кислота,,,,unresolved,unresolved_catalog,True,0,2,3,,,,,"Депакин Хроносфера, 1000 мг, гран. пролонг, 30 шт. | depakin 300 enterik 300 mg 100 sht tabletki pokrytye kishechnorastvorimoj obolochkoj",https://uteka.ru/product/depakin-hronosfera-217280/ | https://apteka.ru/product/depakin-300-enterik-300-mg-100-sht-tabletki-pokrytye-kishechnorastvorimoj-obolochkoj-5e32737265b5ab0001656689/,Вальпроевая кислота | Вальпроевая кислота,0.2 | -0.9,"brand_title_match:+0.50,dose_conflict:-0.30 | brand_title_conflict:-0.60,dose_conflict:-0.30",,,,,
