product_id,normalized_text,baseline_attr_mnn,input_explicit_mnn,input_explicit_mnn_confidence,identity_gate_status,previous_catalog_mnn,previous_enrichment_mnn,previous_enrichment_status,pass_action,new_enrichment_called,new_enrichment_status,retry_count,new_mnn_enriched,new_rx_otc_enriched,new_age_enriched,final_candidate_mnn,final_mnn_method,needs_human_review,evidence_urls,research_summary,raw_artifact_path,identity_enrichment_run_id,label_mnn,label_rx_otc,label_age,label_source_match,label_final_method,label_notes,final_rx_otc,final_age,final_rx_otc_method,final_rx_otc_stage,final_rx_otc_source,final_rx_otc_confidence,final_rx_otc_reason,final_age_method,final_age_stage,final_age_source,final_age_confidence,final_age_reason,sem_rx_otc,sem_age,catalog_rx_otc,catalog_age,previous_enrichment_rx_otc,previous_enrichment_age,identity_enrichment_rx_otc,identity_enrichment_age,rx_otc_candidates_json,age_candidates_json,label_rx_otc_notes,label_age_notes,needs_human_review_mnn,needs_human_review_rx_otc,needs_human_review_age,needs_human_review_any,review_priority,review_focus,audit_data_gaps
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,Эплеренон,,none,resolved_catalog,Эплеренон,,,skip_catalog,FALSE,,0,,,,Эплеренон,catalog_consensus,FALSE,,pass_action=skip_catalog; catalog_consensus_retained,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,correct,correct,,,,rx,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,rx,взрослые,rx,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}, {""value"": ""rx"", ""method"": ""catalog"", ""stage"": ""catalog_resolution"", ""source"": ""mnn_catalog_resolution_wave500_v3_identity_gate"", ""confidence"": ""medium""}]","[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",,,FALSE,FALSE,FALSE,FALSE,low,"[""mnn""]",previous enrichment RX/OTC absent; previous enrichment Age absent; catalog Age absent/unknown
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,Мерифатин,,none,resolved_catalog,Метформин,,,skip_catalog,FALSE,,0,,,,Метформин,catalog_consensus,FALSE,,pass_action=skip_catalog; catalog_consensus_retained,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,correct,correct,,,,rx,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,rx,взрослые,rx,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}, {""value"": ""rx"", ""method"": ""catalog"", ""stage"": ""catalog_resolution"", ""source"": ""mnn_catalog_resolution_wave500_v3_identity_gate"", ""confidence"": ""medium""}]","[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",,,FALSE,FALSE,FALSE,FALSE,low,"[""mnn""]",previous enrichment RX/OTC absent; previous enrichment Age absent; catalog Age absent/unknown
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,,none,resolved_catalog,Флуконазол,,,skip_catalog,FALSE,,0,,,,Флуконазол,catalog_consensus,FALSE,,pass_action=skip_catalog; catalog_consensus_retained,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,incorrect,incorrect,,,"препарат otc, возрастной сегмент - универсальный",rx,unknown,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,rx,,otc,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}, {""value"": ""otc"", ""method"": ""catalog"", ""stage"": ""catalog_resolution"", ""source"": ""mnn_catalog_resolution_wave500_v3_identity_gate"", ""confidence"": ""medium""}]",[],,,FALSE,FALSE,TRUE,TRUE,high,"[""age""]",previous enrichment RX/OTC absent; previous enrichment Age absent; Sem Age absent; catalog Age absent/unknown
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,Левофлоксацин,,none,resolved_catalog,Левофлоксацин,,,skip_catalog,FALSE,,0,,,,Левофлоксацин,catalog_consensus,FALSE,,pass_action=skip_catalog; catalog_consensus_retained,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,correct,correct,,,,rx,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,rx,взрослые,rx,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}, {""value"": ""rx"", ""method"": ""catalog"", ""stage"": ""catalog_resolution"", ""source"": ""mnn_catalog_resolution_wave500_v3_identity_gate"", ""confidence"": ""medium""}]","[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",,,FALSE,FALSE,FALSE,FALSE,low,"[""mnn""]",previous enrichment RX/OTC absent; previous enrichment Age absent; catalog Age absent/unknown
26038,АМЛОДИПИН-АЛСИ ТАБЛ. 10МГ №90 | АЛСИ ФАРМА АО | АЛСИ ФАРМА АО,Амлодипин,Амлодипин,high,resolved_input_explicit,,,,skip_strong_input_mnn,FALSE,,0,,,,Амлодипин,input_explicit_mnn,FALSE,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,correct,correct,,,,rx,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,rx,взрослые,,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]","[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",,,FALSE,FALSE,FALSE,FALSE,low,"[""mnn""]",previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown
26001,АМЛОДИПИН-ПРАНА ТАБЛ. 10МГ №60 | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Амлодипин,Амлодипин,high,resolved_input_explicit,,,,skip_strong_input_mnn,FALSE,,0,,,,Амлодипин,input_explicit_mnn,FALSE,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,correct,correct,,,,rx,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,rx,взрослые,,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]","[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",,,FALSE,FALSE,FALSE,FALSE,low,"[""mnn""]",previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown
7803,РОЗУВАСТАТИН-ТАД ТАБЛ. П/ПЛЕН/ОБ. 20МГ №30 | Крка-Рус ООО | Крка-Рус ООО,Розувастатин,Розувастатин,high,resolved_input_explicit,,,,skip_strong_input_mnn,FALSE,,0,,,,Розувастатин,input_explicit_mnn,FALSE,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,correct,correct,,,,rx,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,rx,взрослые,,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]","[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",,,FALSE,FALSE,FALSE,FALSE,low,"[""mnn""]",previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown
20614,"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон,Дексаметазон,high,resolved_input_explicit,,,,skip_strong_input_mnn,FALSE,,0,,,,Дексаметазон,input_explicit_mnn,FALSE,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,correct,incorrect,,,возрастной сегмент - универсальный,rx,unknown,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,rx,,,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",[],,,FALSE,FALSE,TRUE,TRUE,high,"[""age""]",previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; Sem Age absent; catalog Age absent/unknown
10536,ОМЕПРАЗОЛ-ОBL КАПС. КИШ/РАСТ. 20МГ №28 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Омепразол,Омепразол,high,resolved_input_explicit,,,,skip_strong_input_mnn,FALSE,,0,,,,Омепразол,input_explicit_mnn,FALSE,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,correct,incorrect,,,возрастной сегмент - универсальный,rx,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,rx,взрослые,,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]","[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",,,FALSE,FALSE,FALSE,FALSE,low,"[""mnn""]",previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,Амброксол,Амброксол,high,resolved_input_explicit,,,,skip_strong_input_mnn,FALSE,,0,,,,Амброксол,input_explicit_mnn,FALSE,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461,correct,incorrect,incorrect,,,"препарат otc, возрастной сегмент - универсальный",rx,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains RX/OTC=rx,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,rx,взрослые,,,,,,,"[{""value"": ""rx"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]","[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",,,FALSE,FALSE,FALSE,FALSE,low,"[""mnn""]",previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown
