product_id,normalized_text,baseline_attr_mnn,input_explicit_mnn,input_explicit_mnn_confidence,identity_gate_status,previous_catalog_mnn,previous_enrichment_mnn,previous_enrichment_status,pass_action,new_enrichment_called,new_enrichment_status,retry_count,new_mnn_enriched,new_rx_otc_enriched,new_age_enriched,final_candidate_mnn,final_mnn_method,needs_human_review,evidence_urls,research_summary,raw_artifact_path,identity_enrichment_run_id
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,Левофлоксацин,,none,resolved_catalog,Левофлоксацин,,,skip_catalog,false,,0,,,,Левофлоксацин,catalog_consensus,false,,pass_action=skip_catalog; catalog_consensus_retained,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
10,"НАТРИЯ ХЛОРИД 0,9% 400мл N12 р-р д/инфузий Биосинтез | Биосинтез ПАО | Биосинтез ПАО | N12",Натрия хлорид,Натрия хлорид,high,resolved_enrichment,,Натрия хлорид,ok,reuse_existing_enrichment,false,,0,,,,Натрия хлорид,input_plus_enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,Мерифатин,,none,resolved_catalog,Метформин,,,skip_catalog,false,,0,,,,Метформин,catalog_consensus,false,,pass_action=skip_catalog; catalog_consensus_retained,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,Гепарин натрия,,none,resolved_enrichment,,Гепарин натрия,ok,reuse_existing_enrichment,false,,0,,,,Гепарин натрия,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
60,ДИКЛОФЕНАК 25мг/мл 3мл N10 р-р для в/м введения Дальхимфарм ОАО | Дальхимфарм ОАО | Дальхимфарм ОАО | N10,Диклофенак,,none,resolved_enrichment,,Диклофенак,ok,reuse_existing_enrichment,false,,0,,,,Диклофенак,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,Эплеренон,,none,resolved_catalog,Эплеренон,,,skip_catalog,false,,0,,,,Эплеренон,catalog_consensus,false,,pass_action=skip_catalog; catalog_consensus_retained,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,Розувастатин,Розувастатин,high,resolved_input_explicit,,,,skip_strong_input_mnn,false,,0,,,,Розувастатин,input_explicit_mnn,false,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
86,ТАДАЛАФИЛ-АЛИУМ 20мг N8 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N8,Тадалафил,,none,resolved_enrichment,,Тадалафил,ok,reuse_existing_enrichment,false,,0,,,,Тадалафил,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
354,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО",,,none,resolved_enrichment,,Эхинацеи пурпурной трава,ok,reuse_existing_enrichment,false,,0,,,,Эхинацеи пурпурной трава,enrichment,false,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
777,ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,Эналаприл,Эналаприл,high,resolved_input_explicit,,,,skip_strong_input_mnn,false,,0,,,,Эналаприл,input_explicit_mnn,false,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,redesign/artifacts/mnn_identity_enrichment_pass_searxng_raw.jsonl,461
