product_id,normalized_text,final_candidate_mnn,final_age,final_age_method,final_age_stage,final_age_source,final_age_confidence,final_age_reason,sem_age,catalog_age,previous_enrichment_age,identity_enrichment_age,age_candidates_json,pass_action,identity_gate_status,new_enrichment_status,research_summary,evidence_urls,label_age,label_notes,needs_human_review_age,review_priority,audit_data_gaps,age_error_bucket,manual_expected_age_hint
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Флуконазол,unknown,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,,,,,[],skip_catalog,resolved_catalog,,pass_action=skip_catalog; catalog_consensus_retained,,incorrect,"препарат otc, возрастной сегмент - универсальный",TRUE,high,previous enrichment RX/OTC absent; previous enrichment Age absent; Sem Age absent; catalog Age absent/unknown,unknown_should_be_resolved,универсальный
20614,"ДЕКСАМЕТАЗОН-КРКА ТАБЛ. 4МГ №20 | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО | КРКА Д.Д., НОВО МЕСТО АО/КРКА-РУС ООО",Дексаметазон,unknown,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,,,,,[],skip_strong_input_mnn,resolved_input_explicit,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,incorrect,возрастной сегмент - универсальный,TRUE,high,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; Sem Age absent; catalog Age absent/unknown,unknown_should_be_resolved,универсальный
10536,ОМЕПРАЗОЛ-ОBL КАПС. КИШ/РАСТ. 20МГ №28 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Омепразол,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",skip_strong_input_mnn,resolved_input_explicit,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,incorrect,возрастной сегмент - универсальный,FALSE,low,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown,wrong_age_segment,универсальный
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,Амброксол,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",skip_strong_input_mnn,resolved_input_explicit,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,incorrect,"препарат otc, возрастной сегмент - универсальный",FALSE,low,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown,wrong_age_segment,универсальный
20122,ДИОСМИН ТАБЛ. П/ПЛЕН/ОБ. 600МГ №60 ОЗОН | ОЗОН ООО | ОЗОН ООО,Диосмин,взрослые,sem_baseline,sem1,sem_wave500_mnn_v3_report,medium,Sem v3 canonical attr contains Age=взрослые,взрослые,,,,"[{""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",skip_strong_input_mnn,resolved_input_explicit,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,incorrect,возрастной сегмент - универсальный,FALSE,low,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; catalog Age absent/unknown,wrong_age_segment,универсальный
21010,ГЛИЦИН ФОРТЕ ТАБЛ. ЗАЩЕЧН. И П/ЯЗЫЧН. 250МГ №20 ОЗОН | ОЗОН ООО | ОЗОН ООО,Глицин,unknown,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,,,,,[],skip_strong_input_mnn,resolved_input_explicit,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,incorrect,возрастной сегмент - универсальный,TRUE,high,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; Sem Age absent; catalog Age absent/unknown,unknown_should_be_resolved,универсальный
15150,ЛИДОКАИН БУФУС Р-Р Д/ИН. 100МГ/МЛ АМП. 2МЛ №10 ОБНОВЛЕНИЕ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,Лидокаин,unknown,not_resolved,none,none,unknown,no accepted pipeline source contains Age; display value unknown,,,,,[],skip_strong_input_mnn,resolved_input_explicit,,pass_action=skip_strong_input_mnn; strong_input_explicit_accepted,,incorrect,возрастной сегмент - взрослый,TRUE,high,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; previous enrichment Age absent; Sem Age absent; catalog Age absent/unknown,unknown_should_be_resolved,взрослые
13616,"МЕЛИССЫ ЛЕКАРСТВЕННОЙ ТРАВА Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Melissae officinalis herba,взрослые,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=взрослые",взрослые,,взрослые,,"[{""value"": ""взрослые"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",reuse_existing_enrichment,resolved_enrichment,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,incorrect,возрастной сегмент - универсальный. MNN необходим на кирилице,FALSE,low,catalog RX/OTC absent/unknown; catalog Age absent/unknown,wrong_age_segment,универсальный
18125,КАНДЕСАРТАН ТАБЛ. 16МГ №28 БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ | БЕРЕЗОВСКИЙ ФЗ,Кандесартан,универсальный,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=универсальный; weaker sources differ: sem_baseline=взрослые",взрослые,,универсальный,,"[{""value"": ""универсальный"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",reuse_existing_enrichment,resolved_enrichment,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,incorrect,возрастной сегмент - взрослый,FALSE,low,catalog RX/OTC absent/unknown; catalog Age absent/unknown,wrong_age_segment,взрослые
24750,АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА ПЛЮС РЕНЕВАЛ ТАБЛ. 500МГ+25МГ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,"Ацетилсалициловая кислота, Аскорбиновая кислота",взрослые,previous_enrichment,previous_mnn_enrichment,mnn_catalog_resolution_wave500_v3,high,"reused prior enrichment: status=ok, validated Age=взрослые",взрослые,,взрослые,,"[{""value"": ""взрослые"", ""method"": ""previous_enrichment"", ""stage"": ""previous_mnn_enrichment"", ""source"": ""mnn_catalog_resolution_wave500_v3"", ""confidence"": ""high""}, {""value"": ""взрослые"", ""method"": ""sem_baseline"", ""stage"": ""sem1"", ""source"": ""sem_wave500_mnn_v3_report"", ""confidence"": ""medium""}]",reuse_existing_enrichment,resolved_enrichment,,pass_action=reuse_existing_enrichment; identity_gate_already_used_enrichment,,incorrect,возрастной сегмент - универсальный,FALSE,low,catalog RX/OTC absent/unknown; catalog Age absent/unknown,wrong_age_segment,универсальный
