product_id,normalized_text,final_candidate_mnn,final_mnn_method,pass_action,identity_gate_status,new_enrichment_status,research_summary,label_mnn,label_notes,final_rx_otc,final_age,needs_human_review,needs_human_review_any,review_priority,audit_data_gaps,observed_non_drug_signal,suggested_next_analysis_bucket
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,,unresolved_final,new_enrichment,unresolved_catalog,ok_partial,"status=ok_partial | Category=Drug | RX_OTC=not applicable | Age=Универсальный | По данным поиска, Фарингал упоминается в контексте лекарственных средств, но точная информация о МНН, рецептурности и возрастных ограничениях отсутствует. В результатах есть ссылки на инструкцию на webapteka.ru и rlsnet.ru, но содержимое не раскрывает этих деталей. Также…",should_be_empty,BAS,otc,универсальный,TRUE,TRUE,high,previous enrichment RX/OTC absent; catalog RX/OTC absent/unknown; Sem Age absent; catalog Age absent/unknown,label_should_be_empty_only,keep_human_review
21387,ГЕПАВИЗИМ ФОСФОЛИПИДЫ+L-ОРИНИТИН+КУРКУМИН КАПС. ПО 495МГ №30 | ВТФ ООО | ВТФ ООО,,unresolved_final,new_enrichment,unresolved_catalog,ok,"status=ok | Category=BAS | RX_OTC=not applicable | Age=Универсальный | Гепавизим Фосфолипиды+L-орнитин+Куркумин является биологически активной добавкой к пище (БАД), источником L-орнитина, куркумина и глицирризиновой кислоты (источники: aptekamos.ru, lsgeotar.ru). Информация о МНН отсутствует, так как это БАД. Отпускается без рецепта, так как не…",should_be_empty,BAS,not_applicable,not_applicable,TRUE,TRUE,high,,bas_from_research_summary,candidate_bas_override_review
18830,ИЗЖОГАНЕТ АНТАЦИДНЫЙ КОМПЛЕКС СО ВКУСОМ МЯТЫ ТАБЛ. 600МГ №40 | ГРИН САЙД ООО | ГРИН САЙД ООО,,unresolved_final,new_enrichment,unresolved_catalog,ok,"status=ok | Category=BAS | RX_OTC=not applicable | Age=Взрослый | Согласно найденным источникам, «Изжоганет Антацидный комплекс» является биологически активной добавкой (БАД) к пище, а не лекарственным средством. Он способствует устранению изжоги, чувства тяжести в желудке, отрыжки и улучшению пищеварения. Инструкция по применению указывает,…",should_be_empty,BAS,not_applicable,not_applicable,TRUE,TRUE,high,,bas_from_research_summary,candidate_bas_override_review
5322,"ТАВОЛГА ВЯЗОЛИСТНАЯ (ЛАБАЗНИК) ТРАВА Ф/П 1,5Г №20 ХЕРБЕС | ХЕРБЕС ООО | ХЕРБЕС ООО",,unresolved_final,new_enrichment,unresolved_catalog,ok,"status=ok | Category=BAS | RX_OTC=not applicable | Age=Универсальный | Согласно найденным источникам, таволга вязолистная (лабазник) является лекарственным растением, но в результатах поиска нет указаний на то, что это лекарственное средство, зарегистрированное в ГРЛС. На сайте rlsnet.ru она классифицируется как БАД (биологически активная добавка)…",should_be_empty,BAS,not_applicable,not_applicable,TRUE,TRUE,high,,bas_from_research_summary,candidate_bas_override_review
9197,ПОМОГУША СИРОП ДЕТСКИЙ ДЛЯ ДЕТЕЙ С 3-Х ЛЕТ ПРОТИВОПРОСТУДНЫЙ 100МЛ | ЮГ ООО | ЮГ ООО,,unresolved_final,new_enrichment,unresolved_catalog,ok,"status=ok | Category=Other | RX_OTC=not applicable | Age=Детский | Согласно найденным инструкциям, препарат 'Помогуша' предназначен для детей с 3 лет. В инструкциях указаны дозировки для детей от 3 до 11 лет и от 11 до 14 лет. Однако в результатах поиска не найдено информации о регистрации в ГРЛС, МНН или рецептурном статусе. Упоминания о…",should_be_empty,BAS,not_applicable,not_applicable,TRUE,TRUE,high,,other_from_research_summary,candidate_other_override_review
11272,НООТРОП КАПС. №48 | ВИС ООО | ВИС ООО,,unresolved_final,new_enrichment,unresolved_catalog,ok,"status=ok | Category=BAS | RX_OTC=not applicable | Age=Универсальный | Согласно найденным источникам, препарат «Ноотроп» (капсулы №48, производитель ВИС ООО) относится к биологически активным добавкам (БАД), а не к лекарственным средствам. Например, на сайте neboleem.net указано: «Ноотроп - нелекарственный препарат, относящийся к классу…",should_be_empty,BAS,not_applicable,not_applicable,TRUE,TRUE,high,,bas_from_research_summary,candidate_bas_override_review
18179,КАЛЬЦИЯ ГЛЮКОНАТ ЭКО ТАБЛ. ПО 500МГ №10 | ЭКОТЕКС ООО | ЭКОТЕКС ООО,,unresolved_final,new_enrichment,unresolved_catalog,ok,"status=ok | Category=BAS | mnn=Кальция глюконат | RX_OTC=not applicable | Age=Универсальный | Согласно найденным источникам, препарат 'Кальция глюконат Эко' является биологически активной добавкой к пище, а не лекарственным средством. В нескольких источниках указано, что он применяется в качестве дополнительного источника кальция (например, на lsgeotar.ru и…",should_be_empty,BAS,not_applicable,not_applicable,TRUE,TRUE,high,,bas_from_research_summary,candidate_bas_override_review
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,,unresolved_final,new_enrichment,unresolved_catalog,ok,"status=ok | Category=BAS | RX_OTC=not applicable | Age=Универсальный | Согласно найденным данным, продукт 'Самбукус Бузина Иммунитет' является биологически активной добавкой (БАД), а не лекарственным средством. В составе указаны экстракт плодов бузины черной, мед, экстракт эхинацеи, витамин C и цинк (источник: aptekamos.ru). На сайте Здравсити…",should_be_empty,BAS,not_applicable,not_applicable,TRUE,TRUE,high,,bas_from_research_summary,candidate_bas_override_review
249,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,,unresolved_final,new_enrichment,unresolved_catalog,ok,"status=ok | Category=BAS | RX_OTC=not applicable | Age=Взрослый | Остеомед является биологически активной добавкой к пище (БАД), а не лекарственным средством. Согласно инструкции на сайте Видаль, он является дополнительным источником кальция и витамина В6, содержит деценовые кислоты. Рекомендуется взрослым по 2 таблетки 3 раза в сутки или по…",should_be_empty,BAS,not_applicable,not_applicable,TRUE,TRUE,high,,bas_from_research_summary,candidate_bas_override_review
19198,ЗВЕРОБОЯ ТРАВА 50Г ФИТОФАРМ | ФИТОФАРМ ООО | ФИТОФАРМ ООО,,unresolved_final,new_enrichment,unresolved_catalog,ok_partial,"status=ok_partial | Category=Drug | RX_OTC=OTC | Age=Универсальный | Зверобоя трава является лекарственным средством (ЛС) согласно данным Государственного реестра лекарственных средств (ГРЛС) и других источников. МНН (международное непатентованное название) в предоставленных результатах поиска не указано, поэтому оно не определено. Препарат…",incorrect,"Drug (Трава зверобоя), ОТС, Взрослый",otc,unknown,TRUE,TRUE,high,previous enrichment RX/OTC present but status not ok; catalog RX/OTC absent/unknown; previous enrichment Age present but status not ok; Sem Age absent; catalog Age absent/unknown,unresolved_no_mnn,keep_human_review
