product_id,normalized_text,normalized_text_full_v4_1,product_identity_text_v4_1,enrichment_query_text_v4_1,enrichment_query_disambiguator_v4_1,enrichment_retrieval_text_v4_1,brand_or_product_name_v4_1,dosage_form_v4_1,strength_v4_1,container_type_v4_1,unit_content_amount_v4_1,pack_unit_count_v4_1,pack_structure_v4_1,manufacturer_v4_1,product_name_raw_v4_1,manufacturer_prefix_raw_v4_1,product_name_remainder_raw_v4_1,product_name_recovery_status_v4_1,m5_0_label_norm_v4_identity_preserved,m5_0_label_norm_v4_query_appropriate,m5_0_label_norm_v4_notes,m5_1_resolution_status,m5_1_resolution_reason,review_stratum_v4_1,label_norm_v4_1_identity_preserved,label_norm_v4_1_query_appropriate,label_norm_v4_1_manufacturer_correct,label_norm_v4_1_pack_structure_correct,label_norm_v4_1_product_name_role_correct,label_norm_v4_1_notes
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,"Хайлефлокс; таблетки, покрытые пленочной оболочкой; 500 мг; N5; производитель: Хайгланс лабораториз пвт. Лтд",Хайлефлокс; таблетки; 500 мг; N5; Хайгланс лабораториз пвт. Лтд,Хайлефлокс таблетки 500 мг N5,Хайгланс лабораториз пвт. Лтд,"Хайлефлокс таблетки 500 мг N5, Хайгланс лабораториз пвт. Лтд",Хайлефлокс,таблетки,500 мг,unknown,,N5,N5,Хайгланс лабораториз пвт. Лтд,ХАЙЛЕФЛОКС 500мг таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,"Мерифатин МВ; таблетки, с пролонгированным высвобождением; 750 мг; N60; производитель: Фармасинтез-Тюмень ООО",Мерифатин МВ; таблетки; 750 мг; N60; Фармасинтез-Тюмень ООО,Мерифатин МВ таблетки 750 мг N60,Фармасинтез-Тюмень ООО,"Мерифатин МВ таблетки 750 мг N60, Фармасинтез-Тюмень ООО",Мерифатин МВ,таблетки,750 мг,unknown,,N60,N60,Фармасинтез-Тюмень ООО,МЕРИФАТИН МВ 750мг таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
34,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,"Меладапт; таблетки, покрытые пленочной оболочкой; 3 мг; N10; производитель: Озон ООО",Меладапт; таблетки; 3 мг; N10; Озон ООО,Меладапт таблетки 3 мг N10,Озон ООО,"Меладапт таблетки 3 мг N10, Озон ООО",Меладапт,таблетки,3 мг,unknown,,N10,N10,Озон ООО,МЕЛАДАПТ 3мг таб. покрытые пленочной оболочкой Озон ООО,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,Аквион Кожа Волосы Ногти; таблетки; N60; производитель: ВТФ ООО,Аквион Кожа Волосы Ногти; таблетки; N60; ВТФ ООО,Аквион Кожа Волосы Ногти таблетки N60,ВТФ ООО,"Аквион Кожа Волосы Ногти таблетки N60, ВТФ ООО",Аквион Кожа Волосы Ногти,таблетки,,unknown,,N60,N60,ВТФ ООО,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. ВТФ ООО,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,"Гепарин; раствор, для инъекций; 5000 ЕД/мл; 5 мл, N5; производитель: Армавирская биологическая фабрика фгуп","Гепарин; раствор; 5000 ЕД/мл; 5 мл, N5; Армавирская биологическая фабрика фгуп",Гепарин раствор 5000 ЕД/мл 5 мл N5,Армавирская биологическая фабрика фгуп,"Гепарин раствор 5000 ЕД/мл 5 мл N5, Армавирская биологическая фабрика фгуп",Гепарин,раствор,5000 ЕД/мл,unknown,5 мл,N5,"5 мл, N5",Армавирская биологическая фабрика фгуп,ГЕПАРИН 5000ЕД/мл р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп,,,not_applicable,no,no,"severity=major; reason=unit_volume_and_container_lost; source_pack=""амп. 5 мл N5""; actual_pack=""N5""; expected=""амп. 5 мл N5""; action=""add_container_and_unit_content_fields""",partially_resolved,"Restored unit volume 5 мл and N5 in query/retrieval; kept 5000 ЕД/мл as strength. Source has no амп./ампула marker, so container stays unknown (not inferred). Reviewer note source_pack=амп. 5 мл N5 does not match actual source.",m50_label_no,,,,,,
56,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,Ритофлекс МСМ; таблетки; N60; производитель: Фармацевтическая фабрика ООО,Ритофлекс МСМ; таблетки; N60; Фармацевтическая фабрика ООО,Ритофлекс МСМ таблетки N60,Фармацевтическая фабрика ООО,"Ритофлекс МСМ таблетки N60, Фармацевтическая фабрика ООО",Ритофлекс МСМ,таблетки,,unknown,,N60,N60,Фармацевтическая фабрика ООО,РИТОФЛЕКС МСМ таб. Фармацевтическая Фабрика ООО,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,"Эплеренон-Тева; таблетки, покрытые пленочной оболочкой; 25 мг; N30; производитель: Тева фармасьютикал воркс прайвэт Лимитед Компани",Эплеренон-Тева; таблетки; 25 мг; N30; Тева фармасьютикал воркс прайвэт Лимитед Компани,Эплеренон-Тева таблетки 25 мг N30,Тева фармасьютикал воркс прайвэт Лимитед Компани,"Эплеренон-Тева таблетки 25 мг N30, Тева фармасьютикал воркс прайвэт Лимитед Компани",Эплеренон-Тева,таблетки,25 мг,unknown,,N30,N30,Тева фармасьютикал воркс прайвэт Лимитед Компани,ЭПЛЕРЕНОН-ТЕВА 25мг таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,"Розувастатин-Тева; таблетки, покрытые пленочной оболочкой; 20 мг; N90; производитель: Р-Фарм новосёлки ООО",Розувастатин-Тева; таблетки; 20 мг; N90; Р-Фарм новосёлки ООО,Розувастатин-Тева таблетки 20 мг N90,Р-Фарм новосёлки ООО,"Розувастатин-Тева таблетки 20 мг N90, Р-Фарм новосёлки ООО",Розувастатин-Тева,таблетки,20 мг,unknown,,N90,N90,Р-Фарм новосёлки ООО,РОЗУВАСТАТИН-ТЕВА 20мг таб. покрытые пленочной оболочкой Р-Фарм Новосёлки,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,Фарингал; таблетки; 650 мг; N10; производитель: Салута-М ООО,Фарингал; таблетки; 650 мг; N10; Салута-М ООО,Фарингал таблетки 650 мг N10,Салута-М ООО,"Фарингал таблетки 650 мг N10, Салута-М ООО",Фарингал,таблетки,650 мг,unknown,,N10,N10,Салута-М ООО,ФАРИНГАЛ таб. 650мг Салута-М,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,ordinary_successfully_remediated,,,,,,
73,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,"Гастрасан Экспресс; таблетки, жевательные; 680 мг + 80 мг; N12; Апельсин; производитель: ЮжФарм ООО",Гастрасан Экспресс; таблетки; 680 мг + 80 мг; N12; ЮжФарм ООО,Гастрасан Экспресс таблетки 680 мг + 80 мг N12 Апельсин,ЮжФарм ООО,"Гастрасан Экспресс таблетки 680 мг + 80 мг N12 Апельсин, ЮжФарм ООО",Гастрасан Экспресс,таблетки,680 мг + 80 мг,unknown,,N12,N12,ЮжФарм ООО,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг таб. жевательные Апельсин ЮжФарм ООО,,,not_applicable,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,multi_component_strength_pack,,,,,,
