product_id,normalized_text,normalized_text_full_v4,product_identity_text_v4,enrichment_query_text_v4,enrichment_query_disambiguator_v4,normalized_text_full_v4_1,product_identity_text_v4_1,enrichment_query_text_v4_1,enrichment_query_disambiguator_v4_1,enrichment_retrieval_text_v4_1,source_char_count,query_v4_char_count,query_v4_1_char_count,retrieval_v4_1_char_count,container_type_raw_v4_1,container_type_v4_1,unit_content_amount_v4_1,pack_unit_count_v4_1,pack_structure_raw_v4_1,pack_structure_v4_1,pack_parse_status_v4_1,pack_parse_warnings_v4_1,brand_or_product_name_v4,brand_or_product_name_v4_1,dosage_form_v4,dosage_form_v4_1,strength_v4,strength_v4_1,manufacturer_v4_1,normalization_flags_v4_1,normalization_warnings_v4_1,safety_flags_v4_1,m5_0_label_norm_v4_identity_preserved,m5_0_label_norm_v4_query_appropriate,m5_0_label_norm_v4_notes,m5_1_resolution_status,m5_1_resolution_reason,query_gained_container_v4_1,query_gained_unit_amount_v4_1,query_gained_pack_count_v4_1,role_assignment_ok_v4_1,possible_brand_loss_v4_1,possible_form_loss_v4_1,possible_strength_loss_v4_1,possible_pack_loss_v4_1
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,"ХАЙЛЕФЛОКС; таблетки, покрытые пленочной оболочкой; 500 мг; N5; производитель: Хайгланс лабораториз пвт. Лтд",Хайлефлокс; таблетки; 500 мг; N5; Хайгланс лабораториз пвт. Лтд,Хайлефлокс таблетки 500 мг N5,Хайгланс лабораториз пвт. Лтд,"Хайлефлокс; таблетки, покрытые пленочной оболочкой; 500 мг; N5; производитель: Хайгланс лабораториз пвт. Лтд",Хайлефлокс; таблетки; 500 мг; N5; Хайгланс лабораториз пвт. Лтд,Хайлефлокс таблетки 500 мг N5,Хайгланс лабораториз пвт. Лтд,"Хайлефлокс таблетки 500 мг N5, Хайгланс лабораториз пвт. Лтд",152,29,29,60,,unknown,,N5,N5,N5,parsed,,Хайлефлокс,Хайлефлокс,таблетки,таблетки,500 мг,500 мг,Хайгланс лабораториз пвт. Лтд,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,"МЕРИФАТИН МВ; таблетки, с пролонгированным высвобождением; 750 мг; N60; производитель: Фармасинтез-Тюмень ООО",Мерифатин МВ; таблетки; 750 мг; N60; Фармасинтез-Тюмень ООО,Мерифатин МВ таблетки 750 мг N60,Фармасинтез-Тюмень ООО,"Мерифатин МВ; таблетки, с пролонгированным высвобождением; 750 мг; N60; производитель: Фармасинтез-Тюмень ООО",Мерифатин МВ; таблетки; 750 мг; N60; Фармасинтез-Тюмень ООО,Мерифатин МВ таблетки 750 мг N60,Фармасинтез-Тюмень ООО,"Мерифатин МВ таблетки 750 мг N60, Фармасинтез-Тюмень ООО",140,32,32,56,,unknown,,N60,N60,N60,parsed,,Мерифатин МВ,Мерифатин МВ,таблетки,таблетки,750 мг,750 мг,Фармасинтез-Тюмень ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
34,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,"МЕЛАДАПТ; таблетки, покрытые пленочной оболочкой; 3 мг; N10; производитель: Озон ООО",Меладапт; таблетки; 3 мг; N10; Озон ООО,Меладапт таблетки 3 мг N10,Озон ООО,"Меладапт; таблетки, покрытые пленочной оболочкой; 3 мг; N10; производитель: Озон ООО",Меладапт; таблетки; 3 мг; N10; Озон ООО,Меладапт таблетки 3 мг N10,Озон ООО,"Меладапт таблетки 3 мг N10, Озон ООО",87,26,26,36,,unknown,,N10,N10,N10,parsed,,Меладапт,Меладапт,таблетки,таблетки,3 мг,3 мг,Озон ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,АКВИОН КОЖА ВОЛОСЫ НОГТИ; таблетки; N60; производитель: ВТФ ООО,Аквион Кожа Волосы Ногти; таблетки; [missing_strength]; N60; ВТФ ООО,Аквион Кожа Волосы Ногти таблетки N60,ВТФ ООО,Аквион Кожа Волосы Ногти; таблетки; N60; производитель: ВТФ ООО,Аквион Кожа Волосы Ногти; таблетки; N60; ВТФ ООО,Аквион Кожа Волосы Ногти таблетки N60,ВТФ ООО,"Аквион Кожа Волосы Ногти таблетки N60, ВТФ ООО",67,37,37,46,,unknown,,N60,N60,N60,parsed,,Аквион Кожа Волосы Ногти,Аквион Кожа Волосы Ногти,таблетки,таблетки,,,ВТФ ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,"ГЕПАРИН; раствор, для инъекций; 5000 ЕД/мл; 5 мл; N5; производитель: Армавирская биологическая фабрика фгуп",Гепарин; раствор; 5000 ЕД/мл; N5; Армавирская биологическая фабрика фгуп,Гепарин раствор 5000 ЕД/мл N5,Армавирская биологическая фабрика фгуп,"Гепарин; раствор, для инъекций; 5000 ЕД/мл; 5 мл, N5; производитель: Армавирская биологическая фабрика фгуп","Гепарин; раствор; 5000 ЕД/мл; 5 мл, N5; Армавирская биологическая фабрика фгуп",Гепарин раствор 5000 ЕД/мл 5 мл N5,Армавирская биологическая фабрика фгуп,"Гепарин раствор 5000 ЕД/мл 5 мл N5, Армавирская биологическая фабрика фгуп",177,29,34,74,,unknown,5 мл,N5,5мл N5,"5 мл, N5",parsed,,Гепарин,Гепарин,раствор,раствор,5000 ЕД/мл,5000 ЕД/мл,Армавирская биологическая фабрика фгуп,query_gained_unit_amount,,,no,no,"severity=major; reason=unit_volume_and_container_lost; source_pack=""амп. 5 мл N5""; actual_pack=""N5""; expected=""амп. 5 мл N5""; action=""add_container_and_unit_content_fields""",partially_resolved,"Restored unit volume 5 мл and N5 in query/retrieval; kept 5000 ЕД/мл as strength. Source has no амп./ампула marker, so container stays unknown (not inferred). Reviewer note source_pack=амп. 5 мл N5 does not match actual source.",false,true,false,true,false,false,false,false
56,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,РИТОФЛЕКС МСМ; таблетки; N60; производитель: Фармацевтическая фабрика ООО,Ритофлекс МСМ; таблетки; [missing_strength]; N60; Фармацевтическая фабрика ООО,Ритофлекс МСМ таблетки N60,Фармацевтическая фабрика ООО,Ритофлекс МСМ; таблетки; N60; производитель: Фармацевтическая фабрика ООО,Ритофлекс МСМ; таблетки; N60; Фармацевтическая фабрика ООО,Ритофлекс МСМ таблетки N60,Фармацевтическая фабрика ООО,"Ритофлекс МСМ таблетки N60, Фармацевтическая фабрика ООО",119,26,26,56,,unknown,,N60,N60,N60,parsed,,Ритофлекс МСМ,Ритофлекс МСМ,таблетки,таблетки,,,Фармацевтическая фабрика ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,"ЭПЛЕРЕНОН-ТЕВА; таблетки, покрытые пленочной оболочкой; 25 мг; N30; производитель: Тева фармасьютикал воркс прайвэт Лимитед Компани",Эплеренон-Тева; таблетки; 25 мг; N30; Тева фармасьютикал воркс прайвэт Лимитед Компани,Эплеренон-Тева таблетки 25 мг N30,Тева фармасьютикал воркс прайвэт Лимитед Компани,"Эплеренон-Тева; таблетки, покрытые пленочной оболочкой; 25 мг; N30; производитель: Тева фармасьютикал воркс прайвэт Лимитед Компани",Эплеренон-Тева; таблетки; 25 мг; N30; Тева фармасьютикал воркс прайвэт Лимитед Компани,Эплеренон-Тева таблетки 25 мг N30,Тева фармасьютикал воркс прайвэт Лимитед Компани,"Эплеренон-Тева таблетки 25 мг N30, Тева фармасьютикал воркс прайвэт Лимитед Компани",214,33,33,83,,unknown,,N30,N30,N30,parsed,,Эплеренон-Тева,Эплеренон-Тева,таблетки,таблетки,25 мг,25 мг,Тева фармасьютикал воркс прайвэт Лимитед Компани,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,"РОЗУВАСТАТИН-ТЕВА; таблетки, покрытые пленочной оболочкой; 20 мг; N90; производитель: Р-Фарм новосёлки ООО",Розувастатин-Тева; таблетки; 20 мг; N90; Р-Фарм новосёлки ООО,Розувастатин-Тева таблетки 20 мг N90,Р-Фарм новосёлки ООО,"Розувастатин-Тева; таблетки, покрытые пленочной оболочкой; 20 мг; N90; производитель: Р-Фарм новосёлки ООО",Розувастатин-Тева; таблетки; 20 мг; N90; Р-Фарм новосёлки ООО,Розувастатин-Тева таблетки 20 мг N90,Р-Фарм новосёлки ООО,"Розувастатин-Тева таблетки 20 мг N90, Р-Фарм новосёлки ООО",129,36,36,58,,unknown,,N90,N90,N90,parsed,,Розувастатин-Тева,Розувастатин-Тева,таблетки,таблетки,20 мг,20 мг,Р-Фарм новосёлки ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,ФАРИНГАЛ; таблетки; 650 мг; N10; производитель: Салута-М ООО,Фарингал; таблетки; 650 мг; N10; Салута-М ООО,Фарингал таблетки 650 мг N10,Салута-М ООО,Фарингал; таблетки; 650 мг; N10; производитель: Салута-М ООО,Фарингал; таблетки; 650 мг; N10; Салута-М ООО,Фарингал таблетки 650 мг N10,Салута-М ООО,"Фарингал таблетки 650 мг N10, Салута-М ООО",68,28,28,42,,unknown,,N10,N10,N10,parsed,,Фарингал,Фарингал,таблетки,таблетки,650 мг,650 мг,Салута-М ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
73,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,"ГАСТРАСАН ЭКСПРЕСС; таблетки, жевательные; 680 мг + 80 мг; N12; Апельсин; производитель: ЮжФарм ООО",Гастрасан Экспресс; таблетки; 680 мг + 80 мг; N12; ЮжФарм ООО,Гастрасан Экспресс таблетки 680 мг + 80 мг N12,ЮжФарм ООО,"Гастрасан Экспресс; таблетки, жевательные; 680 мг + 80 мг; N12; Апельсин; производитель: ЮжФарм ООО",Гастрасан Экспресс; таблетки; 680 мг + 80 мг; N12; ЮжФарм ООО,Гастрасан Экспресс таблетки 680 мг + 80 мг N12 Апельсин,ЮжФарм ООО,"Гастрасан Экспресс таблетки 680 мг + 80 мг N12 Апельсин, ЮжФарм ООО",102,46,55,67,,unknown,,N12,N12,N12,parsed,,Гастрасан Экспресс,Гастрасан Экспресс,таблетки,таблетки,680 мг + 80 мг,680 мг + 80 мг,ЮжФарм ООО,,,,yes,yes,,not_applicable,M5.0 identity and query were accepted (yes); no labeled defect to remediate.,false,false,false,true,false,false,false,false
