product_id,normalized_text,normalized_text_full_v4,product_identity_text_v4,enrichment_query_text_v4,enrichment_query_disambiguator_v4,brand_or_product_name_v4,dosage_form_v4,strength_v4,pack_v4,manufacturer_v4,normalization_flags_v4,normalization_warnings_v4,manufacturer_dedup_count_v4,pack_dedup_count_v4,review_stratum_v4,label_norm_v4_identity_preserved,label_norm_v4_query_appropriate,label_norm_v4_manufacturer_correct,label_norm_v4_notes,
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,"ХАЙЛЕФЛОКС; таблетки, покрытые пленочной оболочкой; 500 мг; N5; производитель: Хайгланс лабораториз пвт. Лтд",Хайлефлокс; таблетки; 500 мг; N5; Хайгланс лабораториз пвт. Лтд,Хайлефлокс таблетки 500 мг N5,Хайгланс лабораториз пвт. Лтд,Хайлефлокс,таблетки,500 мг,N5,Хайгланс лабораториз пвт. Лтд,pack_deduped|manufacturer_deduped,,2,1,pack_duplicates,yes,yes,yes,,uncertain 
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,"МЕРИФАТИН МВ; таблетки, с пролонгированным высвобождением; 750 мг; N60; производитель: Фармасинтез-Тюмень ООО",Мерифатин МВ; таблетки; 750 мг; N60; Фармасинтез-Тюмень ООО,Мерифатин МВ таблетки 750 мг N60,Фармасинтез-Тюмень ООО,Мерифатин МВ,таблетки,750 мг,N60,Фармасинтез-Тюмень ООО,pack_deduped|manufacturer_deduped,,2,1,pack_duplicates,yes,yes,yes,,
34,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,"МЕЛАДАПТ; таблетки, покрытые пленочной оболочкой; 3 мг; N10; производитель: Озон ООО",Меладапт; таблетки; 3 мг; N10; Озон ООО,Меладапт таблетки 3 мг N10,Озон ООО,Меладапт,таблетки,3 мг,N10,Озон ООО,pack_deduped|manufacturer_deduped,,2,1,pack_duplicates,yes,yes,yes,,
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,АКВИОН КОЖА ВОЛОСЫ НОГТИ; таблетки; N60; производитель: ВТФ ООО,Аквион Кожа Волосы Ногти; таблетки; [missing_strength]; N60; ВТФ ООО,Аквион Кожа Волосы Ногти таблетки N60,ВТФ ООО,Аквион Кожа Волосы Ногти,таблетки,,N60,ВТФ ООО,pack_deduped|missing_strength|manufacturer_deduped,no strength token extracted,2,1,pack_duplicates,yes,yes,yes,,
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,"ГЕПАРИН; раствор, для инъекций; 5000 ЕД/мл; 5 мл; N5; производитель: Армавирская биологическая фабрика фгуп",Гепарин; раствор; 5000 ЕД/мл; N5; Армавирская биологическая фабрика фгуп,Гепарин раствор 5000 ЕД/мл N5,Армавирская биологическая фабрика фгуп,Гепарин,раствор,5000 ЕД/мл,N5,Армавирская биологическая фабрика фгуп,pack_deduped|manufacturer_deduped,,2,1,pack_duplicates,no,no,yes,"severity=major; reason=unit_volume_and_container_lost; source_pack=""амп. 5 мл N5""; actual_pack=""N5""; expected=""амп. 5 мл N5""; action=""add_container_and_unit_content_fields""",
56,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,РИТОФЛЕКС МСМ; таблетки; N60; производитель: Фармацевтическая фабрика ООО,Ритофлекс МСМ; таблетки; [missing_strength]; N60; Фармацевтическая фабрика ООО,Ритофлекс МСМ таблетки N60,Фармацевтическая фабрика ООО,Ритофлекс МСМ,таблетки,,N60,Фармацевтическая фабрика ООО,pack_deduped|missing_strength|manufacturer_deduped,no strength token extracted,2,1,pack_duplicates,yes,yes,yes,,
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,"ЭПЛЕРЕНОН-ТЕВА; таблетки, покрытые пленочной оболочкой; 25 мг; N30; производитель: Тева фармасьютикал воркс прайвэт Лимитед Компани",Эплеренон-Тева; таблетки; 25 мг; N30; Тева фармасьютикал воркс прайвэт Лимитед Компани,Эплеренон-Тева таблетки 25 мг N30,Тева фармасьютикал воркс прайвэт Лимитед Компани,Эплеренон-Тева,таблетки,25 мг,N30,Тева фармасьютикал воркс прайвэт Лимитед Компани,pack_deduped|manufacturer_deduped,,2,1,pack_duplicates,yes,yes,yes,,
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,"РОЗУВАСТАТИН-ТЕВА; таблетки, покрытые пленочной оболочкой; 20 мг; N90; производитель: Р-Фарм новосёлки ООО",Розувастатин-Тева; таблетки; 20 мг; N90; Р-Фарм новосёлки ООО,Розувастатин-Тева таблетки 20 мг N90,Р-Фарм новосёлки ООО,Розувастатин-Тева,таблетки,20 мг,N90,Р-Фарм новосёлки ООО,pack_deduped|manufacturer_deduped,,2,1,pack_duplicates,yes,yes,yes,,
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,ФАРИНГАЛ; таблетки; 650 мг; N10; производитель: Салута-М ООО,Фарингал; таблетки; 650 мг; N10; Салута-М ООО,Фарингал таблетки 650 мг N10,Салута-М ООО,Фарингал,таблетки,650 мг,N10,Салута-М ООО,pack_deduped|manufacturer_deduped,,2,1,pack_duplicates,yes,yes,yes,,
73,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,"ГАСТРАСАН ЭКСПРЕСС; таблетки, жевательные; 680 мг + 80 мг; N12; Апельсин; производитель: ЮжФарм ООО",Гастрасан Экспресс; таблетки; 680 мг + 80 мг; N12; ЮжФарм ООО,Гастрасан Экспресс таблетки 680 мг + 80 мг N12,ЮжФарм ООО,Гастрасан Экспресс,таблетки,680 мг + 80 мг,N12,ЮжФарм ООО,pack_deduped|multi_component_strength|manufacturer_deduped,,2,1,multi_component_strength,yes,yes,yes,,
