product_id,normalized_text,normalized_text_full_v4,product_identity_text_v4,enrichment_query_text_v4,source_char_count,full_v4_char_count,identity_v4_char_count,query_v4_char_count,has_manufacturer_dup_before,manufacturer_dedup_count_v4,has_pack_dup_before,pack_dedup_count_v4,brand_or_product_name_v4,dosage_form_v4,strength_v4,pack_v4,manufacturer_v4,normalization_flags_v4,normalization_warnings_v4,safety_flags_v4
8,ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,"ХАЙЛЕФЛОКС; таблетки, покрытые пленочной оболочкой; 500 мг; N5; производитель: Хайгланс лабораториз пвт. Лтд",Хайлефлокс; таблетки; 500 мг; N5; Хайгланс лабораториз пвт. Лтд,Хайлефлокс таблетки 500 мг N5,152,108,63,29,true,2,true,1,Хайлефлокс,таблетки,500 мг,N5,Хайгланс лабораториз пвт. Лтд,pack_deduped|manufacturer_deduped,,
28,МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,"МЕРИФАТИН МВ; таблетки, с пролонгированным высвобождением; 750 мг; N60; производитель: Фармасинтез-Тюмень ООО",Мерифатин МВ; таблетки; 750 мг; N60; Фармасинтез-Тюмень ООО,Мерифатин МВ таблетки 750 мг N60,140,109,59,32,true,2,true,1,Мерифатин МВ,таблетки,750 мг,N60,Фармасинтез-Тюмень ООО,pack_deduped|manufacturer_deduped,,
34,МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,"МЕЛАДАПТ; таблетки, покрытые пленочной оболочкой; 3 мг; N10; производитель: Озон ООО",Меладапт; таблетки; 3 мг; N10; Озон ООО,Меладапт таблетки 3 мг N10,87,84,39,26,true,2,true,1,Меладапт,таблетки,3 мг,N10,Озон ООО,pack_deduped|manufacturer_deduped,,
45,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,АКВИОН КОЖА ВОЛОСЫ НОГТИ; таблетки; N60; производитель: ВТФ ООО,Аквион Кожа Волосы Ногти; таблетки; [missing_strength]; N60; ВТФ ООО,Аквион Кожа Волосы Ногти таблетки N60,67,63,68,37,true,2,true,1,Аквион Кожа Волосы Ногти,таблетки,,N60,ВТФ ООО,pack_deduped|missing_strength|manufacturer_deduped,no strength token extracted,
54,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,"ГЕПАРИН; раствор, для инъекций; 5000 ЕД/мл; 5 мл; N5; производитель: Армавирская биологическая фабрика фгуп",Гепарин; раствор; 5000 ЕД/мл; N5; Армавирская биологическая фабрика фгуп,Гепарин раствор 5000 ЕД/мл N5,177,107,72,29,true,2,true,1,Гепарин,раствор,5000 ЕД/мл,N5,Армавирская биологическая фабрика фгуп,pack_deduped|manufacturer_deduped,,
56,РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,РИТОФЛЕКС МСМ; таблетки; N60; производитель: Фармацевтическая фабрика ООО,Ритофлекс МСМ; таблетки; [missing_strength]; N60; Фармацевтическая фабрика ООО,Ритофлекс МСМ таблетки N60,119,73,78,26,true,2,true,1,Ритофлекс МСМ,таблетки,,N60,Фармацевтическая фабрика ООО,pack_deduped|missing_strength|manufacturer_deduped,no strength token extracted,
68,ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,"ЭПЛЕРЕНОН-ТЕВА; таблетки, покрытые пленочной оболочкой; 25 мг; N30; производитель: Тева фармасьютикал воркс прайвэт Лимитед Компани",Эплеренон-Тева; таблетки; 25 мг; N30; Тева фармасьютикал воркс прайвэт Лимитед Компани,Эплеренон-Тева таблетки 25 мг N30,214,131,86,33,true,2,true,1,Эплеренон-Тева,таблетки,25 мг,N30,Тева фармасьютикал воркс прайвэт Лимитед Компани,pack_deduped|manufacturer_deduped,,
70,РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,"РОЗУВАСТАТИН-ТЕВА; таблетки, покрытые пленочной оболочкой; 20 мг; N90; производитель: Р-Фарм новосёлки ООО",Розувастатин-Тева; таблетки; 20 мг; N90; Р-Фарм новосёлки ООО,Розувастатин-Тева таблетки 20 мг N90,129,106,61,36,true,2,true,1,Розувастатин-Тева,таблетки,20 мг,N90,Р-Фарм новосёлки ООО,pack_deduped|manufacturer_deduped,,
72,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,ФАРИНГАЛ; таблетки; 650 мг; N10; производитель: Салута-М ООО,Фарингал; таблетки; 650 мг; N10; Салута-М ООО,Фарингал таблетки 650 мг N10,68,60,45,28,true,2,true,1,Фарингал,таблетки,650 мг,N10,Салута-М ООО,pack_deduped|manufacturer_deduped,,
73,ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,"ГАСТРАСАН ЭКСПРЕСС; таблетки, жевательные; 680 мг + 80 мг; N12; Апельсин; производитель: ЮжФарм ООО",Гастрасан Экспресс; таблетки; 680 мг + 80 мг; N12; ЮжФарм ООО,Гастрасан Экспресс таблетки 680 мг + 80 мг N12,102,99,61,46,true,2,true,1,Гастрасан Экспресс,таблетки,680 мг + 80 мг,N12,ЮжФарм ООО,pack_deduped|multi_component_strength|manufacturer_deduped,,
75,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,САМБУКУС БУЗИНА ИММУНИТЕТ; таблетки; 700 мг; N30; производитель: Грин Сайд ООО,Самбукус Бузина Иммунитет; таблетки; 700 мг; N30; Грин Сайд ООО,Самбукус Бузина Иммунитет таблетки 700 мг N30,99,78,63,45,true,2,true,1,Самбукус Бузина Иммунитет,таблетки,700 мг,N30,Грин Сайд ООО,pack_deduped|manufacturer_deduped,,
