product_id,normalized_text_full,brand,form,strength,pack,manufacturer,mirror_access_status,mirror_hit_count,mirror_record_id,mirror_trade_name,mirror_inn,mirror_reg_number,mirror_reg_state,mirror_holder,mirror_manufacturer,mirror_form_all,identity_grade,match_brand,match_form,match_strength,match_pack,match_manufacturer,explicit_status_text,status_pattern,candidate_rx_otc_value,form_mismatch_detected,final_rx_otc_value,outcome,source_class,official_p1,contract_note
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL,капсулы,150 мг,N4,ОБОЛЕНСКОЕ ФП АО,mirror_status_conflict,3,370628,Флуконазол-OBL,Флуконазол,ЛП-№(001911)-(РГ-RU),ИЗМ,"Акционерное общество ""АЛИУМ"" (АО ""АЛИУМ"")","Акционерное общество ""Биоком"" (АО ""Биоком"")","капсулы, 150 мг, 12 шт. - блистеры (6 шт.)  - пачки картонные (72 шт.)  - По рецепту; капсулы, 150 мг, 12 шт. - блистеры (5 шт.)  - пачки картонные (60 шт.)  - По рецепту; капсулы, 150 мг, 12 шт. - блистеры (4 шт.)  - пачки картонные (48 шт.)  - По рецепту; капсулы, 150 мг, 12 шт. - блистеры (3 шт.)  - пачки картонные (36 шт.)  - По рецепту; капсулы, 150 мг, 12 шт. - блистеры (2 шт.)  - пачки карт",B,True,True,True,True,False,По рецепту; Без рецепта,mixed,,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН,спрей,1%,30Г,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,mirror_valid_explicit_status,14,337960,Термикон®,Тербинафин,ЛСР-001548/07,Д,"Акционерное общество ""Отисифарм"" (АО ""Отисифарм"")","Открытое акционерное общество ""Фармстандарт-Лексредства"" (ОАО ""Фармстандарт-Лексредства"")","спрей для наружного применения, 1%, 30 г - флаконы - пачки картонные - Без рецепта; спрей для наружного применения, 1%, 15 г - флаконы - пачки картонные - Без рецепта;",A,True,True,True,False,True,Без рецепта,без рецепта,OTC,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,ТЕРМИКОН,крем,1%,15Г,ЛЕККО ЗАО,mirror_valid_explicit_status,14,345050,Термикон®,Тербинафин,ЛС-002394,Д,"Акционерное общество ""Отисифарм"" (АО ""Отисифарм"")","Закрытое акционерное общество ""Фармацевтическая фирма ""ЛЕККО"" (ЗАО ""ЛЕККО"")","крем для наружного применения, 1%, 15 г - тубы - пачки картонные - Без рецепта; крем для наружного применения, 1%, 10 г - тубы - пачки картонные - Без рецепта;",A,True,True,True,False,True,Без рецепта,без рецепта,OTC,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,ДЮСПАТАЛИН,таблетки,135 мг,N15,ВЕРОФАРМ АО,mirror_valid_explicit_status,12,331355,Дюспаталин®,Мебеверин,ЛП-001454,Д,Эбботт Хелскеа Продактс Б.В.,"Акционерное общество ""ВЕРОФАРМ"" (АО ""ВЕРОФАРМ"")","таблетки покрытые оболочкой, 135 мг, 20 шт. - блистеры (6 шт.)  - пачки картонные (120 шт.)  - Без рецепта; таблетки покрытые оболочкой, 135 мг, 20 шт. - блистеры (5 шт.)  - пачки картонные (100 шт.)  - Без рецепта; таблетки покрытые оболочкой, 135 мг, 20 шт. - блистеры (3 шт.)  - пачки картонные (60 шт.)  - Без рецепта; таблетки покрытые оболочкой, 135 мг, 20 шт. - блистеры (2 шт.)  - пачки карто",A,True,True,True,True,True,Без рецепта,без рецепта,OTC,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,АМБРОКСОЛ,таблетки,30 мг,N20,ВЕРТЕКС АО,mirror_valid_explicit_status,18,378539,Амброксол-ВЕРТЕКС,Амброксол,ЛП-№(008195)-(РГ-RU),ИЗМ,"Акционерное общество ""ВЕРТЕКС"" (АО ""ВЕРТЕКС"")","Акционерное общество ""ВЕРТЕКС"" (АО ""ВЕРТЕКС"")","таблетки, 30 мг, 20 шт. - упаковки ячейковые контурные (3 шт.)  - пачки картонные (60 шт.)  - Без рецепта; таблетки, 30 мг, 20 шт. - упаковки ячейковые контурные - пачки картонные (20 шт.)  - Без рецепта; таблетки, 30 мг, 10 шт. - упаковки ячейковые контурные (6 шт.)  - пачки картонные (60 шт.)  - Без рецепта; таблетки, 30 мг, 10 шт. - упаковки ячейковые контурные (5 шт.)  - пачки картонные (50 шт",A,True,True,True,True,True,Без рецепта,без рецепта,OTC,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН,таблетки,40 мг,N10,ИРБИТСКИЙ ХИМЗАВОД ОАО,mirror_valid_explicit_status,7,382633,Папаверин,Папаверин,ЛП-№(009756)-(РГ-RU),ИЗМ,"Открытое акционерное общество ""Ирбитский химико-фармацевтический завод"" (ОАО ""Ирбитский химфармзавод"")","Открытое акционерное общество ""Ирбитский химико-фармацевтический завод"" (ОАО ""Ирбитский химфармзавод"")","таблетки, 40 мг, 10 шт. - упаковки ячейковые контурные (800 шт.)  - коробки картонные (8000 шт.)  - Без рецепта; таблетки, 40 мг, 10 шт. - упаковки ячейковые контурные (2 шт.)  - пачки картонные (20 шт.)  - Без рецепта; таблетки, 40 мг, 10 шт. - упаковки безъячейковые контурные (700 шт.)  - коробки картонные (7000 шт.)  - Без рецепта;",A,True,True,True,False,True,Без рецепта,без рецепта,OTC,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,САНОВАСК,таблетки,50 мг,N30,ИРБИТСКИЙ ХИМЗАВОД ОАО,mirror_record_found_identity_insufficient,6,340562,Сановаск® Магний,Ацетилсалициловая кислота+[Магния гидроксид],ЛП-007754,Д,"Открытое акционерное общество ""Авексима""","Открытое акционерное общество ""Ирбитский химико-фармацевтический завод"" (ОАО ""Ирбитский химфармзавод"")","таблетки, покрытые пленочной оболочкой, 150 мг+30.39 мг, 30 шт. - банки - пачки картонные (30 шт.)  - Без рецепта; таблетки, покрытые пленочной оболочкой, 150 мг+30.39 мг, 10 шт. - упаковки ячейковые контурные (10 шт.)  - пачки картонные (100 шт.)  - Без рецепта; таблетки, покрытые пленочной оболочкой, 150 мг+30.39 мг, 10 шт. - упаковки ячейковые контурные (3 шт.)  - пачки картонные (30 шт.)  - Бе",C,True,True,False,True,True,Без рецепта,без рецепта,,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",ЭКЗОРОЛФИНЛАК,лак,5%,2.5МЛ,ПАУЛЬ В. БЕЙФЕРС ГМБХ,mirror_record_found_status_missing,2,390514,Экзоролфинлак®,Аморолфин,ЛП-003919,ИСК,Сандоз д.д.,Пауль В. Бейферс ГмбХ,"лак для ногтей, 5%, 5 мл - флаконы - пачки картонные /в комплекте с лопаточками-10 шт., салфетками очищающими-30 шт., пилками для ногтей -30 шт./ - Без рецепта; лак для ногтей, 5%, 2.5 мл - флаконы - пачки картонные /в комплекте с лопаточками-10 шт., салфетками очищающими-30 шт., пилками для ногтей -30 шт./ - Без рецепта;",A,True,True,True,False,True,,,,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН,таблетки,20 мг,N20,ТАТХИМФАРМПРЕПАРАТЫ АО,mirror_valid_explicit_status,11,339076,Фурацилин,Нитрофурал,ЛС-001911,Д,"Акционерное общество ""Татхимфармпрепараты"" (АО ""Татхимфармпрепараты"" )","Акционерное общество ""Татхимфармпрепараты"" (АО ""Татхимфармпрепараты"" )","таблетки для приготовления раствора для местного и наружного применения, 20 мг, 10 шт. - упаковки ячейковые контурные (5 шт.)  - пачки картонные (50 шт.)  - Без рецепта; таблетки для приготовления раствора для местного и наружного применения, 20 мг, 10 шт. - упаковки ячейковые контурные (3 шт.)  - пачки картонные (30 шт.)  - Без рецепта; таблетки для приготовления раствора для местного и наружного",A,True,True,True,True,True,Без рецепта,без рецепта,OTC,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,ЙОД,раствор,5%,25МЛ,ГИППОКРАТ,mirror_record_found_identity_insufficient,3,349066,Йод,Йод+[Калия йодид+Этанол],ЛСР-006245/10,ИЗМ,"ООО ""Гиппократ""","ООО ""Гиппократ""","раствор для наружного применения спиртовой, , 100 мл - флаконы - упаковки - Без рецепта; раствор для наружного применения спиртовой, , 100 мл - флаконы - пачки картонные - Без рецепта; раствор для наружного применения спиртовой, , 25 мл - флаконы - упаковки - Без рецепта; раствор для наружного применения спиртовой, , 25 мл - флаконы - пачки картонные - Без рецепта; раствор для наружного применения",C,True,True,False,False,True,Без рецепта,без рецепта,,False,,feasibility_only,third_party_brandquad_grls_mirror,False,not_official_p1; comparator_only
