product_id,normalized_text_full,brand,form,strength,p2_record_url,p2_identity_grade,p2_explicit_status_text,p2_candidate_rx_otc_value,p2_validation_passed,p2_access_status,form_mismatch_detected,label_identity_ok,label_source_ok,label_status_extraction_ok,label_notes
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL,капсулы,150 мг,https://www.asna.ru/cards/flukonazol_obl_150mg_1_sht__kapsuly_alium_ao.html,A,Без рецепта,otc,True,p2_valid_explicit_status,False,,,,
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН,спрей,1%,https://www.asna.ru/cards/termikon_1_30g_sprey_dnaruzhnogo_primeneniya_farmstandart-tomskkhimfarm_oao.html,A,Без рецепта,otc,True,p2_valid_explicit_status,False,,,,
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,ТЕРМИКОН,крем,1%,https://www.asna.ru/cards/termikon_1_15g_krem_dnaruzhnogo_primeneniya_farmstandart-tomskkhimfarm_oao.html,A,Без рецепта,otc,True,p2_valid_explicit_status,False,,,,
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,ДЮСПАТАЛИН,таблетки,135 мг,https://www.asna.ru/cards/dyuspatalin_duo_135mg8443mg_n30_tab_pokrytye_plenochnoy_obolochkoy_verofarm_ao.html,A,Без рецепта,otc,True,p2_valid_explicit_status,False,,,,
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,АМБРОКСОЛ,таблетки,30 мг,https://www.asna.ru/cards/ambroksol_velfarm_30mg_n50_tab_velfarm_ooo.html,A,Без рецепта,otc,True,p2_valid_explicit_status,False,,,,
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН,таблетки,40 мг,https://www.asna.ru/cards/papaverina_gidrokhlorid_ms_40mg_n20_tab_medisorb.html,A,Без рецепта,otc,True,p2_valid_explicit_status,False,,,,
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,САНОВАСК,таблетки,50 мг,https://www.asna.ru/cards/sanovask_50mg_n30_tab_pokrytye_kishechnorastvorimoy_plenochnoy_obolochkoy_irbitskiy_khimfarmzavod_oao.html,A,Без рецепта,otc,True,p2_valid_explicit_status,False,,,,
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",ЭКЗОРОЛФИНЛАК,лак,5%,https://www.asna.ru/cards/fitolaks_tab_500mg_n40_evalar.html,D,,,False,p2_record_found_identity_insufficient,False,,,,
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН,таблетки,20 мг,https://www.asna.ru/cards/furatsilin_aveksima_20mg_n20_tab_shipuchie_dprigotovleniya_r-ra_dmestnogonaruzhnogo_primeneniya_irbitskiy_khfz.html,A,Без рецепта,otc,True,p2_valid_explicit_status,False,,,,
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,ЙОД,раствор,5%,https://www.asna.ru/cards/yod_5__10ml_rastvor_dlya_narujnogo_primeneniya_spirtovoy_flakon_s_lopatkoy_moskovskaya_farmacevticheskaya_fabrika_zao.html,A,Без рецепта,otc,True,p2_valid_explicit_status,False,,,,
