product_id,normalized_text_full,brand,form,strength,pack,manufacturer,p2_access_status,p2_host,p2_request_count,p2_transport_retry_count,p2_record_url,p2_record_source_type,p2_identity_grade,p2_identity_match_brand,p2_identity_match_form,p2_identity_match_strength,p2_explicit_status_text,p2_status_pattern,p2_candidate_rx_otc_value,p2_validation_passed,p2_reject_reason,p2_hosts_agreeing,p2_hosts_total_public,p2_conflict,final_rx_otc_value,outcome,form_mismatch_detected,access_blocker,contract_version,official_p1,source_tier
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL,капсулы,150 мг,N4,ОБОЛЕНСКОЕ ФП АО,p2_valid_explicit_status,asna.ru,2,0,https://www.asna.ru/cards/flukonazol_obl_150mg_1_sht__kapsuly_alium_ao.html,pharmacy_product_card,A,True,True,True,Без рецепта,bez_recepta,otc,True,,1,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН,спрей,1%,30Г,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,p2_valid_explicit_status,asna.ru,2,0,https://www.asna.ru/cards/termikon_1_30g_sprey_dnaruzhnogo_primeneniya_farmstandart-tomskkhimfarm_oao.html,pharmacy_product_card,A,True,True,True,Без рецепта,bez_recepta,otc,True,,1,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,ТЕРМИКОН,крем,1%,15Г,ЛЕККО ЗАО,p2_valid_explicit_status,asna.ru,2,0,https://www.asna.ru/cards/termikon_1_15g_krem_dnaruzhnogo_primeneniya_farmstandart-tomskkhimfarm_oao.html,pharmacy_product_card,A,True,True,True,Без рецепта,bez_recepta,otc,True,,1,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,ДЮСПАТАЛИН,таблетки,135 мг,N15,ВЕРОФАРМ АО,p2_valid_explicit_status,asna.ru,2,0,https://www.asna.ru/cards/dyuspatalin_duo_135mg8443mg_n30_tab_pokrytye_plenochnoy_obolochkoy_verofarm_ao.html,pharmacy_product_card,A,True,True,True,Без рецепта,bez_recepta,otc,True,,1,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,АМБРОКСОЛ,таблетки,30 мг,N20,ВЕРТЕКС АО,p2_valid_explicit_status,asna.ru,2,0,https://www.asna.ru/cards/ambroksol_velfarm_30mg_n50_tab_velfarm_ooo.html,pharmacy_product_card,A,True,True,True,Без рецепта,bez_recepta,otc,True,,1,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН,таблетки,40 мг,N10,ИРБИТСКИЙ ХИМЗАВОД ОАО,p2_valid_explicit_status,asna.ru,2,0,https://www.asna.ru/cards/papaverina_gidrokhlorid_ms_40mg_n20_tab_medisorb.html,pharmacy_product_card,A,True,True,True,Без рецепта,bez_recepta,otc,True,,1,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,САНОВАСК,таблетки,50 мг,N30,ИРБИТСКИЙ ХИМЗАВОД ОАО,p2_valid_explicit_status,asna.ru,2,0,https://www.asna.ru/cards/sanovask_50mg_n30_tab_pokrytye_kishechnorastvorimoy_plenochnoy_obolochkoy_irbitskiy_khimfarmzavod_oao.html,pharmacy_product_card,A,True,True,True,Без рецепта,bez_recepta,otc,True,,1,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",ЭКЗОРОЛФИНЛАК,лак,5%,2.5МЛ,ПАУЛЬ В. БЕЙФЕРС ГМБХ,p2_record_found_identity_insufficient,asna.ru,2,0,https://www.asna.ru/cards/fitolaks_tab_500mg_n40_evalar.html,pharmacy_product_card,D,False,True,False,,bez_recepta,,False,identity_d,0,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН,таблетки,20 мг,N20,ТАТХИМФАРМПРЕПАРАТЫ АО,p2_valid_explicit_status,asna.ru,2,0,https://www.asna.ru/cards/furatsilin_aveksima_20mg_n20_tab_shipuchie_dprigotovleniya_r-ra_dmestnogonaruzhnogo_primeneniya_irbitskiy_khfz.html,pharmacy_product_card,A,True,True,True,Без рецепта,bez_recepta,otc,True,,1,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,ЙОД,раствор,5%,25МЛ,ГИППОКРАТ,p2_valid_explicit_status,asna.ru,2,0,https://www.asna.ru/cards/yod_5__10ml_rastvor_dlya_narujnogo_primeneniya_spirtovoy_flakon_s_lopatkoy_moskovskaya_farmacevticheskaya_fabrika_zao.html,pharmacy_product_card,A,True,True,True,Без рецепта,bez_recepta,otc,True,,1,1,False,,feasibility_only,False,,rx_otc_evidence_contract_v2,False,P2
