product_id,normalized_text_full,brand,form,strength,pack,manufacturer,rx_otc_identity_text,rx_otc_identity_query,expected_identity_guards,input_source_artifact
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL,капсулы,150 мг,N4,ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL капсулы 150 мг N4 ОБОЛЕНСКОЕ ФП АО,"""ФЛУКОНАЗОЛ-OBL"" ""капсулы"" ""150 мг""",brand_form_strength; product-specific GRLS record,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН,спрей,1%,30Г,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН спрей 1% 30Г ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,"""ТЕРМИКОН"" ""спрей"" ""1%""",4922_termikon_spray_ne_4924_cream; no_tablets_capsules,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,ТЕРМИКОН,крем,1%,15Г,ЛЕККО ЗАО,ТЕРМИКОН крем 1% 15Г ЛЕККО ЗАО,"""ТЕРМИКОН"" ""крем"" ""1%""",4924_termikon_cream_ne_4922_spray; no_tablets_capsules,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,ДЮСПАТАЛИН,таблетки,135 мг,N15,ВЕРОФАРМ АО,ДЮСПАТАЛИН таблетки 135 мг N15 ВЕРОФАРМ АО,"""ДЮСПАТАЛИН"" ""таблетки"" ""135 мг""",19370_tablets_135_ne_capsules_200,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,АМБРОКСОЛ,таблетки,30 мг,N20,ВЕРТЕКС АО,АМБРОКСОЛ таблетки 30 мг N20 ВЕРТЕКС АО,"""АМБРОКСОЛ"" ""таблетки"" ""30 мг""",brand_form_strength; product-specific GRLS record,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН,таблетки,40 мг,N10,ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН таблетки 40 мг N10 ИРБИТСКИЙ ХИМЗАВОД ОАО,"""ПАПАВЕРИН"" ""таблетки"" ""40 мг""",brand_form_strength; product-specific GRLS record,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,САНОВАСК,таблетки,50 мг,N30,ИРБИТСКИЙ ХИМЗАВОД ОАО,САНОВАСК таблетки 50 мг N30 ИРБИТСКИЙ ХИМЗАВОД ОАО,"""САНОВАСК"" ""таблетки"" ""50 мг""",brand_form_strength; product-specific GRLS record,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",ЭКЗОРОЛФИНЛАК,лак,5%,2.5МЛ,ПАУЛЬ В. БЕЙФЕРС ГМБХ,ЭКЗОРОЛФИНЛАК лак 5% 2.5МЛ ПАУЛЬ В. БЕЙФЕРС ГМБХ,"""ЭКЗОРОЛФИНЛАК"" ""лак"" ""5%""",brand_form_strength; nail_lacquer,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН,таблетки,20 мг,N20,ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН таблетки 20 мг N20 ТАТХИМФАРМПРЕПАРАТЫ АО,"""ФУРАЦИЛИН"" ""таблетки"" ""20 мг""",brand_form_strength; tablets_for_solution_not_ointment,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,ЙОД,раствор,5%,25МЛ,ГИППОКРАТ,ЙОД раствор 5% 25МЛ ГИППОКРАТ,"""ЙОД"" ""раствор"" ""5%""",brand_form_strength; alcohol_solution_5pct_gippokrat,redesign/artifacts/mnn_identity_enrichment_pass_review_rx_otc_errors_v1.csv
