product_id,normalized_text_full,rx_otc_identity_text,brand,form,strength,pack,manufacturer,p1_access_status,p1_endpoint_used,p1_request_count,p1_transport_retry_count,p1_record_url,p1_record_source_type,p1_identity_grade,p1_identity_match_brand,p1_identity_match_form,p1_identity_match_strength,p1_identity_match_pack,p1_identity_match_manufacturer,p1_explicit_status_text,p1_status_pattern,p1_candidate_rx_otc_value,p1_validation_passed,p1_reject_reason,official_instruction_url,official_instruction_found,official_instruction_explicit_status_text,final_rx_otc_value,outcome,form_mismatch_detected,near_brand_detected,budget_exhausted,access_blocker,contract_version
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL капсулы 150 мг N4 ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL,капсулы,150 мг,N4,ОБОЛЕНСКОЕ ФП АО,p1_portal_blocked,,1,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН спрей 1% 30Г ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН,спрей,1%,30Г,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,p1_portal_blocked,,0,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,ТЕРМИКОН крем 1% 15Г ЛЕККО ЗАО,ТЕРМИКОН,крем,1%,15Г,ЛЕККО ЗАО,p1_portal_blocked,,0,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,ДЮСПАТАЛИН таблетки 135 мг N15 ВЕРОФАРМ АО,ДЮСПАТАЛИН,таблетки,135 мг,N15,ВЕРОФАРМ АО,p1_portal_blocked,,0,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,АМБРОКСОЛ таблетки 30 мг N20 ВЕРТЕКС АО,АМБРОКСОЛ,таблетки,30 мг,N20,ВЕРТЕКС АО,p1_portal_blocked,,0,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН таблетки 40 мг N10 ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН,таблетки,40 мг,N10,ИРБИТСКИЙ ХИМЗАВОД ОАО,p1_portal_blocked,,0,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,САНОВАСК таблетки 50 мг N30 ИРБИТСКИЙ ХИМЗАВОД ОАО,САНОВАСК,таблетки,50 мг,N30,ИРБИТСКИЙ ХИМЗАВОД ОАО,p1_portal_blocked,,0,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",ЭКЗОРОЛФИНЛАК лак 5% 2.5МЛ ПАУЛЬ В. БЕЙФЕРС ГМБХ,ЭКЗОРОЛФИНЛАК,лак,5%,2.5МЛ,ПАУЛЬ В. БЕЙФЕРС ГМБХ,p1_portal_blocked,,0,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН таблетки 20 мг N20 ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН,таблетки,20 мг,N20,ТАТХИМФАРМПРЕПАРАТЫ АО,p1_portal_blocked,,0,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,ЙОД раствор 5% 25МЛ ГИППОКРАТ,ЙОД,раствор,5%,25МЛ,ГИППОКРАТ,p1_portal_blocked,,0,0,,,,,,,,,,,,False,portal_blocked,,False,,,feasibility_only,False,False,False,waf_403,rx_otc_evidence_contract_v2
