product_id,normalized_text_full,rx_otc_identity_text,brand,form,strength,pack,manufacturer,p1b_access_status,p1b_host,p1b_request_count,p1b_transport_retry_count,p1b_record_url,p1b_record_source_type,p1b_identity_grade,p1b_identity_match_brand,p1b_identity_match_form,p1b_identity_match_strength,p1b_identity_match_pack,p1b_identity_match_manufacturer,p1b_explicit_status_text,p1b_status_pattern,p1b_candidate_rx_otc_value,p1b_validation_passed,p1b_reject_reason,p1b_conflict,independent_docs_validated,independent_docs_passed,final_rx_otc_value,outcome,form_mismatch_detected,near_brand_detected,budget_exhausted,access_blocker,contract_version,official_p1
3065,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL капсулы 150 мг N4 ОБОЛЕНСКОЕ ФП АО,ФЛУКОНАЗОЛ-OBL,капсулы,150 мг,N4,ОБОЛЕНСКОЕ ФП АО,p1b_host_not_found,,2,2,,,,,,,,,,,,False,,False,0,0,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,False
4922,ТЕРМИКОН СПРЕЙ Д/НАРУЖ. ПРИМ. 1% ФЛ. 30Г | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН спрей 1% 30Г ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,ТЕРМИКОН,спрей,1%,30Г,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,p1b_valid_explicit_status,termikon.ru,5,0,https://termikon.ru/instrukcii/termikon-sprey-instrukciya.html,official_instruction_product_specific,A,True,True,True,False,True,"рока годности, указанного на упаковке.</p> <h2>Условия отпуска из аптек</h3> <p>Без рецепта.</p> <h2>Владелец регистрационного удостоверения/организация, принимающая претензии потребителей</h3> <p>АО &quot;Отиси",bez_recepta,otc,True,,False,3,1,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,True
4924,ТЕРМИКОН КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | ЛЕККО ЗАО | ЛЕККО ЗАО,ТЕРМИКОН крем 1% 15Г ЛЕККО ЗАО,ТЕРМИКОН,крем,1%,15Г,ЛЕККО ЗАО,p1b_valid_explicit_status,termikon.ru,4,1,https://termikon.ru/instrukcii/termikon-krem-instrukciya.html,official_instruction_product_specific,A,True,True,True,False,False,"рока годности, указанного на упаковке.</p> <h2>Условия отпуска из аптек</h3> <p>Без рецепта</p> <h2>Владелец регистрационного удостоверения/организация, принимающая претензии потребителей</h3> <p>ПАО &quot;Отиси",bez_recepta,otc,True,,False,3,1,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,True
19370,ДЮСПАТАЛИН ТАБЛ. П/О 135МГ №15 ВЕРОФАРМ | ВЕРОФАРМ АО | ВЕРОФАРМ АО,ДЮСПАТАЛИН таблетки 135 мг N15 ВЕРОФАРМ АО,ДЮСПАТАЛИН,таблетки,135 мг,N15,ВЕРОФАРМ АО,p1b_record_found_status_missing,duspatalin.ru,4,0,https://duspatalin.ru/instruktsiya/135/,official_instruction_product_specific,A,True,True,True,False,True,,,,False,no_explicit_status,False,4,0,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,False
26115,АМБРОКСОЛ ТАБЛ. 30МГ №20 ВЕРТЕКС | ВЕРТЕКС АО | ВЕРТЕКС АО,АМБРОКСОЛ таблетки 30 мг N20 ВЕРТЕКС АО,АМБРОКСОЛ,таблетки,30 мг,N20,ВЕРТЕКС АО,p1b_record_not_found,,2,0,,,,,,,,,,,,False,,False,0,0,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,False
10046,ПАПАВЕРИН ТАБЛ. 40МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН таблетки 40 мг N10 ИРБИТСКИЙ ХИМЗАВОД ОАО,ПАПАВЕРИН,таблетки,40 мг,N10,ИРБИТСКИЙ ХИМЗАВОД ОАО,p1b_host_not_found,,2,2,,,,,,,,,,,,False,,False,0,0,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,False
7275,САНОВАСК ТАБЛ. П/КИШ/РАСТ/ПЛЕН/ОБ. 50МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,САНОВАСК таблетки 50 мг N30 ИРБИТСКИЙ ХИМЗАВОД ОАО,САНОВАСК,таблетки,50 мг,N30,ИРБИТСКИЙ ХИМЗАВОД ОАО,p1b_host_not_found,,2,2,,,,,,,,,,,,False,,False,0,0,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,False
1053,"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",ЭКЗОРОЛФИНЛАК лак 5% 2.5МЛ ПАУЛЬ В. БЕЙФЕРС ГМБХ,ЭКЗОРОЛФИНЛАК,лак,5%,2.5МЛ,ПАУЛЬ В. БЕЙФЕРС ГМБХ,p1b_host_not_found,,2,1,,,,,,,,,,,,False,,False,0,0,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,False
2621,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №20 ТАТХИМФАРМПРЕПАРАТЫ | ТАТХИМФАРМПРЕПАРАТЫ АО | ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН таблетки 20 мг N20 ТАТХИМФАРМПРЕПАРАТЫ АО,ФУРАЦИЛИН,таблетки,20 мг,N20,ТАТХИМФАРМПРЕПАРАТЫ АО,p1b_record_not_found,,2,1,,,,,,,,,,,,False,,False,0,0,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,False
18377,ЙОД Р-Р Д/НАРУЖ. ПРИМ. СПИРТ. 5% ФЛ. 25МЛ ГИППОКРАТ | ГИППОКРАТ | ГИППОКРАТ,ЙОД раствор 5% 25МЛ ГИППОКРАТ,ЙОД,раствор,5%,25МЛ,ГИППОКРАТ,p1b_record_found_identity_insufficient,gippokrat.ru,3,0,https://gippokrat.ru/doc/price/price_31.07.2023_min.pdf,official_instruction_product_specific,D,False,False,False,False,False,,,,False,no_explicit_status,False,1,0,,feasibility_only,False,False,False,,rx_otc_evidence_contract_v2,False
