normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc,product_id,run_id,product_kind,attr_brand,attr_dosage_form,attr_dosage,attr_administration_route,semantic_explanation,qwen_search_status,qwen_search_mnn,tool_mnn,tool_status,search_used,search_queries,search_call_count,tool_rounds,latency_ms,prompt_tokens,completion_tokens,total_tokens,tool_error,tool_model,tool_provider,tool_prompt_version,catalog_mnn_for_comparison,tool_vs_catalog_status,tool_vs_catalog_comment,tool_vs_polza_status,tool_vs_polza_comment
АСКОРУТИН 50мг+50мг N50 таб. Фармцентр вилар АО | Фармцентр Вилар АО | Фармцентр Вилар АО | N50,,otc,,,Аскорбиновая кислота+Рутозид,otc,"Аскорбиновая кислота, Рутозид",,Аскорбиновая кислота,otc,,,"Аскорбиновая кислота, Рутозид",otc,19,331,drug,Аскорутин,таблетки,50мг+50мг,перорально,"В тексте указано торговое название «Аскорутин», форма «таблетки», дозировка 50мг+50мг и упаковка N50. Активные вещества явно не перечислены, поэтому МНН не заполнен. Препарат относится к ангиопротекторам и отпускается без рецепта.",found,Аскорбиновая кислота + Рутозид,Аскорбиновая кислота + Рутозид,found,1,"[""Аскорутин МНН действующее вещество"", ""Аскорутин МНН международное непатентованное наименование""]",2,2,64363,1310,135,1445,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,"Аскорбиновая кислота, Рутозид",normalized_match,совпали после нормализации,exact_match,полное совпадение с Polza
"БИФРАДУАЛ 0,25мг/мл + 0,5мг/мл 20мл р-р д/ингаляций ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО",,rx,,,Ипратропия бромид + Фенотерол,rx,"Фенотерол, Ипратропия бромид",rx,Фенотерол,rx,,,"Фенотерол, Ипратропия бромид",rx,41,332,drug,Бифрадуал,раствор,"0,25 мг/мл + 0,5 мг/мл",ингаляционно,"Препарат представляет собой комбинированный раствор для ингаляций с двумя действующими веществами, но их МНН в тексте не указаны. По названию, концентрации и лекарственной форме это бронхолитическое средство. Упаковка — 20 мл.",found,Ипратропия бромид + Фенотерол,,not_found,1,"[""БИФРАДУАЛ 0,25мг/мл + 0,5мг/мл раствор для ингаляций МНН"", ""БИФРАДУАЛ препарат МНН состав""]",2,2,64916,1440,150,1590,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,"Фенотерол, Ипратропия бромид",catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
КОЛИСТИН 80мг (1000000 ЕД) N28 порошок д/приготовления р-ра д/ингаляций Кселлия Фармасьютикалс АпС | Кселлия фармасьютикалс АпС | Кселлия фармасьютикалс АпС | N28,Колистин,rx,,,,,Колистиметат натрия,rx,,,,,Колистиметат натрия,,46,332,drug,,порошок,80 мг (1 000 000 ЕД),ингаляционно,"Препарат представляет собой антибиотик колистин в форме порошка для ингаляционного раствора. Дозировка указана как 80 мг (1 000 000 ЕД), упаковка — N28. Явного детского сигнала нет, поэтому возрастной сегмент принят как взрослый.",found,колистиметат натрия,колистиметат натрия,found,1,"[""Колистин 80мг 1000000 ЕД порошок для ингаляций Кселлия Фармасьютикалс МНН"", ""Колистин МНН colistin действующее вещество""]",2,2,65016,1497,153,1650,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Колистиметат натрия,normalized_match,совпали после нормализации,exact_match,полное совпадение с Polza
"БИСОМОР 2,5мг N30 таб. покрытые пленочной оболочкой Эдж Фарма Прайвет | Эдж Фарма Прайвет Лимитед | Эдж Фарма Прайвет Лимитед | N30",,рецептурный,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,,,Бисопролол,rx,55,332,drug,Бисомор,таблетки,"2,5 мг",перорально,"Препарат БИСОМОР представлен таблетками в пленочной оболочке по 2,5 мг, в упаковке 30 штук. Это рецептурное сердечно-сосудистое средство, предположительно относящееся к бета-адреноблокаторам; МНН в тексте не указан.",found,Бисопролол,,not_found,1,"[""БИСОМОР 2.5 мг МНН действующее вещество"", ""БИСОМОР препарат МНН""]",2,2,64531,1357,130,1487,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Бисопролол,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ДИКЛОФАРМ 25мг/мл 3мл N5 р-р для в/м введения ВетПром АД | ВетПром АД | ВетПром АД | N5,,rx,Диклофенак,rx,Диклофенак,otc,Диклофенак,rx,Диклофенак,otc,,,Диклофенак,rx,67,333,drug,Диклофарм,раствор,25 мг/мл,внутримышечно,"В наименовании указаны концентрация, объём, лекарственная форма и способ введения — раствор для внутримышечного введения. Действующее вещество как МНН в тексте явно не читается, поэтому МНН не заполнен. Возрастных детских сигналов нет, поэтому для типичного инъекционного препарата указан возрастной сегмент «взрослые».",found,диклофенак,,not_found,1,"[""ДИКЛОФАРМ 25мг/мл МНН действующее вещество"", ""ДИКЛОФАРМ препарат МНН""]",2,2,64523,1356,138,1494,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Диклофенак,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,,рецептурный,Тигециклин,rx,,,,,Тигециклин,rx,,,Тигециклин,rx,91,334,drug,Тигацил,лиофилизат,50 мг,внутривенно,"Препарат Тигацил представлен лиофилизатом для приготовления раствора для инфузий, дозировка 50 мг, в упаковке N10. В тексте не указано МНН, поэтому mnn=null. По названию и лекарственной форме определён рецептурный антибактериальный препарат для внутривенного введения.",found,тигециклин,тигециклин,found,1,"[""ТИГАЦИЛ 50мг лиофилизат МНН действующее вещество"", ""Tygacil tigecycline МНН"", ""Тигацил 50 мг инструкция действующее вещество"", ""Тигацил МНН тигециклин""]",4,2,125651,1588,221,1809,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Тигециклин,normalized_match,совпали после нормализации,exact_match,полное совпадение с Polza
"МЕКСИКОР 50мг/мл 5мл N20 р-р для в/в и в/м введения ГосЗМП, ФГУП | Госзмп ФГУП | Госзмп ФГУП | N20",,рецептурный,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,145,334,drug,Мексикор,раствор,50 мг/мл,внутримышечно,"В названии указан торговый бренд «Мексикор» и лекарственная форма, но действующее вещество явно не читается, поэтому МНН не заполнен. Препарат представляет собой инъекционный раствор, что указывает на рецептурный отпуск и путь введения в/в и в/м; в упаковке 20 ампул по 5 мл.",found,этилметилгидроксипиридина сукцинат,Этилметилгидроксипиридина сукцинат,found,1,"[""МЕКСИКОР 50мг/мл МНН действующее вещество"", ""Мексикор МНН действующее вещество""]",2,2,64747,1372,146,1518,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Этилметилгидроксипиридина сукцинат,exact_match,полное совпадение строк,normalized_match,совпали после нормализации
ЮНИДОКС СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 100МГ №20 | ЗИО-ЗДОРОВЬЕ ЗАО | ЗИО-ЗДОРОВЬЕ ЗАО,,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,,,Доксициклин,rx,310,334,drug,Юнидокс Солютаб,таблетки,100 мг,перорально,"Юнидокс Солютаб — торговое название препарата с действующим веществом доксициклин, антибиотиком из группы тетрациклинов. Препарат применяется внутрь, выпускается в форме диспергируемых таблеток по 100 мг и отпускается по рецепту.",found,Доксициклин,Доксициклин,found,1,"[""ЮНИДОКС СОЛЮТАБ МНН действующее вещество"", ""Юнидокс Солютаб МНН действующее вещество""]",2,2,65636,1358,139,1497,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Доксициклин,exact_match,полное совпадение строк,exact_match,полное совпадение с Polza
ЭФФЕРАЛГАН ТАБЛ. ШИПУЧ. 500МГ №16 | УПСА САС | УПСА САС,,otc,Парацетамол,otc,Парацетамол,otc,Парацетамол,,Парацетамол,otc,,,Парацетамол,otc,358,334,drug,Эффералган,таблетки,500 мг,перорально,"По тексту определен препарат Эффералган в форме шипучих таблеток 500 мг, упаковка №16. Действующее вещество в названии не указано, поэтому МНН не заполняется. Препарат относится к анальгетикам-антипиретикам, отпускается без рецепта и предназначен для взрослых.",found,парацетамол,парацетамол,found,1,"[""Эффералган МНН действующее вещество парацетамол"", ""Эффералган шипучие таблетки МНН действующее вещество""]",2,2,65152,1307,141,1448,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Парацетамол,normalized_match,совпали после нормализации,exact_match,полное совпадение с Polza
ЭТОРЕЛЕКС ТАБЛ. П/ПЛЕН/ОБ. 90МГ №28 | ФАРМАСИНТЕЗ АО | ФАРМАСИНТЕЗ АО,,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,,,Эторикоксиб,rx,459,334,drug,Эторелекс,таблетки,90 мг,перорально,"В тексте указано торговое наименование, лекарственная форма и дозировка, но действующее вещество явно не приведено. Судя по названию и форме, это рецептурный препарат для взрослых, применяемый внутрь.",found,Эторикоксиб,,not_found,1,"[""ЭТОРЕЛЕКС таблетки 90 мг МНН действующее вещество"", ""ЭТОРЕЛЕКС ФАРМАСИНТЕЗ инструкция МНН"", ""ЭТОРЕЛЕКС МНН"", ""ЭТОРЕЛЕКС действующее вещество эторикоксиб""]",4,2,127158,1666,258,1924,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Эторикоксиб,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭМСИБЕЛ Р-Р Д/ИН. 10МГ/МЛ АМП. 1МЛ №10 | БЕЛМЕДПРЕПАРАТЫ РУП | БЕЛМЕДПРЕПАРАТЫ РУП,,rx,Метилэтилпиридинол,rx,Метилэтилпиридинол,rx,Метилэтилпиридинол,rx,Метилэтилпиридинол,rx,,,Метилэтилпиридинол,rx,780,335,drug,ЭМСИБЕЛ,раствор,10 мг/мл,инъекционное,"В тексте указаны только торговое название и форма выпуска, действующее вещество не раскрыто, поэтому МНН и нозология не заполнены. Препарат представляет собой раствор для инъекций в ампулах по 1 мл №10 с концентрацией 10 мг/мл. Отпуск типично рецептурный, возрастной сегмент — взрослые.",found,Метилэтилпиридинол,,not_found,1,"[""ЭМСИБЕЛ раствор для инъекций 10 мг/мл МНН действующее вещество""]",1,1,3179,742,80,822,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Метилэтилпиридинол,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭНАП ТАБЛ. 5МГ №20 | КРКА-РУС ООО | КРКА-РУС ООО,,rx,Эналаприл,rx,Эналаприл,rx,Эналаприл,rx,Эналаприл,rx,,,Эналаприл,rx,711,335,drug,Энап,таблетки,5 мг,перорально,"Энап 5 мг №20 — рецептурный препарат, принимаемый внутрь, в форме таблеток. Относится к антигипертензивным средствам (ингибиторам АПФ), однако МНН по тексту не указан, поэтому оставлен пустым.",found,Эналаприл,,not_found,1,"[""Энап таблетки 5 мг МНН действующее вещество""]",1,1,3251,666,72,738,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Эналаприл,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭЛИДЕЛ КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | МЕДА МАНУФАКЧУРИНГ | МЕДА МАНУФАКЧУРИНГ,,рецептурный,Пимекролимус,rx,Пимекролимус,rx,Пимекролимус,rx,Пимекролимус,rx,,,Пимекролимус,rx,905,335,drug,Элидел,крем,1%,наружно,"По наименованию определён бренд «Элидел», лекарственная форма «крем» и концентрация 1%; наружное применение указано в тексте. Действующее вещество в названии не указано, поэтому МНН не заполнен. Препарат относится к рецептурным дерматологическим средствам, явных возрастных ограничений в тексте нет.",found,пимекролимус,пимекролимус,found,1,"[""Элидел крем МНН действующее вещество""]",1,1,3263,702,71,773,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Пимекролимус,normalized_match,совпали после нормализации,exact_match,полное совпадение с Polza
ЭЙФА АЦ ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 200МГ ПАК-САШЕ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,otc,Ацетилцистеин,otc,,,,,Ацетилцистеин,otc,,,Ацетилцистеин,otc,1114,335,drug,Эйфа АЦ,гранулы,200 мг,перорально,"Препарат в форме гранул для приготовления раствора для приема внутрь, 200 мг в пак-саше. По сокращению «АЦ» в названии и форме выпуска определено действующее вещество ацетилцистеин (муколитик). Возрастная группа не уточнена, поэтому выбран типичный для ЛС взрослый сегмент.",found,Ацетилцистеин,,not_found,1,"[""ЭЙФА АЦ гранулы для раствора 200 мг МНН действующее вещество""]",1,1,3071,740,77,817,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Ацетилцистеин,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭВАМЕНОЛ НАЗО КАПЛИ НАЗ. 1%+3% ФЛ-КАП. 12МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,,otc,,,Левоментол+Фенилсалицилат,otc,"Фенилсалицилат, Левоментол",,Levomenthol,otc,,,"Левоментол, Фенилсалицилат",otc,1256,336,drug,Эваменол Назо,капли,1%+3%,назальный,"Это назальные капли, форма и путь введения читаются в тексте. Активные вещества отдельно не указаны (только концентрации 1%+3%), поэтому МНН оставлен пустым. Препарат отнесён к безрецептурным симптоматическим средствам для взрослых.",found,левоментол + фенилсалицилат,,not_found,1,"[""Эваменол назо капли назальные МНН состав""]",1,1,3153,696,69,765,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,"Левоментол, Фенилсалицилат",catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭКОФУЦИН СУПП. ВАГ. 100МГ №3 | ///АВВА РУС АО | ///АВВА РУС АО,,otc,Натамицин,otc,,,,,Натамицин,otc,,,Натамицин,otc,988,335,drug,Экофуцин,,100 мг,ректально,"Экофуцин — противогрибковые вагинальные суппозитории по 100 мг, упаковка №3. МНН в тексте не указан, поэтому не заполнен. Препарат применяется вагинально и предназначен для взрослых.",found,Натамицин,,not_found,1,"[""Экофуцин суппозитории вагинальные 100 мг МНН действующее вещество""]",1,1,3779,690,79,769,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,Натамицин,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ШПРИЦ ОДНОРАЗ. 3-Х КОМП. 20МЛ LUER-SLIP ИГЛА ПРИЛОЖ. 21G №1 VM | VOGT MEDICAL | VOGT MEDICAL | 21 G,,,,,,,,,,,,,,,1347,336,drug,VOGT MEDICAL,,20 мл,инъекционное,"Одноразовый шприц объёмом 20 мл с иглой 21G, марка VOGT MEDICAL. Это медицинское изделие, поэтому МНН и фармакологическая группа не применимы. Возрастная категория не указана и для инструмента не важна.",not_found,,,not_found,1,"[""Шприц одноразовый 3-х компонентный 20 мл Luer-Slip Vogt Medical МНН""]",1,1,2947,728,80,808,,deepseek-v4-pro,deepseek,mnn_tool_search_v1,,both_empty,оба пусты,polza_not_found_baseline,baseline Polza не found — пропуск
