normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc,product_id,run_id,product_kind,attr_brand,attr_dosage_form,attr_dosage,attr_administration_route,semantic_explanation,qwen_search_status,qwen_search_mnn,tool_mnn,tool_status,search_used,search_queries,search_call_count,tool_rounds,latency_ms,prompt_tokens,completion_tokens,total_tokens,tool_error,tool_model,tool_provider,tool_prompt_version,catalog_mnn_for_comparison,tool_vs_catalog_status,tool_vs_catalog_comment,tool_vs_polza_status,tool_vs_polza_comment
"БИФРАДУАЛ 0,25мг/мл + 0,5мг/мл 20мл р-р д/ингаляций ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО",,rx,,,Ипратропия бромид + Фенотерол,rx,"Фенотерол, Ипратропия бромид",rx,Фенотерол,rx,,,"Фенотерол, Ипратропия бромид",rx,41,332,drug,Бифрадуал,раствор,"0,25 мг/мл + 0,5 мг/мл",ингаляционно,"Препарат представляет собой комбинированный раствор для ингаляций с двумя действующими веществами, но их МНН в тексте не указаны. По названию, концентрации и лекарственной форме это бронхолитическое средство. Упаковка — 20 мл.",found,Ипратропия бромид + Фенотерол,,not_found,1,"[""БИФРАДУАЛ 0,25мг/мл + 0,5мг/мл раствор для ингаляций МНН"", ""Бифрадуал ЮжФарм МНН состав"", ""Бифрадуал раствор для ингаляций"", ""\""Бифрадуал\"" МНН""]",4,2,10555,1801,330,2131,,qwen3.8-max,dashscope,mnn_tool_search_v1,"Фенотерол, Ипратропия бромид",catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
"БИСОМОР 2,5мг N30 таб. покрытые пленочной оболочкой Эдж Фарма Прайвет | Эдж Фарма Прайвет Лимитед | Эдж Фарма Прайвет Лимитед | N30",,рецептурный,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,,,Бисопролол,rx,55,332,drug,Бисомор,таблетки,"2,5 мг",перорально,"Препарат БИСОМОР представлен таблетками в пленочной оболочке по 2,5 мг, в упаковке 30 штук. Это рецептурное сердечно-сосудистое средство, предположительно относящееся к бета-адреноблокаторам; МНН в тексте не указан.",found,Бисопролол,,not_found,1,"[""БИСОМОР МНН действующее вещество таблетки"", ""Бисомор 2,5 мг Эдж Фарма Прайвет МНН"", ""Бисомор бисопролол таблетки 2.5 мг инструкция"", ""\""Bisomor\"" bisoprolol Edge Pharma""]",4,2,11627,1914,394,2308,,qwen3.8-max,dashscope,mnn_tool_search_v1,Бисопролол,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
АСКОРУТИН 50мг+50мг N50 таб. Фармцентр вилар АО | Фармцентр Вилар АО | Фармцентр Вилар АО | N50,,otc,,,Аскорбиновая кислота+Рутозид,otc,"Аскорбиновая кислота, Рутозид",,Аскорбиновая кислота,otc,,,"Аскорбиновая кислота, Рутозид",otc,19,331,drug,Аскорутин,таблетки,50мг+50мг,перорально,"В тексте указано торговое название «Аскорутин», форма «таблетки», дозировка 50мг+50мг и упаковка N50. Активные вещества явно не перечислены, поэтому МНН не заполнен. Препарат относится к ангиопротекторам и отпускается без рецепта.",found,Аскорбиновая кислота + Рутозид,,not_found,1,"[""Аскорутин МНН состав аскорбиновая кислота рутозид"", ""Аскорутин таблетки МНН""]",2,2,12132,1562,404,1966,,qwen3.8-max,dashscope,mnn_tool_search_v1,"Аскорбиновая кислота, Рутозид",catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
КОЛИСТИН 80мг (1000000 ЕД) N28 порошок д/приготовления р-ра д/ингаляций Кселлия Фармасьютикалс АпС | Кселлия фармасьютикалс АпС | Кселлия фармасьютикалс АпС | N28,Колистин,rx,,,,,Колистиметат натрия,rx,,,,,Колистиметат натрия,,46,332,drug,,порошок,80 мг (1 000 000 ЕД),ингаляционно,"Препарат представляет собой антибиотик колистин в форме порошка для ингаляционного раствора. Дозировка указана как 80 мг (1 000 000 ЕД), упаковка — N28. Явного детского сигнала нет, поэтому возрастной сегмент принят как взрослый.",found,колистиметат натрия,,not_found,1,"[""КОЛИСТИН Кселлия Фармасьютикалс МНН"", ""Колистин порошок для ингаляций МНН колистиметат натрия""]",2,2,13386,1532,477,2009,,qwen3.8-max,dashscope,mnn_tool_search_v1,Колистиметат натрия,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,,рецептурный,Тигециклин,rx,,,,,Тигециклин,rx,,,Тигециклин,rx,91,334,drug,Тигацил,лиофилизат,50 мг,внутривенно,"Препарат Тигацил представлен лиофилизатом для приготовления раствора для инфузий, дозировка 50 мг, в упаковке N10. В тексте не указано МНН, поэтому mnn=null. По названию и лекарственной форме определён рецептурный антибактериальный препарат для внутривенного введения.",found,тигециклин,,not_found,1,"[""ТИГАЦИЛ МНН тигециклин лиофилизат для инфузий"", ""Tygacil INN tigecycline Wyeth"", ""Тигацил действующее вещество"", ""tigecycline Tygacil""]",4,2,9897,1742,311,2053,,qwen3.8-max,dashscope,mnn_tool_search_v1,Тигециклин,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ДИКЛОФАРМ 25мг/мл 3мл N5 р-р для в/м введения ВетПром АД | ВетПром АД | ВетПром АД | N5,,rx,Диклофенак,rx,Диклофенак,otc,Диклофенак,rx,Диклофенак,otc,,,Диклофенак,rx,67,333,drug,Диклофарм,раствор,25 мг/мл,внутримышечно,"В наименовании указаны концентрация, объём, лекарственная форма и способ введения — раствор для внутримышечного введения. Действующее вещество как МНН в тексте явно не читается, поэтому МНН не заполнен. Возрастных детских сигналов нет, поэтому для типичного инъекционного препарата указан возрастной сегмент «взрослые».",found,диклофенак,,not_found,1,"[""ДИКЛОФАРМ 25мг/мл 3мл раствор для внутримышечного введения МНН ВетПром"", ""ДИКЛОФАРМ раствор для внутримышечного введения МНН действующее вещество""]",2,2,12523,1612,486,2098,,qwen3.8-max,dashscope,mnn_tool_search_v1,Диклофенак,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
"МЕКСИКОР 50мг/мл 5мл N20 р-р для в/в и в/м введения ГосЗМП, ФГУП | Госзмп ФГУП | Госзмп ФГУП | N20",,рецептурный,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,145,334,drug,Мексикор,раствор,50 мг/мл,внутримышечно,"В названии указан торговый бренд «Мексикор» и лекарственная форма, но действующее вещество явно не читается, поэтому МНН не заполнен. Препарат представляет собой инъекционный раствор, что указывает на рецептурный отпуск и путь введения в/в и в/м; в упаковке 20 ампул по 5 мл.",found,этилметилгидроксипиридина сукцинат,,not_found,1,"[""МЕКСИКОР 50мг/мл 5мл раствор для внутривенного и внутримышечного введения МНН"", ""Мексикор действующее вещество МНН"", ""Mexicor active ingredient INN""]",3,2,11558,1681,298,1979,,qwen3.8-max,dashscope,mnn_tool_search_v1,Этилметилгидроксипиридина сукцинат,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭНАП ТАБЛ. 5МГ №20 | КРКА-РУС ООО | КРКА-РУС ООО,,rx,Эналаприл,rx,Эналаприл,rx,Эналаприл,rx,Эналаприл,rx,,,Эналаприл,rx,711,335,drug,Энап,таблетки,5 мг,перорально,"Энап 5 мг №20 — рецептурный препарат, принимаемый внутрь, в форме таблеток. Относится к антигипертензивным средствам (ингибиторам АПФ), однако МНН по тексту не указан, поэтому оставлен пустым.",found,Эналаприл,,not_found,1,"[""ЭНАП таблетки 5 мг МНН эналаприл"", ""ЭНАП препарат МНН""]",2,2,9761,1447,249,1696,,qwen3.8-max,dashscope,mnn_tool_search_v1,Эналаприл,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЮНИДОКС СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 100МГ №20 | ЗИО-ЗДОРОВЬЕ ЗАО | ЗИО-ЗДОРОВЬЕ ЗАО,,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,,,Доксициклин,rx,310,334,drug,Юнидокс Солютаб,таблетки,100 мг,перорально,"Юнидокс Солютаб — торговое название препарата с действующим веществом доксициклин, антибиотиком из группы тетрациклинов. Препарат применяется внутрь, выпускается в форме диспергируемых таблеток по 100 мг и отпускается по рецепту.",found,Доксициклин,,not_found,1,"[""Юнидокс Солютаб МНН"", ""ЮНИДОКС СОЛЮТАБ табл. дисперг. 100мг действующее вещество"", ""Unidox Solutab doxycycline"", ""Юнидокс Солютаб доксициклин""]",4,2,20330,1725,737,2462,,qwen3.8-max,dashscope,mnn_tool_search_v1,Доксициклин,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭФФЕРАЛГАН ТАБЛ. ШИПУЧ. 500МГ №16 | УПСА САС | УПСА САС,,otc,Парацетамол,otc,Парацетамол,otc,Парацетамол,,Парацетамол,otc,,,Парацетамол,otc,358,334,drug,Эффералган,таблетки,500 мг,перорально,"По тексту определен препарат Эффералган в форме шипучих таблеток 500 мг, упаковка №16. Действующее вещество в названии не указано, поэтому МНН не заполняется. Препарат относится к анальгетикам-антипиретикам, отпускается без рецепта и предназначен для взрослых.",found,парацетамол,,not_found,1,"[""Эффералган таблетки шипучие 500 мг МНН"", ""Efferalgan 500 mg effervescent tablets INN paracetamol UPSA"", ""Эффералган МНН парацетамол"", ""Эффералган шипучие таблетки действующее вещество""]",4,2,14456,1783,491,2274,,qwen3.8-max,dashscope,mnn_tool_search_v1,Парацетамол,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭТОРЕЛЕКС ТАБЛ. П/ПЛЕН/ОБ. 90МГ №28 | ФАРМАСИНТЕЗ АО | ФАРМАСИНТЕЗ АО,,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,,,Эторикоксиб,rx,459,334,drug,Эторелекс,таблетки,90 мг,перорально,"В тексте указано торговое наименование, лекарственная форма и дозировка, но действующее вещество явно не приведено. Судя по названию и форме, это рецептурный препарат для взрослых, применяемый внутрь.",found,Эторикоксиб,,not_found,1,"[""ЭТОРЕЛЕКС МНН действующее вещество"", ""Эторелекс таблетки 90 мг МНН"", ""Эторелекс препарат инструкция"", ""Etoricoxib Эторелекс Фармасинтез""]",4,2,14898,1688,548,2236,,qwen3.8-max,dashscope,mnn_tool_search_v1,Эторикоксиб,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭЛИДЕЛ КРЕМ Д/НАРУЖ. ПРИМ. 1% ТУБА 15Г | МЕДА МАНУФАКЧУРИНГ | МЕДА МАНУФАКЧУРИНГ,,рецептурный,Пимекролимус,rx,Пимекролимус,rx,Пимекролимус,rx,Пимекролимус,rx,,,Пимекролимус,rx,905,335,drug,Элидел,крем,1%,наружно,"По наименованию определён бренд «Элидел», лекарственная форма «крем» и концентрация 1%; наружное применение указано в тексте. Действующее вещество в названии не указано, поэтому МНН не заполнен. Препарат относится к рецептурным дерматологическим средствам, явных возрастных ограничений в тексте нет.",found,пимекролимус,,not_found,1,"[""Элидел крем 1% МНН пимекролимус"", ""Элидел крем действующее вещество""]",2,2,8024,1528,243,1771,,qwen3.8-max,dashscope,mnn_tool_search_v1,Пимекролимус,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭМСИБЕЛ Р-Р Д/ИН. 10МГ/МЛ АМП. 1МЛ №10 | БЕЛМЕДПРЕПАРАТЫ РУП | БЕЛМЕДПРЕПАРАТЫ РУП,,rx,Метилэтилпиридинол,rx,Метилэтилпиридинол,rx,Метилэтилпиридинол,rx,Метилэтилпиридинол,rx,,,Метилэтилпиридинол,rx,780,335,drug,ЭМСИБЕЛ,раствор,10 мг/мл,инъекционное,"В тексте указаны только торговое название и форма выпуска, действующее вещество не раскрыто, поэтому МНН и нозология не заполнены. Препарат представляет собой раствор для инъекций в ампулах по 1 мл №10 с концентрацией 10 мг/мл. Отпуск типично рецептурный, возрастной сегмент — взрослые.",found,Метилэтилпиридинол,,not_found,1,"[""ЭМСИБЕЛ раствор для инъекций 10мг/мл Белмедпрепараты МНН"", ""ЭМСИБЕЛ BELMEDPREPARATY INN действующее вещество"", ""ЭМСИБЕЛ препарат Белмедпрепараты"", ""\""ЭМСИБЕЛ\"" инструкция""]",4,2,13352,1959,425,2384,,qwen3.8-max,dashscope,mnn_tool_search_v1,Метилэтилпиридинол,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭКОФУЦИН СУПП. ВАГ. 100МГ №3 | ///АВВА РУС АО | ///АВВА РУС АО,,otc,Натамицин,otc,,,,,Натамицин,otc,,,Натамицин,otc,988,335,drug,Экофуцин,,100 мг,ректально,"Экофуцин — противогрибковые вагинальные суппозитории по 100 мг, упаковка №3. МНН в тексте не указан, поэтому не заполнен. Препарат применяется вагинально и предназначен для взрослых.",found,Натамицин,,not_found,1,"[""ЭКОФУЦИН суппозитории вагинальные 100 мг МНН"", ""Экофуцин АВВА РУС действующее вещество"", ""Экофуцин суппозитории вагинальные инструкция""]",3,2,10992,1599,327,1926,,qwen3.8-max,dashscope,mnn_tool_search_v1,Натамицин,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭВАМЕНОЛ НАЗО КАПЛИ НАЗ. 1%+3% ФЛ-КАП. 12МЛ | МОСКОВСКАЯ ФФ | МОСКОВСКАЯ ФФ,,otc,,,Левоментол+Фенилсалицилат,otc,"Фенилсалицилат, Левоментол",,Levomenthol,otc,,,"Левоментол, Фенилсалицилат",otc,1256,336,drug,Эваменол Назо,капли,1%+3%,назальный,"Это назальные капли, форма и путь введения читаются в тексте. Активные вещества отдельно не указаны (только концентрации 1%+3%), поэтому МНН оставлен пустым. Препарат отнесён к безрецептурным симптоматическим средствам для взрослых.",found,левоментол + фенилсалицилат,,not_found,1,"[""Эваменол Назо капли назальные МНН состав"", ""Эваменол Назо капли назальные 1%+3% действующее вещество"", ""Эваменол Назо капли назальные инструкция"", ""Evamenol Nazo nasal drops INN""]",4,2,13053,1757,354,2111,,qwen3.8-max,dashscope,mnn_tool_search_v1,"Левоментол, Фенилсалицилат",catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ЭЙФА АЦ ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 200МГ ПАК-САШЕ №20 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,otc,Ацетилцистеин,otc,,,,,Ацетилцистеин,otc,,,Ацетилцистеин,otc,1114,335,drug,Эйфа АЦ,гранулы,200 мг,перорально,"Препарат в форме гранул для приготовления раствора для приема внутрь, 200 мг в пак-саше. По сокращению «АЦ» в названии и форме выпуска определено действующее вещество ацетилцистеин (муколитик). Возрастная группа не уточнена, поэтому выбран типичный для ЛС взрослый сегмент.",found,Ацетилцистеин,,not_found,1,"[""ЭЙФА АЦ гранулы для приема внутрь 200 мг МНН"", ""ЭЙФА АЦ Обновление ПФК АО действующее вещество ацетилцистеин"", ""ЭЙФА АЦ препарат ацетилцистеин"", ""\""Eifa AC\"" acetylcysteine granules 200mg""]",4,2,18707,2101,727,2828,,qwen3.8-max,dashscope,mnn_tool_search_v1,Ацетилцистеин,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ШПРИЦ ОДНОРАЗ. 3-Х КОМП. 20МЛ LUER-SLIP ИГЛА ПРИЛОЖ. 21G №1 VM | VOGT MEDICAL | VOGT MEDICAL | 21 G,,,,,,,,,,,,,,,1347,336,drug,VOGT MEDICAL,,20 мл,инъекционное,"Одноразовый шприц объёмом 20 мл с иглой 21G, марка VOGT MEDICAL. Это медицинское изделие, поэтому МНН и фармакологическая группа не применимы. Возрастная категория не указана и для инструмента не важна.",not_found,,,not_found,1,"[""ШПРИЦ ОДНОРАЗОВЫЙ 3-Х КОМПОНЕНТНЫЙ 20МЛ LUER-SLIP ИГЛА ПРИЛОЖЕННАЯ 21G VOGT MEDICAL МНН"", ""VOGT MEDICAL шприц одноразовый 20 мл МНН лекарственный препарат"", ""VOGT MEDICAL шприц 20 мл МНН"", ""шприц одноразовый медицинский МНН международное непатентованное наименование""]",4,2,14260,2088,457,2545,,qwen3.8-max,dashscope,mnn_tool_search_v1,,both_empty,оба пусты,polza_not_found_baseline,baseline Polza не found — пропуск
ШПРИЦ ИНСУЛИН. U-40 ОДНОРАЗ. 3-Х КОМП. 1МЛ ИГЛА 26G №1 SFM | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ | 26 G,,,,,,otc,,,,,,,,,1384,336,drug,SFM,,"1 мл, U-40",подкожно,"Товар представляет собой одноразовый инсулиновый шприц U-40 объёмом 1 мл с иглой 26G. Это медицинское изделие, поэтому МНН, рецептурность и нозология не применимы. Возрастная привязка отсутствует.",not_found,,,not_found,1,"[""ШПРИЦ ИНСУЛИН. U-40 ОДНОРАЗ. 3-Х КОМП. 1МЛ ИГЛА 26G №1 SFM СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ МНН"", ""SFM инсулиновый шприц U-40 1мл 26G МНН лекарственный препарат"", ""SFM Hospital Products GmbH инсулиновый шприц"", ""\""SFM\"" шприц инсулиновый U-40 регистрационное удостоверение""]",4,2,15771,2247,515,2762,,qwen3.8-max,dashscope,mnn_tool_search_v1,,both_empty,оба пусты,polza_not_found_baseline,baseline Polza не found — пропуск
"ШПРИЦ ИНСУЛИН. МИКРО-ФАЙН ПЛЮС U-100 3-Х КОМП. 0,5МЛ ИГЛА 29G №10 | БЕКТОН ДИКИНСОН | БЕКТОН ДИКИНСОН | 29 G",,,,,,,,,,,,,,,1379,336,drug,Бектон Дикинсон,,"0,5 мл; игла 29G",подкожно,"Это инсулиновый шприц объёмом 0,5 мл с иглой 29G, в упаковке №10. МНН, нозология и категория отпуска для данного товара неприменимы. Возрастных ограничений нет.",not_found,,,not_found,1,"[""Шприц инсулиновый Микро-Файн Плюс U-100 0,5мл игла 29G МНН"", ""BD Micro-Fine Plus U-100 инсулиновый шприц МНН лекарственный препарат"", ""Микро-Файн Плюс шприц инсулиновый МНН"", ""\""Микро-Файн Плюс\"" U-100 шприц""]",4,2,15067,2077,486,2563,,qwen3.8-max,dashscope,mnn_tool_search_v1,,both_empty,оба пусты,polza_not_found_baseline,baseline Polza не found — пропуск
ЦИННАБСИН ТАБЛ. Д/РАССАС. ГОМЕОП. №100 | ДОЙЧЕ ХОМЕОПАТИ-УНИОН ДХУ | ДОЙЧЕ ХОМЕОПАТИ-УНИОН ДХУ,,otc,,otc,,,,,,otc,,,,otc,1800,337,drug,Циннабсин,таблетки,,перорально,"Из текста извлекаются форма выпуска (таблетки для рассасывания) и количество (№100). Активное вещество не указано, поэтому МНН не определяется. Гомеопатический препарат, без детских указаний, поэтому возрастная группа — взрослые.",not_found,,,not_found,1,"[""ЦИННАБСИН таблетки для рассасывания гомеопатические МНН"", ""Cinnabsin Deutsche Homöopathie-Union МНН международное непатентованное наименование"", ""Циннабсин гомеопатический препарат состав""]",3,2,14079,1869,460,2329,,qwen3.8-max,dashscope,mnn_tool_search_v1,,both_empty,оба пусты,polza_not_found_baseline,baseline Polza не found — пропуск
ШПРИЦ ИНЕКТА ИНСУЛИН. ОДНОРАЗ. 3-КОМП. 1МЛ ИГЛА 26G №1 | БЕЙДЖИНГ ФОРНЁРС МЕДИКАЛ ЭКВИПМЕНТ КО. | БЕЙДЖИНГ ФОРНЁРС МЕДИКАЛ ЭКВИПМЕНТ КО. | 26 G,,,,,,,,,,,,,,,1402,336,drug,Инекта,,1 мл; игла 26G,инъекционное,"Инсулиновый одноразовый шприц объемом 1 мл с иглой 26G, упаковка №1. МНН, рецептурный статус, нозология и комбинация не применимы для данного товара.",not_found,,,not_found,1,"[""ШПРИЦ ИНЕКТА ИНСУЛИН. ОДНОРАЗ. 3-КОМП. 1МЛ ИГЛА 26G БЕЙДЖИНГ ФОРНЁРС МЕДИКАЛ ЭКВИПМЕНТ МНН"", ""\""ШПРИЦ ИНЕКТА ИНСУЛИН\"" МНН лекарственный препарат"", ""Шприц Инъекта инсулиновый одноразовый 1мл игла 26G Beijing Furners Medical Equipment"", ""Инъекта шприц инсулиновый МНН реестр лекарственных средств""]",4,2,14752,2296,525,2821,,qwen3.8-max,dashscope,mnn_tool_search_v1,,both_empty,оба пусты,polza_not_found_baseline,baseline Polza не found — пропуск
ЦЕРЕБРОЛИЗАТ Р-Р ДЛЯ В/М ВВЕД. АМП. 1МЛ №10 БЕЛМЕДПРЕПАРАТЫ | БЕЛМЕДПРЕПАРАТЫ РУП | БЕЛМЕДПРЕПАРАТЫ РУП,,rx,Мозга крупного рогатого скота гидролизат,rx,,,,,,rx,,,Мозга крупного рогатого скота гидролизат,rx,1989,337,drug,Церебролизат,раствор,1 мл,внутримышечно,"Препарат «Церебролизат» выпускается в виде раствора для внутримышечного введения в ампулах по 1 мл, упаковка №10. МНН в названии не указано, поэтому mnn не заполнен; по применению это ноотропное средство, отпускается по рецепту.",found,Мозга крупного рогатого скота гидролизат,,not_found,1,"[""ЦЕРЕБРОЛИЗАТ раствор для внутримышечного введения МНН"", ""Церебролизат Белмедпрепараты МНН действующее вещество"", ""Церебролизат МНН"", ""Cerebrolysate INN""]",4,2,12906,1832,347,2179,,qwen3.8-max,dashscope,mnn_tool_search_v1,Мозга крупного рогатого скота гидролизат,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ХОНСАТ Р-Р ДЛЯ В/М ВВЕД. 100МГ/МЛ АМП. 2МЛ №5 | Армавирская биологическая фабрика/Эллара ООО | Армавирская биологическая фабрика/Эллара ООО,,rx,Хондроитина сульфат,rx,Хондроитина сульфат,rx,,,Хондроитина сульфат натрия,rx,,,Хондроитина сульфат,rx,2148,337,drug,Хонсат,раствор,100 мг/мл,внутримышечно,"Судя по названию и лекарственной форме, это инъекционный хондропротектор: раствор для в/м введения 100 мг/мл в ампулах по 2 мл №5. Действующее вещество в тексте не указано, поэтому МНН не заполнен. Препарат отпускается по рецепту.",found,Хондроитина сульфат,,not_found,1,"[""ХОНСАТ раствор для внутримышечного введения 100мг/мл МНН"", ""Хонсат препарат МНН действующее вещество""]",2,2,10161,1619,274,1893,,qwen3.8-max,dashscope,mnn_tool_search_v1,Хондроитина сульфат,catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ФОСФОГЛИВ КАПС. №96 | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,otc,Глицирризиновая кислота + Фосфолипиды,otc,Фосфолипиды + Глицирризиновая кислота,otc,"Фосфолипиды, Глицирризиновая кислота",rx,,otc,,,"Глицирризиновая кислота, Фосфолипиды",otc,2811,338,drug,Фосфоглив,капсулы,,перорально,"Препарат распознан как Фосфоглив в форме капсул, упаковка №96. Это комбинированный гепатопротектор без явного указания МНН в тексте, поэтому МНН не заполнено.",found,Глицирризиновая кислота + Фосфолипиды,,not_found,1,"[""Фосфоглив МНН действующее вещество"", ""Фосфоглив капсулы МНН состав""]",2,2,12477,1406,387,1793,,qwen3.8-max,dashscope,mnn_tool_search_v1,"Глицирризиновая кислота, Фосфолипиды",catalog_only,MNN только у каталогов,polza_only,MNN только у Polza baseline
ФУРАЦИЛИН ПОР. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ ПАКЕТ №10 МЕЛИГЕН | МЕЛИГЕН ФП | МЕЛИГЕН ФП,,otc,Нитрофурал,otc,Витамин Е + Ретинол,otc,,,,,,,,otc,2640,338,drug,Мелиген ФП,порошок,20 мг,наружно,"Текст однозначно указывает на препарат Фурацилин (нитрофурал) в форме порошка для приготовления раствора для местного и наружного применения в пакетах №10 по 20 мг. Это безрецептурный антисептик, монокомпонентный; бренд/производитель — Мелиген ФП.",found,Нитрофурал,,not_found,1,"[""Фурацилин пор. д/р-ра д/местн. и наруж. прим. 20мг МНН"", ""Фурацилин МНН нитрофурал международное непатентованное наименование"", ""Фурацилин МНН"", ""Furacilin INN nitrofural""]",4,2,13062,1943,423,2366,,qwen3.8-max,dashscope,mnn_tool_search_v1,,both_empty,оба пусты,polza_only,MNN только у Polza baseline
