product_id,mnn_enrichment_run_id,normalized_text,final_mnn_candidate,final_mnn_method,mnn_enrichment_status,retry_count,search_queries,fallback_queries,top_evidence_urls,top_evidence_titles,top_evidence_sources,research_summary,resolved_rx_otc,resolved_age,needs_human_review,raw_artifact_path
10,459,"НАТРИЯ ХЛОРИД 0,9% 400мл N12 р-р д/инфузий Биосинтез | Биосинтез ПАО | Биосинтез ПАО | N12",Натрия хлорид,enrichment,ok,0,Натрия хлорид МНН ГРЛС | Натрия хлорид рецептурный безрецептурный ГРЛС | Натрия хлорид инструкция применение возраст дети взрослые,,https://www.lsgeotar.ru/drugs/sodium-chloride-ADHG | https://www.rlsnet.ru/drugs/natriya-xlorid-2123 | https://allmed.pro/ru/drugs/natrija-hlorid | https://megapteka.ru/specials/guide_natriya-hlorid-instrukciya-1168 | https://www.vidal.ru/drugs/sodium_chlorid__31235 | https://www.vidal.ru/drugs/sodium-chlorid-60 | https://health.mail.ru/drug/natriya-hlorid-1/ | https://medum.ru/sodium-chloride-for-children | https://health.mail.ru/drug/natriya-hlorid/ | https://www.asna.ru/product/natriya_khlorid/instruction/ | https://steritech.ru/upload/docs/sodium_chloride_instructions_0.9.pdf | https://www.pharmcontrol.ru/registry/drugs/138639/,"Натрия хлорид - Информация о препарате - ЛС ГЭОТАР | Натрия хлорид — инструкция по применению, дозы, побочные действия, аналоги, описание препарата: раствор для инфузий,раствор для инъекций,спрей назальный,растворитель для приготовления лекарственных… | Натрия хлорид рецепт, инструкция по применению, показания, аналоги, состав | Натрия хлорид инструкция по применению: Для чего назначают, как ... | Натрия хлорид инструкция по применению: показания, противопоказания ... | Натрия хлорид инструкция по применению: показания, противопоказания ... | Натрия хлорид раствор - инструкция по применению, цена, дозировки ... | Натрия хлорид для детей — инструкция по применению, цена, отзывы ... | Натрия хлорид None - инструкция по применению, цена, дозировки, аналоги ... | Натрия Хлорид инструкция по применению, состав, побочные эффекты ... | PDF МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ИНСТРУКЦИЯ ПО МЕ | Натрия хлорид - ГРЛС - Фармконтроль",www.lsgeotar.ru | www.rlsnet.ru | allmed.pro | megapteka.ru | www.vidal.ru | www.vidal.ru | health.mail.ru | medum.ru | health.mail.ru | www.asna.ru | steritech.ru | www.pharmcontrol.ru,status=ok | Category=Drug | mnn=Натрия хлорид | RX_OTC=RX | Age=Универсальный | Препарат Натрия хлорид является лекарственным средством (МНН: Натрия хлорид) согласно данным ГРЛС (https://www.pharmcontrol.ru/registry/drugs/138639/). Отпускается по рецепту (https://grls.pharm-portal.ru/grls/209366e9-62f5-4922-9d2d-47c26de20dd2). Применяется у взрослых и…,rx,универсальный,False,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
45,459,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,,,ok,0,АКВИОН КОЖА ВОЛОСЫ НОГТИ МНН ГРЛС | АКВИОН КОЖА ВОЛОСЫ НОГТИ рецептурный безрецептурный ГРЛС | АКВИОН КОЖА ВОЛОСЫ НОГТИ инструкция применение возраст дети взрослые,,https://www.rlsnet.ru/baa/akvion-koza-volosy-i-nogti-86134 | https://kiberis.ru/?p=35810 | https://www.lsgeotar.ru/lv/akvion-kozha-volosi-nogti-25345.html | https://bz.medvestnik.ru/drugs/409738.html | https://akvion.ru/ru/katalog/akvion/akvion-koja-volosy-i-nogti_caps/ | https://akvion.ru/ru/katalog/akvion/akvion-koja-volosy-i-nogti/ | https://akvion.shop/catalog/ot_akviona/akvion_koja_volosy_nogty_caps | https://zdravcity.ru/p_kozha-volosy-i-nogti-akvion-kapsuly895mg-60sht-0269295.html | https://akvion.shop/catalog/ot_akviona/akvion_koja_volosy_nogty | https://zdravcity.ru/p_kozha-volosy-i-nogti-akvion-kapsuly895mg-60sht-0269295.html | https://akvion.ru/ru/katalog/akvion/akvion-koja-volosy-i-nogti_caps/ | https://akvion.ru/ru/katalog/akvion/akvion-koja-volosy-i-nogti/,"Аквион Кожа, волосы и ногти — инструкция по применению, аналоги, форма ... | Аквион Кожа, волосы и ногти :: инструкция по применению. | АКВИОН Кожа, волосы и ногти - инструкция по применению, дозы, состав ... | Аквион кожа, волосы и ногти: инструкция по применению, классификация ... | Аквион Кожа, волосы, ногти в капсулах | АКВИОН Кожа, волосы, ногти - akvion.ru | АКВИОН Кожа, волосы, ногти — комплекс для красоты и укрепления | Кожа, волосы и ногти Аквион капсулы895мг 60шт | Купить комплекс Аквион Кожа, волосы, ногти по цене производителя | Кожа, волосы и ногти Аквион капсулы895мг 60шт | Аквион Кожа, волосы, ногти в капсулах | АКВИОН Кожа, волосы, ногти - akvion.ru",www.rlsnet.ru | kiberis.ru | www.lsgeotar.ru | bz.medvestnik.ru | akvion.ru | akvion.ru | akvion.shop | zdravcity.ru | akvion.shop | zdravcity.ru | akvion.ru | akvion.ru,"status=ok | Category=BAS | RX_OTC=not applicable | Age=Взрослый | Аквион Кожа, волосы и ногти — биологически активная добавка к пище (БАД), а не лекарственное средство. Согласно инструкции на сайте РЛС (https://www.rlsnet.ru/baa/akvion-koza-volosy-i-nogti-86134), это БАД. На сайте lsgeotar.ru указано: ""Для реализации населению в качестве…",unknown,взрослые,True,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
54,459,ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,Гепарин натрия,enrichment,ok,0,Гепарин МНН ГРЛС | Гепарин рецептурный безрецептурный ГРЛС | Гепарин инструкция применение возраст дети взрослые,,https://www.rlsnet.ru/active-substance/geparin-natriya-423 | https://www.rlsnet.ru/active-substance/geparin-3413 | https://grls.rosminzdrav.ru/ | https://edu-rosminzdrav.ru/oficialnyj-buklet-o-geparine-i-opisanie-preparata-geparin-heparin-dlya-sistemnogo-primeneniya/ | https://health.mail.ru/drug/geparin-3/ | https://zdesapteka.ru/instructions/geparin/ | https://tabletka.ru/selection/geparin/instruction/ | https://medspravochnik.com/drugs/antikoagulyanty/geparin/ | https://plusmama.ru/drugs/rus-g/geparin/ | https://www.rlsnet.ru/drugs/geparin-900 | https://health.mail.ru/drug/geparin/ | https://www.vidal.ru/drugs/heparin__4363,"Гепарин натрия — описание вещества, фармакология, применение ... | Гепарин — описание вещества, фармакология, применение, противопоказания ... | rosminzdrav.ru | Официальный Буклет О Гепарине И Описание Препарата Гепарин (Heparin ... | Гепарин раствор - инструкция по применению, цена, дозировки, аналоги ... | Инструкция по применению Гепарин, показания, состав, аналоги | Гепарин инструкция по применению, от чего помогает, дозировка, как ... | Гепарин — инструкция по применению, показания, дозировки и побочные ... | Лекарственный препарат Гепарин, инструкция по применению | Гепарин — инструкция по применению, дозы, побочные действия, аналоги ... | ГЕПАРИН гель - инструкция по применению, цена, дозировки, аналоги ... | Гепарин инструкция по применению: показания, противопоказания, побочное ...",www.rlsnet.ru | www.rlsnet.ru | grls.rosminzdrav.ru | edu-rosminzdrav.ru | health.mail.ru | zdesapteka.ru | tabletka.ru | medspravochnik.com | plusmama.ru | www.rlsnet.ru | health.mail.ru | www.vidal.ru,"status=ok | Category=Drug | mnn=Гепарин натрия | RX_OTC=RX | Age=Универсальный | Препарат Гепарин является лекарственным средством (МНН: Гепарин натрия). Согласно данным Государственного реестра лекарственных средств (ГРЛС), раствор для внутривенного и подкожного введения 5000 МЕ/мл отпускается по рецепту (источник:…",rx,универсальный,False,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
60,459,ДИКЛОФЕНАК 25мг/мл 3мл N10 р-р для в/м введения Дальхимфарм ОАО | Дальхимфарм ОАО | Дальхимфарм ОАО | N10,Диклофенак,enrichment,ok,0,Диклофенак МНН ГРЛС | Диклофенак рецептурный безрецептурный ГРЛС | Диклофенак инструкция применение возраст дети взрослые,,https://www.rlsnet.ru/drugs/diklofenak-1202 | https://www.vidal.ru/drugs/molecule/310 | https://health.mail.ru/drug/diklofenak_2/ | https://www.vidal.ru/drugs/diclofenac__30226 | https://www.vidal.ru/drugs/diclofenac__1101 | https://clinic-mos.ru/articles/nevrologiya/25667-diklofenak-tabletki-instruktsiya-pravila-priema-pobochnye.html | https://lecheniedetej.ru/preparaty/ot-temperatury/diklofenak.html | https://medi.ru/instrukciya/diklofenak_19443/ | https://medi.ru/instrukciya/diklofenak_19441/ | https://grls.pharm-portal.ru/grls/f43c9ecd-b71d-4f8b-8caa-0932535e568a | https://grls.pharm-portal.ru/grls/1aad622f-9125-4c98-8487-6d0a45c1f2a0 | https://www.pharmcontrol.ru/registry/drugs/10817/,"Диклофенак — инструкция по применению, дозы, побочные действия, аналоги ... | Описание ДИКЛОФЕНАК показания, дозировки, противопоказания активного ... | ДИКЛОФЕНАК таблетки - инструкция по применению, цена, дозировки ... | Диклофенак инструкция по применению: показания, противопоказания ... | Диклофенак инструкция по применению: показания, противопоказания ... | Диклофенак таблетки - инструкция по применению, отзывы, цена, аналоги | Диклофенак детям: инструкция по применению таблеток, мази, свечей ... | Диклофенак таблетки 25- Биосинтез - официальная инструкция по ... | Диклофенак таблетки 25 - Мосхимфармпрепараты - официальная инструкция ... | Диклофенак - ГРЛС: Справочник РУ - Государственный реестр лекарственных ... | Диклофенак - ГРЛС: Справочник РУ - Государственный реестр лекарственных ... | Диклофенак - ГРЛС - Фармконтроль",www.rlsnet.ru | www.vidal.ru | health.mail.ru | www.vidal.ru | www.vidal.ru | clinic-mos.ru | lecheniedetej.ru | medi.ru | medi.ru | grls.pharm-portal.ru | grls.pharm-portal.ru | www.pharmcontrol.ru,"status=ok | Category=Drug | mnn=Диклофенак | RX_OTC=RX | Age=Универсальный | Диклофенак является лекарственным средством (НПВС), производным фенилуксусной кислоты. Согласно ГРЛС, препарат отпускается по рецепту (источник: https://grls.pharm-portal.ru/grls/f43c9ecd-b71d-4f8b-8caa-0932535e568a). Инструкции указывают, что препарат применяется у взрослых и…",rx,универсальный,False,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
72,459,ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,,,ok,0,ФАРИНГАЛ МНН ГРЛС | ФАРИНГАЛ рецептурный безрецептурный ГРЛС | ФАРИНГАЛ инструкция применение возраст дети взрослые,,https://www.webapteka.ru/drugbase/name11423.html | https://grls.rosminzdrav.ru/ | https://rlp2.test.egisz.rosminzdrav.ru/registries/grls | https://grls.rosminzdrav.ru/ | https://www.webapteka.ru/drugbase/name11423.html | https://www.eurolab-portal.ru/medicine/vitamins/9800/ | https://www.rlsnet.ru/baa/faringal-10921 | https://www.rlsnet.ru/drugs/faringal-10921 | https://aptekamos.ru/tovary/izdeliya-med-naznacheniya/zveroboya-travy-ekstrakt-kalenduly-cvetkov-ekstrakt-soloki-korneyo-ekstrakt-tysyachelistnika-travy-ekstrakt-shipovnika-plodov-ekstrakt-8467/faringal-sredstvo-antisepticheskoe-dlya-polosti-rta-tabletki-massoyo-0-65g-29229/instrukciya | https://www.medsovet.info/herb/15570 | https://www.vidal.ru/drugs/pharyngol_edas-126__35654 | https://minzdrav.gov.ru/opendata/7707778246-grls/visual,"Фарингал — инструкция по применению, описание | rosminzdrav.ru | Портал ГРЛС ЕГИСЗ | rosminzdrav.ru | Фарингал — инструкция по применению, описание | Фарингал: инструкция по применению, описание, отзывы, применение | Фарингал — инструкция по применению, аналоги, форма выпуска | Фарингал — инструкция по применению, дозы, побочные действия, аналоги ... | Инструкция по применению Фарингал средство антисептическое для полости ... | Лекарство Фарингал - инструкция по применению, отзывы | Фарингол Эдас-126 инструкция по применению: показания, противопоказания ... | Государственный реестр лекарственных средств",www.webapteka.ru | grls.rosminzdrav.ru | rlp2.test.egisz.rosminzdrav.ru | grls.rosminzdrav.ru | www.webapteka.ru | www.eurolab-portal.ru | www.rlsnet.ru | www.rlsnet.ru | aptekamos.ru | www.medsovet.info | www.vidal.ru | minzdrav.gov.ru,"status=ok | Category=Other | RX_OTC=not applicable | Age=Универсальный | По данным поиска, Фарингал представлен как средство антисептическое для полости рта в виде таблеток для рассасывания массой 0,65 г (источник: aptekamos.ru). Инструкция по применению указывает, что таблетку держат во рту до полного рассасывания, принимают 4-6 таблеток в сутки…",unknown,универсальный,True,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
75,459,САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,,,ok,0,САМБУКУС БУЗИНА ИММУНИТЕТ МНН ГРЛС | САМБУКУС БУЗИНА ИММУНИТЕТ рецептурный безрецептурный ГРЛС | САМБУКУС БУЗИНА ИММУНИТЕТ инструкция применение возраст дети взрослые,,https://apteka.ru/product/green-side-sambukus-buzina-immunitet-sirop-150ml-61c46cf973341e2e5c7a457e/instructions/ | https://aptekamos.ru/tovary/bad/sambukus-buzina-immunitet-16707/sambukus-buzina-immunitet-sirop-greenside-150ml-108621/instrukciya | https://apteka.ru/product/green-side-sambukus-buzina-immunitet-sirop-150ml-61c46cf973341e2e5c7a457e/instructions/ | https://medum.ru/sambukus-buzina-immunitet-sirop | https://www.lsgeotar.ru/ru/sambukus-buzina-immunitet-sirop-39768.html | https://medum.ru/sambukus-buzina-immunitet-sirop | https://medum.ru/sambucus-elderberry-immunity-syrup | https://apteka.ru/product/green-side-sambukus-buzina-immunitet-sirop-150ml-61c46cf973341e2e5c7a457e/instructions/ | https://aptekamos.ru/tovary/bad/sambukus-buzina-immunitet-16707/sambukus-buzina-immunitet-sirop-greenside-150ml-108621/instrukciya | https://www.lsgeotar.ru/ru/sambukus-buzina-immunitet-sirop-39768.html | https://zdravcity.ru/p_sambukus-buzina-immunitet-bez-sahara-green-side-grin-sajd-tabletki-700mg-30sht-0185008.html | https://fedsp.com/catalog/health/zdorove-i-profilaktika/green-side-sambukus-buzina-immunitet-30-700-mg-105569477,"Green Side Самбукус Бузина Иммунитет Сироп 150мл Инструкция По ... | Инструкция по применению Самбукус Бузина Иммунитет сироп ""GreenSide ... | Green Side Самбукус Бузина Иммунитет Сироп 150мл Инструкция По ... | Самбукус Бузина Иммунитет сироп — инструкция по применению | справочник ... | Самбукус Бузина Иммунитет сироп - инструкция по применению, дозы ... | Самбукус Бузина Иммунитет сироп — инструкция по применению | справочник ... | Sambucus Бузина Иммунитет Витамин С Цинк — инструкция по применению ... | Green Side Самбукус Бузина Иммунитет Сироп 150мл Инструкция По ... | Инструкция по применению Самбукус Бузина Иммунитет сироп ""GreenSide ... | Самбукус Бузина Иммунитет сироп - инструкция по применению, дозы ... | Самбукус Бузина иммунитет без сахара Green side/Грин Сайд таблетки ... | Самбукус Бузина Иммунитет, №30, 700 мг. Green Side",apteka.ru | aptekamos.ru | apteka.ru | medum.ru | www.lsgeotar.ru | medum.ru | medum.ru | apteka.ru | aptekamos.ru | www.lsgeotar.ru | zdravcity.ru | fedsp.com,"status=ok | Category=BAS | RX_OTC=not applicable | Age=Универсальный | Согласно найденным источникам, Самбукус Бузина Иммунитет является биологически активной добавкой к пище (БАД), а не лекарственным средством. В составе указаны экстракт плодов бузины черной, мед сухой, экстракт травы эхинацеи пурпурной, L-аскорбиновая кислота (витамин С) и…",unknown,универсальный,True,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
86,459,ТАДАЛАФИЛ-АЛИУМ 20мг N8 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N8,Тадалафил,enrichment,ok,0,ТАДАЛАФИЛ-АЛИУМ МНН ГРЛС | ТАДАЛАФИЛ-АЛИУМ рецептурный безрецептурный ГРЛС | ТАДАЛАФИЛ-АЛИУМ инструкция применение возраст дети взрослые,,https://www.vidal.ru/drugs/tadalafil-alium | https://www.lsgeotar.ru/drugs/tadalafil-alium-AFED | https://megapteka.ru/specials/guide_tadalafil-instrukciya-po-1371 | https://health.mail.ru/drug/tadalafilalium/ | https://health.mail.ru/drug/tadalafilalium/ | https://www.vidal.ru/drugs/tadalafil-alium | https://megapteka.ru/specials/guide_tadalafil-instrukciya-po-1371 | https://health.mail.ru/drug/tadalafilalium/ | https://www.vidal.ru/drugs/tadalafil-alium | https://medum.ru/tadalafil-alium | https://www.vidal.ru/drugs/tadalafil-17 | https://www.rlsnet.ru/drugs/tadalafil-76150,"Тадалафил-Алиум инструкция по применению: показания, противопоказания ... | ТАДАЛАФИЛ-АЛИУМ - Информация о препарате - ЛС ГЭОТАР | Тадалафил инструкция по применению, цена: Побочные действия, дозировка ... | Тадалафил-Алиум таблетки - инструкция по применению, цена, дозировки ... | Тадалафил-Алиум таблетки - инструкция по применению, цена, дозировки ... | Тадалафил-Алиум инструкция по применению: показания, противопоказания ... | Тадалафил инструкция по применению, цена: Побочные действия, дозировка ... | Тадалафил-Алиум таблетки - инструкция по применению, цена, дозировки ... | Тадалафил-Алиум инструкция по применению: показания, противопоказания ... | ТАДАЛАФИЛ-АЛИУМ — инструкция по применению | справочник лекарственных ... | Тадалафил инструкция по применению: показания, противопоказания ... | Тадалафил — инструкция по применению, дозы, побочные действия, аналоги ...",www.vidal.ru | www.lsgeotar.ru | megapteka.ru | health.mail.ru | health.mail.ru | www.vidal.ru | megapteka.ru | health.mail.ru | www.vidal.ru | medum.ru | www.vidal.ru | www.rlsnet.ru,"status=ok | Category=Drug | mnn=тадалафил | RX_OTC=RX | Age=Взрослый | Тадалафил-Алиум является лекарственным средством, действующим веществом которого является тадалафил (МНН). Препарат относится к рецептурным (отпускается по рецепту) и применяется для лечения нарушений эрекции у взрослых. Информация о применении у детей отсутствует в…",rx,взрослые,False,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
249,459,ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,,,ok,0,ОСТЕОМЕД МНН ГРЛС | ОСТЕОМЕД рецептурный безрецептурный ГРЛС | ОСТЕОМЕД инструкция применение возраст дети взрослые,,https://grls.rosminzdrav.ru/ | https://www.vidal.ru/drugs/osteomed | https://edu-rosminzdrav.ru/gosudarstvennyj-reestr-lekarstvennyx-sredstv-rossijskoj-federacii-2/ | https://www.vidal.ru/drugs/osteomed | https://www.eapteka.ru/goods/vitaminy_i_bad/biologicheski_aktivnye_dobavki/bad_vitaminsoderzhashchie_mineraly/vitaminno_mineralnye_kompleksy/osteomed/ | https://grls.rosminzdrav.ru/ | https://www.lsgeotar.ru/supplements/osteomed-AEmL | https://www.vidal.ru/drugs/osteomed | https://medum.ru/osteomed | https://www.vidal.ru/drugs/osteomed-forte | https://medum.ru/osteomed-tabletki | https://www.webapteka.ru/drugbase/name67219.html,"rosminzdrav.ru | Остеомед инструкция по применению: показания, противопоказания ... | ГОСУДАРСТВЕННЫЙ РЕЕСТР ЛЕКАРСТВЕННЫХ СРЕДСТВ РОССИЙСКОЙ ФЕДЕРАЦИИ | Остеомед инструкция по применению: показания, противопоказания ... | Остеомед - купить, цена и отзывы, Остеомед инструкция по применению ... | rosminzdrav.ru | ОСТЕОМЕД - Общая информация - ЛС ГЭОТАР | Остеомед инструкция по применению: показания, противопоказания ... | ОСТЕОМЕД — инструкция по применению | справочник лекарственных средств ... | Остеомед Форте инструкция по применению: показания, противопоказания ... | ОСТЕОМЕД таблетки — инструкция по применению | лекарственный справочник ... | ОСТЕОМЕД — инструкция по применению, описание, вопросы по препарату",grls.rosminzdrav.ru | www.vidal.ru | edu-rosminzdrav.ru | www.vidal.ru | www.eapteka.ru | grls.rosminzdrav.ru | www.lsgeotar.ru | www.vidal.ru | medum.ru | www.vidal.ru | medum.ru | www.webapteka.ru,"status=ok | Category=BAS | RX_OTC=not applicable | Age=Взрослый | Остеомед позиционируется как биологически активная добавка к пище (БАД), а не лекарственное средство. Согласно информации с сайта Vidal, он является дополнительным источником кальция и витамина В6, содержит деценовые кислоты. На сайте eapteka.ru указано, что препарат…",unknown,взрослые,True,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
354,459,"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО",Эхинацеи пурпурной трава,enrichment,ok,0,Эхинацеи пурпурной трава МНН ГРЛС | Эхинацеи пурпурной трава рецептурный безрецептурный ГРЛС | Эхинацеи пурпурной трава инструкция применение возраст дети взрослые,,https://www.rlsnet.ru/active-substance/exinacei-purpurnoi-trava-1801 | https://www.vidal.ru/drugs/echinaceae_purpurae_herba__30449 | https://www.vidal.ru/drugs/echinaceae_purpurae_herba__30448 | https://medum.ru/ekhinacei-purpurnoj-trava | https://health.mail.ru/drug/ehinatsei-purpurnoy-trava/ | https://www.rlsnet.ru/drugs/exinacei-purpurnoi-trava-5427 | https://medi.ru/instrukciya/ehinatsei-purpurnoy-trava_25199/ | https://www.rlsnet.ru/baa/exinacei-purpurnoi-trava-5427 | https://health.mail.ru/drug/ehinatsei-purpurnoy-trava/ | https://medi.ru/instrukciya/ehinatsei-purpurnoy-trava_25199/ | https://medum.ru/ekhinacei-purpurnoj-trava | https://medum.ru/ehkhinacei-purpurnoj-trava,"Эхинацеи пурпурной трава — описание вещества, фармакология, применение ... | Эхинацеи пурпурной трава инструкция по применению: показания ... | Эхинацеи пурпурной трава инструкция по применению: показания ... | Эхинацеи пурпурной трава — инструкция по применению | справочник ... | Эхинацеи пурпурной трава None - инструкция по применению, цена ... | Эхинацеи пурпурной трава — инструкция по применению, дозы, побочные ... | Эхинацеи пурпурной трава измельченная - Лек С+ - официальная инструкция ... | Эхинацеи пурпурной трава — инструкция по применению, аналоги, форма выпуска | Эхинацеи пурпурной трава None - инструкция по применению, цена ... | Эхинацеи пурпурной трава измельченная - Лек С+ - официальная инструкция ... | Эхинацеи пурпурной трава — инструкция по применению | справочник ... | Эхинацеи пурпурной трава — инструкция по применению | Medum.ru",www.rlsnet.ru | www.vidal.ru | www.vidal.ru | medum.ru | health.mail.ru | www.rlsnet.ru | medi.ru | www.rlsnet.ru | health.mail.ru | medi.ru | medum.ru | medum.ru,"status=ok | Category=Drug | mnn=Эхинацеи пурпурной трава | RX_OTC=OTC | Age=Взрослый | Эхинацеи пурпурной трава является лекарственным средством растительного происхождения (иммуностимулирующее средство). Согласно инструкции, препарат противопоказан детям до 12 лет, что подтверждается на health.mail.ru и vidal.ru. Способ применения: взрослые и дети с 12 лет…",otc,взрослые,False,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
1217,459,"ЭВКАЛИПТА ПРУТОВИДНОГО ЛИСТЬЯ Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",Эвкалипта прутовидного листья,enrichment,ok,0,Эвкалипта прутовидного листья МНН ГРЛС | Эвкалипта прутовидного листья рецептурный безрецептурный ГРЛС | Эвкалипта прутовидного листья инструкция применение возраст дети взрослые,,https://medum.ru/ehvkalipta-prutovidnogo-listya | https://www.webapteka.ru/drugbase/name7731.html | https://zdesapteka.ru/instructions/evkalipta-prutovidnogo-listya/ | https://allmed.pro/ru/drugs/evkalipta-prutovidnogo-listja | https://medum.ru/listya-evkalipta-prutovidnogo | https://medi.ru/instrukciya/evkalipta-prutovidnogo-listya_24867/ | https://medum.ru/ehvkalipta-prutovidnogo-listya | https://bookmed.narket.ru/substance/evkalipta-prutovidnogo-list-ya-2414 | https://medi.ru/instrukciya/evkalipta-prutovidnogo-listya_24858/ | https://medvestnik.ru/ls/a0e3f0c5-ba80-4c70-b4b7-e636db184f99.html | https://medum.ru/ehvkalipta-prutovidnogo-listya | https://medum.ru/listya-evkalipta-prutovidnogo,"Эвкалипта прутовидного листья — инструкция по применению | справочник ... | Эвкалипта прутовидного листья — инструкция по применению, описание | Инструкция по применению Эвкалипта прутовидного листья | Эвкалипта прутовидного листья рецепт, инструкция по применению ... | Эвкалипта прутовидного листья — инструкция по применению | Medum.ru | Эвкалипта прутовидного листья измельченные - Ст.-Медифарм - официальная ... | Эвкалипта прутовидного листья — инструкция по применению | справочник ... | Эвкалипта прутовидного листья - инструкция по применению, дозы ... | Эвкалипта прутовидного листья порошок - Лек С+ - официальная инструкция ... | Эвкалипта прутовидного листья: инструкция по применению, классификация ... | Эвкалипта прутовидного листья — инструкция по применению | справочник ... | Эвкалипта прутовидного листья — инструкция по применению | Medum.ru",medum.ru | www.webapteka.ru | zdesapteka.ru | allmed.pro | medum.ru | medi.ru | medum.ru | bookmed.narket.ru | medi.ru | medvestnik.ru | medum.ru | medum.ru,"status=ok | Category=Drug | mnn=Эвкалипта прутовидного листья | RX_OTC=OTC | Age=Универсальный | Эвкалипта прутовидного листья — лекарственное средство растительного происхождения. Согласно инструкции, настой листьев оказывает противомикробное и противовоспалительное действие, повышает секрецию пищеварительных желез (источник:…",otc,универсальный,False,redesign/artifacts/mnn_wave500_v3_searxng_raw.jsonl
