product_id,hard_reason,normalized_text,catalog_mnn,qwen_search_mnn,qwen_vs_catalog_status,searx_mnn,searx_parse_kind,searx_elapsed_ms,searx_ok,searx_retry_mnn,searx_retry_ok,hard_note
15560,wrong_catalog_vs_truth,ЛЕККЕР БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ Р-Р 1% ФЛ. С КИСТЬЮ 20МЛ | ЛЕККЕР ЗАО | ЛЕККЕР ЗАО,"Йод, Калия йодид, Этанол",Бриллиантовый зеленый,conflict,Бриллиантовый зеленый,string,4869,True,,,Каталог дал Йод вместо бриллиантового зелёного
4399,catalog_garbage_sources,ТРИМЕТАЗИДИН МВ РЕНЕВАЛ ТАБЛ. ПРОЛОНГ. ВЫСВ. П/ПЛЕН/ОБ. 35МГ №60 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,триметазидин,qwen_only,Триметазидин,string,6296,True,,,Каталоги дают взаимоисключающие МНН (Нафазолин/АСК/Розувастатин)
11640,catalog_garbage_sources,НИМЕСУЛИД-ВЕРТЕКС ГЕЛЬ Д/НАРУЖ. ПРИМ. 1% ТУБА 20Г | ВЕРТЕКС АО | ВЕРТЕКС АО,,нимесулид,qwen_only,нимесулид,string,7442,True,,,Каталоги полностью мисматчат (Тадалафил/Флуконазол/...)
15745,catalog_garbage_sources,ЛЕВОФЛОКСАЦИН РЕНЕВАЛ ТАБЛ. П/ПЛЕН/ОБ. 500МГ №10 | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,Левофлоксацин,qwen_only,левофлоксацин,string,6602,True,,,Левофлоксацин: каталоги мусорные
2630,catalog_internal_conflict,ФУРАЦИЛИН ТАБЛ. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ №10 ИРБИТСКИЙ ХФЗ | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,,нитрофурал,qwen_only,Нитрофурал,string,5844,True,,,Фурацилин: Нитрофурал vs Прокаин
2640,catalog_internal_conflict,ФУРАЦИЛИН ПОР. Д/Р-РА Д/МЕСТН. И НАРУЖ. ПРИМ. 20МГ ПАКЕТ №10 МЕЛИГЕН | МЕЛИГЕН ФП | МЕЛИГЕН ФП,,Нитрофурал,qwen_only,нитрофурал,string,4936,True,,,Фурацилин порошок: Нитрофурал vs Витамин E
4693,catalog_garbage_sources,"ТОЛПЕРИЗОН+ЛИДОКАИН-БИНЕРГИЯ Р-Р ДЛЯ В/М ВВЕД. 100МГ/МЛ+2,5МГ/МЛ АМП. 1МЛ №10 | КУРСКАЯ БИОФАБРИКА - ФИРМА БИОК ФГУП | КУРСКАЯ БИОФАБРИКА - ФИРМА БИОК ФГУП",,Толперизон+Лидокаин,qwen_only,Толперизон + Лидокаин,multi_list,5159,True,,,Толперизон+Лидокаин: каталоги чужие МНН
4741,incomplete_combo,ТИОЦЕТАМ Р-Р ДЛЯ В/В И В/М ВВЕД. 25МГ/МЛ+100МГ/МЛ АМП. 5МЛ №10 | ОЗОН ООО | ОЗОН ООО,Пирацетам,Морфолиния тиазотат+Пирацетам,conflict,,empty,32620,False,,False,Тиоцетам: в каталоге только Пирацетам
19710,incomplete_combo,ДОРЗОПТ КАПЛИ ГЛАЗН. 2% ФЛ-КАП. 5МЛ №1 | РОМФАРМ КОМПАНИ С.Р.Л. | РОМФАРМ КОМПАНИ С.Р.Л.,"Дорзоламид, Тимолол",дорзоламид,conflict,Дорзоламид,string,4596,True,,,Дорзопт: состав Dорзоламид±Тимолол
14103,incomplete_combo,МАЛЬВАЦИД СУСП. Д/ПРИЕМА ВНУТРЬ ПАК. 15МЛ №20 | АВВА РУС АО | АВВА РУС АО,"Магния гидроксид, Алгелдрат, Бензокаин",Алгелдрат + Магния гидроксид,conflict,Алгелдрат + Магния гидроксид,multi_set_invalid_json,5509,True,,,Мальвацид: пропуск бензокаина
