product_id,run_id,normalized_text,product_kind,medical_device_profile,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_administration_route_raw,attr_dosage_form_raw,attr_age_segment_raw,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
36,327,ТАУФОН ТАБС ЛЮТЕИН N120 таб. покрытые пленочной оболочкой Фармстандарт-УфаВИТА ОАО | Фармстандарт-Уфавита ОАО | Фармстандарт-Уфавита ОАО | N120,vitamin_or_baa,,0.7,"Товар относится к БАД для зрения (vitamin_or_baa, product_family=БАД для зрения), поэтому rx_otc не применим. Указаны форма выпуска, путь введения и фасовка N120; состав комплексный. MNN для БАД не указан, поэтому оставлен null.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,"таблетки, покрытые пленочной оболочкой",,,,Тауфон Табс Лютеин,,,,нутрицевтики,,перорально,,таблетки,,,,универсальный,,120 таблеток,,комбинированный,
91,327,ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,drug,,0.78,"Товар является лекарственным препаратом (drug), поэтому заполнены фармацевтические атрибуты. Тигацил — бренд, МНН — тигециклин; данные о форме, дозировке и упаковке N10 взяты из наименования. Возрастной сегмент не указан.",True,,pending_fallback,direction_select,,semantic_primary,success,внутривенно,лиофилизат для приготовления раствора для инфузий,,Тигециклин,,Тигацил,,rx,,Антибиотики,,внутривенно,,лиофилизат,,50 мг,,,,10 флаконов,,монопрепарат,
254,327,Я САМАЯ ПАЛОЧКИ ВАТНЫЕ №200 СТАКАН | КОТТОН КЛАБ ООО | КОТТОН КЛАБ ООО,medical_device,hygiene_like,0.9,"Товар относится к medical_device (hygiene_like), поэтому фармацевтические атрибуты не применимы. Заполнены только бренд «Я самая» и упаковка: 200 палочек в стакане; возрастной сегмент не указан.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Я самая,,,,,,не применимо,,не применимо,,,,не применимо,,"200 штук, стакан",,,
1347,327,ШПРИЦ ОДНОРАЗ. 3-Х КОМП. 20МЛ LUER-SLIP ИГЛА ПРИЛОЖ. 21G №1 VM | VOGT MEDICAL | VOGT MEDICAL | 21 G,medical_device,clinical_like,0.85,"Медицинское изделие клинического типа: одноразовый шприц 20 мл с иглой 21G, производитель VOGT MEDICAL. MNN, Rx/OTC, нозология и комбинация неприменимы, поэтому заполнены только бренд, путь введения, форма, объём и упаковка.",True,,pending_fallback,direction_select,,semantic_primary,success,инъекционно,шприц одноразовый,,,,VOGT MEDICAL,,,,,,инъекционное,,,,20 мл,,,,"шприц 20 мл, игла 21G, №1",,,
1623,327,ЧЕРНИКА ФОРТЕ С ЛЮТЕИНОМ КАПС. №45 ФАРМ-ПРО | ФАРМ-ПРО ПК ООО | ФАРМ-ПРО ПК ООО,vitamin_or_baa,,0.8,"Товар относится к БАД для зрения, поэтому rx_otc не применим. По названию и форме выпуска определены капсулы для приёма внутрь, состав комбинированный; дозировка и возрастная категория не указаны.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,капсулы,,,,Черника Форте,,,,нутрицевтики,,перорально,,капсулы,,,,универсальный,,45 капсул,,комбинированный (черника + лютеин),
2131,327,ХУДЕЕМ ЗА НЕДЕЛЮ БАТОНЧИК ФРУКТОВЫЙ ОЧИЩАЮЩИЙ КОМПЛЕКС 70Г №7 | ЛЕОВИТ НУТРИО | ЛЕОВИТ НУТРИО,vitamin_or_baa,,0.82,"Товар относится к БАД (нутрицевтикам) по product_kind. Это фруктовый батончик для приема внутрь, поэтому указаны форма выпуска и путь введения, но нет точной разовой дозировки и возрастного сегмента. rx_otc для БАД не применим.",True,,pending_fallback,direction_select,,semantic_primary,success,перорально,батончик,,,,Леовит Нутрио,,,,нутрицевтики,,перорально,,батончик,,,,универсальный,,"70 г, №7",,комбинированный,
4782,327,ТИМОГЕН Р-Р ДЛЯ В/М ВВЕД. 100МКГ/МЛ АМП. 1МЛ №5 | ЦИТОМЕД МБНПК | ЦИТОМЕД МБНПК,drug,,0.72,"Это лекарственный препарат (drug) для инъекций, поэтому pharma-атрибуты применимы. Из названия определены путь введения, форма, дозировка и упаковка; Тимоген является иммуностимулятором, инъекционная форма отпускается по рецепту. Возрастная группа в тексте явно не указана.",True,,pending_fallback,direction_select,,semantic_primary,success,внутримышечно,раствор для внутримышечного введения,,тимоген,,Тимоген,,rx,,иммуностимулятор,,внутримышечно,,раствор,,100 мкг/мл,,,,"ампулы по 1 мл, №5",,монопрепарат,
6117,327,СОЛЬ ДРЕВНЕГО МОРЯ ДЛЯ ВАНН МОРСКАЯ П/ЭТ. 1КГ | ПИК-Н.Н.-ФАРМАСЬЮТИКС ООО | ПИК-Н.Н.-ФАРМАСЬЮТИКС ООО,cosmetic_hygiene,,0.6,"Товар относится к косметике/гигиене (соль для ванн), поэтому фармацевтические атрибуты не применимы. Заполнены только разрешённые признаки: бренд и упаковка. Возрастной сегмент явно не указан.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,СОЛЬ ДРЕВНЕГО МОРЯ,,,,,,не применимо,,не применимо,,,,не применимо,,пакет 1 кг,,,
6168,327,СОЛНЦЕ И ЛУНА ECO ДИСКИ ВАТНЫЕ ХЛОПКОВЫЕ ОВАЛЬНЫЕ №40 | КОТТОН КЛАБ-ГИГИЕНА ООО | КОТТОН КЛАБ-ГИГИЕНА ООО,cosmetic_hygiene,,0.95,"Товар — ватные диски, относится к косметико-гигиеническим средствам, поэтому фармацевтические атрибуты (МНН, рецепт, нозология, путь введения, форма выпуска, дозировка, комбинация) неприменимы. Заполнены только бренд и упаковка (40 шт), возрастной сегмент не указан.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,СОЛНЦЕ И ЛУНА,,,,,,не применимо,,не применимо,,,,не применимо,,40 шт,,,
6633,327,СИМИЛАК КЛАССИК 1 СМЕСЬ СУХАЯ 300Г 0-6МЕС | Arla foods amba arinco | Arla foods amba arinco,other,,0.85,"Товар относится к product_kind=other (детское питание, сухая смесь). Для этого профиля применимы только brand, age_segment и package_hint; фармацевтические атрибуты не используются.",True,,pending_fallback,direction_select,,semantic_primary,success,,,0-6 месяцев,,,Симилак Классик,,,,,,не применимо,,не применимо,,,,дети,,"сухая смесь, 300 г",,,
