product_id,run_id,normalized_text,product_kind,medical_device_profile,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_administration_route_raw,attr_dosage_form_raw,attr_age_segment_raw,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
1347,382,ШПРИЦ ОДНОРАЗ. 3-Х КОМП. 20МЛ LUER-SLIP ИГЛА ПРИЛОЖ. 21G №1 VM | VOGT MEDICAL | VOGT MEDICAL | 21 G,medical_device,clinical_like,0.85,"Медицинское изделие — одноразовый шприц 20 мл с иглой 21G. Возраст не указан, поэтому выбран универсальный сегмент. Атрибуты mnn, rx_otc, nosology и combination_hint неприменимы для данного типа товара.",True,,pending_fallback,direction_select,,semantic_primary,success,инъекционно,шприц одноразовый,универсальный,,,VOGT MEDICAL,,не применимо,,,,инъекционное,,,,20 мл,,универсальный,,№1,,,
1379,382,"ШПРИЦ ИНСУЛИН. МИКРО-ФАЙН ПЛЮС U-100 3-Х КОМП. 0,5МЛ ИГЛА 29G №10 | БЕКТОН ДИКИНСОН | БЕКТОН ДИКИНСОН | 29 G",medical_device,clinical_like,0.8,"Медицинское изделие — инсулиновый шприц. Из текста извлечены объём, форма выпуска и упаковка. Возрастная специфика отсутствует.",True,,pending_fallback,direction_select,,semantic_primary,success,подкожно,шприц,не применимо,,,БЕКТОН ДИКИНСОН,,не применимо,,,,подкожно,,,,"0,5 мл",,не применимо,,10 шт.,,,
1384,382,ШПРИЦ ИНСУЛИН. U-40 ОДНОРАЗ. 3-Х КОМП. 1МЛ ИГЛА 26G №1 SFM | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ | СФМ ГОСПИТАЛ ПРОДАКТС ГМБХ | 26 G,medical_device,clinical_like,0.85,"Товар представляет собой одноразовый инсулиновый шприц U-40 объемом 1 мл с иглой 26G. МНН, рецептурный статус и нозология не применимы для медицинского изделия; возраст не указан, поэтому выбран универсальный сегмент.",True,,pending_fallback,direction_select,,semantic_primary,success,инъекционно,шприц инсулиновый одноразовый,универсальный,,,SFM,,не применимо,,,,инъекционное,,,,1 мл; игла 26G; U-40,,универсальный,,№1,,,
1393,382,ШПРИЦ ИНСУЛИН. U-100 ОДНОРАЗ. 3-Х КОМП. 1МЛ №100 ПАКРО МЕДИКАЛ | PAKRO MEDICAL | PAKRO MEDICAL,medical_device,clinical_like,0.8,"Медицинское изделие: инсулиновый шприц PAKRO MEDICAL, одноразовый, трехкомпонентный, 1 мл (U-100), в упаковке 100 шт. Лекарственного вещества нет, поэтому МНН, рецептурность, нозология и комбинация не применимы.",True,,pending_fallback,direction_select,,semantic_primary,success,подкожно,шприц одноразовый,универсальный,,,PAKRO MEDICAL,,не применимо,,,,подкожно,,,,"1 мл, U-100",,универсальный,,№100,,,
1402,382,ШПРИЦ ИНЕКТА ИНСУЛИН. ОДНОРАЗ. 3-КОМП. 1МЛ ИГЛА 26G №1 | БЕЙДЖИНГ ФОРНЁРС МЕДИКАЛ ЭКВИПМЕНТ КО. | БЕЙДЖИНГ ФОРНЁРС МЕДИКАЛ ЭКВИПМЕНТ КО. | 26 G,medical_device,clinical_like,0.82,"Медицинское изделие — инсулиновый одноразовый шприц объёмом 1 мл с иглой 26G. Атрибуты mnn, rx_otc, nosology и combination_hint неприменимы для данного профиля. Возраст явно не указан, поэтому выбран универсальный сегмент.",True,,pending_fallback,direction_select,,semantic_primary,success,инъекционно,шприц одноразовый,универсальный,,,Инекта,,не применимо,,,,инъекционное,,,,1 мл; игла 26G,,универсальный,,1 шт. (№1),,,
4271,382,"ТУДЖЕО СОЛО СТАР Р-Р ДЛЯ П/К ВВЕД. 300ЕД/МЛ КАРТРИДЖ В ШПРИЦ-РУЧКЕ 1,5МЛ №5 | САНОФИ-АВЕНТИС ДОЙЧЛАНД ГМБХ/САНОФИ-АВЕНТИС ВОСТОК ЗАО | САНОФИ-АВЕНТИС ДОЙЧЛАНД ГМБХ/САНОФИ-АВЕНТИС ВОСТОК ЗАО",drug,,0.85,"Инъекционный препарат Туджео СолоСтар — раствор для подкожного введения 300 ЕД/мл, выпускается в картриджах 1,5 мл №5. МНН в тексте не указан, поэтому поле mnn оставлено пустым. Отпуск по рецепту.",True,,pending_fallback,direction_select,,semantic_primary,success,подкожно,раствор для подкожного введения,взрослые,,,Туджео Соло Стар,,rx,,инсулины,,подкожно,,раствор,,300 ЕД/мл,,взрослые,,"картридж в шприц-ручке 1,5 мл №5",,,
4448,382,ТРЕСИБА Р-Р ДЛЯ П/К ВВЕД. 100ЕД/МЛ КАРТРИДЖ В ШПРИЦ-РУЧКЕ ФЛЕКСПЕН 3МЛ №5 | НОВО НОРДИКС А/С | НОВО НОРДИКС А/С,drug,,0.86,"Препарат Тресиба — раствор инсулина для подкожного введения, отпускается по рецепту. МНН в тексте явно не указано, поэтому не заполнено.",True,,pending_fallback,direction_select,,semantic_primary,success,подкожно,раствор для подкожного введения,взрослые,,,Тресиба,,rx,,Инсулины,,подкожно,,раствор,,100 ЕД/мл,,взрослые,,"шприц-ручка ФлексПен 3 мл, №5",,,
11465,382,НОВОРАПИД ФЛЕКСПЕН Р-Р ДЛЯ В/В П/К ВВЕД. 100ЕД/МЛ КАРТРИДЖ 3МЛ №5+ШПРИЦ-РУЧКА | НОВО НОРДИКС А/С | НОВО НОРДИКС А/С,drug,,0.8,"Препарат НовоРапид ФлексПен — раствор инсулина для инъекций, применяется при сахарном диабете. МНН в тексте не приведён, поэтому не указан. Остальные атрибуты определены из названия.",True,,pending_fallback,direction_select,,semantic_primary,success,"внутривенно, подкожно",раствор для внутривенного и подкожного введения,взрослые,,,НовоРапид ФлексПен,,rx,,Инсулины,,внутривенно,,раствор,,100 ЕД/мл,,взрослые,,картридж 3 мл №5 + шприц-ручка,,,
18848,382,"ИГЛА SFM ДЛЯ ИНСУЛИНОВЫХ ИНЖЕКТОРОВ (ПЕН РУЧЕК) 32G (0,23Х4ММ) №100 | SFM HOSPITAL PRODUCTS GMBH | SFM HOSPITAL PRODUCTS GMBH | 32 G",medical_device,clinical_like,0.93,"Медицинское изделие — игла для инсулиновых шприц-ручек, бренд SFM. В тексте указаны размер 32G (0,23×4 мм) и количество 100 штук. Возраст не уточнён, поэтому выбран универсальный сегмент.",True,,pending_fallback,direction_select,,semantic_primary,success,подкожно,игла,универсальный,,,SFM,,не применимо,,,,подкожно,,,,"32G (0,23×4 мм)",,универсальный,,100 шт.,,,
18857,382,"ИГЛА IME-FINE УНИВЕРСАЛЬНАЯ ИНЪЕКЦИОННАЯ ОДНОРАЗОВАЯ ДЛЯ ИНСУЛИНОВЫХ ШПРИЦ-РУЧЕК 31G 0,26Х5ММ №100 | NINGBO CAREMED MEDICAL PRODUCTS | NINGBO CAREMED MEDICAL PRODUCTS | 31 G",medical_device,clinical_like,0.74,"Медицинское изделие — одноразовая универсальная игла для инсулиновых шприц-ручек. Бренд IME-FINE указан в названии; характеристика 31G 0,26х5 мм и упаковка №100 извлечены из текста. Возрастных ограничений нет, поэтому возрастной сегмент не применим.",True,,pending_fallback,direction_select,,semantic_primary,success,инъекционно,игла инъекционная,не применимо,,,IME-FINE,,не применимо,,,,инъекционное,,,,"31G 0,26х5 мм",,не применимо,,№100,,,
65,383,ЭКОКУРМАКС капс. липосомальный комплекс с куркумином N60 Вектор-Медика АО | Вектор-Медика АО | Вектор-Медика АО | N60,vitamin_or_baa,,0.85,"Товар представляет собой БАД с куркумином в форме капсул, упаковка 60 капсул. Возрастных ограничений не указано, поэтому возрастной сегмент универсальный. По составу это монопрепарат с одним доминирующим нутриентом.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,капсулы,универсальный,Куркумин,,ЭКОКУРМАКС,,не применимо,,отдельные нутриенты,,перорально,,капсулы,,,,универсальный,,60 капсул,,монокомпонентный,
