product_id,run_id,normalized_text,product_kind,medical_device_profile,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_administration_route_raw,attr_dosage_form_raw,attr_age_segment_raw,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
13321,329,МЕТОРТРИТ Р-Р Д/ИН. 10МГ/МЛ ШПРИЦ 1МЛ №1 | РОМФАРМ КОМПАНИ С.Р.Л. | РОМФАРМ КОМПАНИ С.Р.Л.,drug,,0.75,"МЕТОРТРИТ — это торговое наименование, МНН в тексте явно не указано, поэтому mnn не заполнен. Лекарственная форма и концентрация определены из текста: раствор для инъекций, 10 мг/мл. Препарат отпускается по рецепту, возрастная категория — взрослые, так как детские указания отсутствуют.",True,,pending_fallback,direction_select,,semantic_primary,success,инъекционно,раствор для инъекций,взрослые,,,Метотрит,,rx,,,,инъекционное,,раствор,,10 мг/мл,,взрослые,,"шприц 1 мл, №1",,нет,
16137,329,ЛАЙСНЕР СРЕДСТВО ПЕДИКУЛИЦИДНОЕ ФЛ. 100МЛ | Pronova laboratories Bv | Pronova laboratories Bv,other,,0.7,"Средство педикулицидное во флаконе 100 мл, указан бренд ЛАЙСНЕР. Возрастные указания отсутствуют, поэтому возрастной сегмент принят как универсальный. Атрибуты, помеченные как неприменимые, оставлены пустыми.",True,,pending_fallback,direction_select,,semantic_primary,success,,,универсальный,,,ЛАЙСНЕР,,,,,,не применимо,,не применимо,,,,универсальный,,флакон 100 мл,,,
21183,329,ГИПОСАРТ ТАБЛ. 32МГ №28 | ПОЛЬФАРМА АО | ПОЛЬФАРМА АО,drug,,0.78,"Препарат представлен как таблетки 32 мг в упаковке №28. Действующее вещество в тексте не указано, поэтому МНН не заполнено. Препарат относится к гипотензивным средствам для приёма внутрь у взрослых.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,таблетки,взрослые,,,Гипосарт,,rx,,Гипотензивное средство,,перорально,,таблетки,,32 мг,,взрослые,,28 таблеток,,,
22428,329,ВИЗЛЕЯ КАПС. 810МГ №30 | CURTIS HEALTH CAPS SP. Z.O. PL | CURTIS HEALTH CAPS SP. Z.O. PL,vitamin_or_baa,,0.6,"БАД в форме капсул по 810 мг, 30 штук в упаковке. Активное вещество не указано, поэтому МНН и комбинация не определяются. Возраст не маркирован, принят универсальный.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,капсулы,универсальный,,,ВИЗЛЕЯ,,,,нутрицевтики,,перорально,,капсулы,,810 мг,,универсальный,,30 капсул,,,
23155,329,"БРУСНИКИ ЛИСТЬЯ СЕРДЦЕ КОНТИНЕНТА Ф/П 1,5Г №20 ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО",vitamin_or_baa,,0.7,"Растительный БАД на основе листьев брусники, монокомпонентный. Применяется внутрь как фиточай, выпускается в фильтр-пакетах по 1,5 г №20. Явных возрастных ограничений нет, МНН не определяется, так как это не нутриент/комплекс.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,фильтр-пакеты,универсальный,,,Сердце Континента,,,,парафармацевтики,,перорально,,фильтр-пакеты,,"1,5 г",,универсальный,,"20 фильтр-пакетов по 1,5 г",,монокомпонентный,
25424,329,АРТОГИСТАН Р-Р ДЛЯ В/М ВВЕД. 100МГ/МЛ АМП. 2МЛ №10 | ГРОТЕКС ООО | ГРОТЕКС ООО,drug,,0.75,"Из текста читаются торговое наименование, лекарственная форма, путь введения, концентрация и фасовка. Действующее вещество (МНН) в тексте не указано, поэтому оно не заполнено. Инъекционная форма позволяет отнести препарат к рецептурным, возрастной сигнал отсутствует — выбрано взрослые.",True,,pending_fallback,direction_select,,semantic_primary,success,внутримышечно,раствор для внутримышечного введения,взрослые,,,Артогистан,,rx,,,,внутримышечно,,раствор,,100 мг/мл,,взрослые,,ампулы 2 мл №10,,,
16540,330,КРЕМ ДЕТСКИЙ BONA MENTE! ПИТАТЕЛЬНЫЙ 50МЛ | ЗЕЛЕНАЯ ДУБРАВА ЗАО | ЗЕЛЕНАЯ ДУБРАВА ЗАО,cosmetic_hygiene,,0.9,Детский питательный крем Bona Mente выпускается во флаконе/тубе 50 мл. Средство предназначено для наружного ухода за кожей ребенка.,True,,pending_fallback,direction_select,,semantic_primary,success,наружно,крем,дети,,,Bona Mente,,,,,,наружно,,крем,,,,дети,,50 мл,,,
17568,330,"КИОКО ПОМАДА ГИГИЕНИЧЕСКАЯ ПИТАТЕЛЬНАЯ КЛУБНИКА 4,2Г | ГАЛАНТ КОСМЕТИК-М ООО | ГАЛАНТ КОСМЕТИК-М ООО",cosmetic_hygiene,,0.85,"Гигиеническая питательная помада для губ, масса 4,2 г. Возрастная категория явно не указана, поэтому принята как универсальная. Средство относится к косметическим продуктам наружного применения.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,гигиеническая помада,универсальный,,,КИОКО,,,,,,наружно,,,,,,универсальный,,"4,2 г",,,
19469,330,ДЭТА АКВА СЕНСИТИВ АЭРОЗОЛЬ ДЛЯ ЧУВСТВИТЕЛЬНОЙ КОЖИ 150МЛ | ХИМИК ОАО | ХИМИК ОАО,other,,0.82,"Средство «ДЭТА» в форме аэрозоля для чувствительной кожи; по профилю товара МНН, форма, дозировка и классификация неприменимы. Возраст в тексте не указан, поэтому выбран универсальный сегмент, из названия считывается объём 150 мл.",True,,pending_fallback,direction_select,,semantic_primary,success,,,универсальный,,,ДЭТА,,,,,,не применимо,,не применимо,,,,универсальный,,150 мл,,,
21918,330,ВИШИ ДЕЗОДОРАНТ-АНТИПЕРСПИРАНТ CLINICAL CONTROL 96Ч ФЛ. 50МЛ | ЛОРЕАЛЬ АО | ЛОРЕАЛЬ АО,cosmetic_hygiene,,0.7,"Косметическое гигиеническое средство — дезодорант-антиперспирант бренда Vichy. Применяется наружно, выпускается во флаконе объёмом 50 мл. Возрастная аудитория явно не указана, поэтому выбрано универсальное значение.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,,универсальный,,,Виши,,,,,,наружно,,,,,,универсальный,,50 мл,,,
