normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc
АСКОРУТИН 50мг+50мг N50 таб. Фармцентр вилар АО | Фармцентр Вилар АО | Фармцентр Вилар АО | N50,,otc,,,Аскорбиновая кислота+Рутозид,otc,"Аскорбиновая кислота, Рутозид",,Аскорбиновая кислота,otc,,,"Аскорбиновая кислота, Рутозид",otc
ТАУФОН ТАБС ЛЮТЕИН N120 таб. покрытые пленочной оболочкой Фармстандарт-УфаВИТА ОАО | Фармстандарт-Уфавита ОАО | Фармстандарт-Уфавита ОАО | N120,Комплекс,,,otc,,,,,,otc,,,,otc
"БИФРАДУАЛ 0,25мг/мл + 0,5мг/мл 20мл р-р д/ингаляций ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО",,rx,,,Ипратропия бромид + Фенотерол,rx,"Фенотерол, Ипратропия бромид",rx,Фенотерол,rx,,,"Фенотерол, Ипратропия бромид",rx
КОЛИСТИН 80мг (1000000 ЕД) N28 порошок д/приготовления р-ра д/ингаляций Кселлия Фармасьютикалс АпС | Кселлия фармасьютикалс АпС | Кселлия фармасьютикалс АпС | N28,Колистин,rx,,,,,Колистиметат натрия,rx,,,,,Колистиметат натрия,
"БИСОМОР 2,5мг N30 таб. покрытые пленочной оболочкой Эдж Фарма Прайвет | Эдж Фарма Прайвет Лимитед | Эдж Фарма Прайвет Лимитед | N30",,рецептурный,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,,,Бисопролол,rx
ЭКОКУРМАКС капс. липосомальный комплекс с куркумином N60 Вектор-Медика АО | Вектор-Медика АО | Вектор-Медика АО | N60,Куркумин,,,,,,,,,,,,,
ДИКЛОФАРМ 25мг/мл 3мл N5 р-р для в/м введения ВетПром АД | ВетПром АД | ВетПром АД | N5,,rx,Диклофенак,rx,Диклофенак,otc,Диклофенак,rx,Диклофенак,otc,,,Диклофенак,rx
ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,,рецептурный,Тигециклин,rx,,,,,Тигециклин,rx,,,Тигециклин,rx
"МЕКСИКОР 50мг/мл 5мл N20 р-р для в/в и в/м введения ГосЗМП, ФГУП | Госзмп ФГУП | Госзмп ФГУП | N20",,рецептурный,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx
ЮНИДОКС СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 100МГ №20 | ЗИО-ЗДОРОВЬЕ ЗАО | ЗИО-ЗДОРОВЬЕ ЗАО,,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,,,Доксициклин,rx
ЭФФЕРАЛГАН ТАБЛ. ШИПУЧ. 500МГ №16 | УПСА САС | УПСА САС,,otc,Парацетамол,otc,Парацетамол,otc,Парацетамол,,Парацетамол,otc,,,Парацетамол,otc
ЭТОРЕЛЕКС ТАБЛ. П/ПЛЕН/ОБ. 90МГ №28 | ФАРМАСИНТЕЗ АО | ФАРМАСИНТЕЗ АО,,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,,,Эторикоксиб,rx
ЭНАП ТАБЛ. 5МГ №20 | КРКА-РУС ООО | КРКА-РУС ООО,,rx,Эналаприл,rx,Эналаприл,rx,Эналаприл,rx,Эналаприл,rx,,,Эналаприл,rx
