normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc,product_id,run_id,product_kind,attr_brand,attr_dosage_form,attr_dosage,attr_administration_route,semantic_explanation,qwen_search_status,qwen_search_mnn
АСКОРУТИН 50мг+50мг N50 таб. Фармцентр вилар АО | Фармцентр Вилар АО | Фармцентр Вилар АО | N50,,otc,,,Аскорбиновая кислота+Рутозид,otc,"Аскорбиновая кислота, Рутозид",,Аскорбиновая кислота,otc,,,"Аскорбиновая кислота, Рутозид",otc,19,331,drug,Аскорутин,таблетки,50мг+50мг,перорально,"В тексте указано торговое название «Аскорутин», форма «таблетки», дозировка 50мг+50мг и упаковка N50. Активные вещества явно не перечислены, поэтому МНН не заполнен. Препарат относится к ангиопротекторам и отпускается без рецепта.",found,Аскорбиновая кислота + Рутозид
"БИФРАДУАЛ 0,25мг/мл + 0,5мг/мл 20мл р-р д/ингаляций ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО",,rx,,,Ипратропия бромид + Фенотерол,rx,"Фенотерол, Ипратропия бромид",rx,Фенотерол,rx,,,"Фенотерол, Ипратропия бромид",rx,41,332,drug,Бифрадуал,раствор,"0,25 мг/мл + 0,5 мг/мл",ингаляционно,"Препарат представляет собой комбинированный раствор для ингаляций с двумя действующими веществами, но их МНН в тексте не указаны. По названию, концентрации и лекарственной форме это бронхолитическое средство. Упаковка — 20 мл.",found,Ипратропия бромид + Фенотерол
КОЛИСТИН 80мг (1000000 ЕД) N28 порошок д/приготовления р-ра д/ингаляций Кселлия Фармасьютикалс АпС | Кселлия фармасьютикалс АпС | Кселлия фармасьютикалс АпС | N28,Колистин,rx,,,,,Колистиметат натрия,rx,,,,,Колистиметат натрия,,46,332,drug,,порошок,80 мг (1 000 000 ЕД),ингаляционно,"Препарат представляет собой антибиотик колистин в форме порошка для ингаляционного раствора. Дозировка указана как 80 мг (1 000 000 ЕД), упаковка — N28. Явного детского сигнала нет, поэтому возрастной сегмент принят как взрослый.",found,колистиметат натрия
"БИСОМОР 2,5мг N30 таб. покрытые пленочной оболочкой Эдж Фарма Прайвет | Эдж Фарма Прайвет Лимитед | Эдж Фарма Прайвет Лимитед | N30",,рецептурный,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,,,Бисопролол,rx,55,332,drug,Бисомор,таблетки,"2,5 мг",перорально,"Препарат БИСОМОР представлен таблетками в пленочной оболочке по 2,5 мг, в упаковке 30 штук. Это рецептурное сердечно-сосудистое средство, предположительно относящееся к бета-адреноблокаторам; МНН в тексте не указан.",found,Бисопролол
ДИКЛОФАРМ 25мг/мл 3мл N5 р-р для в/м введения ВетПром АД | ВетПром АД | ВетПром АД | N5,,rx,Диклофенак,rx,Диклофенак,otc,Диклофенак,rx,Диклофенак,otc,,,Диклофенак,rx,67,333,drug,Диклофарм,раствор,25 мг/мл,внутримышечно,"В наименовании указаны концентрация, объём, лекарственная форма и способ введения — раствор для внутримышечного введения. Действующее вещество как МНН в тексте явно не читается, поэтому МНН не заполнен. Возрастных детских сигналов нет, поэтому для типичного инъекционного препарата указан возрастной сегмент «взрослые».",found,диклофенак
ТИГАЦИЛ 50мг N10 лиофилизат д/приготовления р-ра д/инфузий Wyeth Lederle S.p.A | Wyeth lederle Spa | Wyeth lederle Spa | N10,,рецептурный,Тигециклин,rx,,,,,Тигециклин,rx,,,Тигециклин,rx,91,334,drug,Тигацил,лиофилизат,50 мг,внутривенно,"Препарат Тигацил представлен лиофилизатом для приготовления раствора для инфузий, дозировка 50 мг, в упаковке N10. В тексте не указано МНН, поэтому mnn=null. По названию и лекарственной форме определён рецептурный антибактериальный препарат для внутривенного введения.",found,тигециклин
"МЕКСИКОР 50мг/мл 5мл N20 р-р для в/в и в/м введения ГосЗМП, ФГУП | Госзмп ФГУП | Госзмп ФГУП | N20",,рецептурный,Этилметилгидроксипиридина сукцинат,rx,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,,,Этилметилгидроксипиридина сукцинат,rx,145,334,drug,Мексикор,раствор,50 мг/мл,внутримышечно,"В названии указан торговый бренд «Мексикор» и лекарственная форма, но действующее вещество явно не читается, поэтому МНН не заполнен. Препарат представляет собой инъекционный раствор, что указывает на рецептурный отпуск и путь введения в/в и в/м; в упаковке 20 ампул по 5 мл.",found,этилметилгидроксипиридина сукцинат
ЮНИДОКС СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 100МГ №20 | ЗИО-ЗДОРОВЬЕ ЗАО | ЗИО-ЗДОРОВЬЕ ЗАО,,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,Доксициклин,rx,,,Доксициклин,rx,310,334,drug,Юнидокс Солютаб,таблетки,100 мг,перорально,"Юнидокс Солютаб — торговое название препарата с действующим веществом доксициклин, антибиотиком из группы тетрациклинов. Препарат применяется внутрь, выпускается в форме диспергируемых таблеток по 100 мг и отпускается по рецепту.",found,Доксициклин
ЭФФЕРАЛГАН ТАБЛ. ШИПУЧ. 500МГ №16 | УПСА САС | УПСА САС,,otc,Парацетамол,otc,Парацетамол,otc,Парацетамол,,Парацетамол,otc,,,Парацетамол,otc,358,334,drug,Эффералган,таблетки,500 мг,перорально,"По тексту определен препарат Эффералган в форме шипучих таблеток 500 мг, упаковка №16. Действующее вещество в названии не указано, поэтому МНН не заполняется. Препарат относится к анальгетикам-антипиретикам, отпускается без рецепта и предназначен для взрослых.",found,парацетамол
ЭТОРЕЛЕКС ТАБЛ. П/ПЛЕН/ОБ. 90МГ №28 | ФАРМАСИНТЕЗ АО | ФАРМАСИНТЕЗ АО,,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,,,Эторикоксиб,rx,459,334,drug,Эторелекс,таблетки,90 мг,перорально,"В тексте указано торговое наименование, лекарственная форма и дозировка, но действующее вещество явно не приведено. Судя по названию и форме, это рецептурный препарат для взрослых, применяемый внутрь.",found,Эторикоксиб
