normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc
ШИПОВНИКА ПЛОДЫ 100Г ЗДОРОВЬЕ | ЗДОРОВЬЕ ФИРМА ООО | ЗДОРОВЬЕ ФИРМА ООО,Шиповника плоды,otc,,,Этилметилгидроксипиридина сукцинат,rx,,,,otc,,,Этилметилгидроксипиридина сукцинат,
ФЛУОМИЗИН ТАБЛ. ВАГ. 10МГ №6 | РОТТЕНДОРФ ФАРМА ГМБХ/МЕДИНОВА АГ | РОТТЕНДОРФ ФАРМА ГМБХ/МЕДИНОВА АГ,декалиния хлорид,rx,Деквалиния хлорид,otc,Деквалиния хлорид,otc,Деквалиния хлорид,,Деквалиния хлорид,otc,,,Деквалиния хлорид,otc
ФЛУИМУЦИЛ ГРАН. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 200МГ ПАК. №20 | ЗАМБОН СВИТЦЕЛАНД ЛТД. | ЗАМБОН СВИТЦЕЛАНД ЛТД.,Ацетилцистеин,rx,Ацетилцистеин,otc,Ацетилцистеин,rx,,,Ацетилцистеин,otc,,,Ацетилцистеин,otc
ТРОМБОСТЕН ТАБЛ. КИШ-РАСТ. П/ПЛЕН/ОБ. 50МГ №100 | ОЗОН ООО | ОЗОН ООО,,rx,Ацетилсалициловая кислота,otc,Ацетилсалициловая кислота,otc,Ацетилсалициловая кислота,,Ацетилсалициловая кислота,otc,,,Ацетилсалициловая кислота,otc
СУПЕР ОМЕГА 3-6-9 ANTI-AGE КАПС. №45 ЭВАЛАР | ЭВАЛАР ЗАО | ЭВАЛАР ЗАО,,,,,Гинкго двулопастного листьев экстракт,otc,,,Общетонизирующие препараты,otc,,,,otc
СПАЙС АКТИВ КОМПЛЕКС ДЛЯ ЗДОРОВЬЯ ЩИТОВИДНОЙ ЖЕЛЕЗЫ С КУРКУМИНОМ КАПС. №60 | ФАРМИНТЕГРО ООО | ФАРМИНТЕГРО ООО,,,,,Пиколинат хрома,otc,,,1-(4-бромфенил)виолуровая кислота,rx,,,,
СОЛУ-КОРТЕФ ЛИОФ. Д/Р-РА ДЛЯ В/В В/М ВВЕД. 100МГ ФЛ. №1 С Р-ЛЕМ 2МЛ | ПФАЙЗЕР МФГ. БЕЛЬГИЯ Н.В. | ПФАЙЗЕР МФГ. БЕЛЬГИЯ Н.В.,Гидрокортизон,rx,Гидрокортизон,rx,Гидрокортизон,rx,Гидрокортизон,rx,Гидрокортизон,rx,,,Гидрокортизон,rx
РОЗУЛИП ПЛЮС КАПС. 20МГ+10МГ №30 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО,,rx,,,Розувастатин+Эзетимиб,rx,"Эзетимиб, Розувастатин",rx,Эзетимиб,rx,,,"Эзетимиб, Розувастатин",rx
РИБОКСИН Р-Р ДЛЯ В/В ВВЕД. 20МГ/МЛ АМП. 5МЛ №10 ДАЛЬХИМФАРМ | ДАЛЬХИМФАРМ ОАО | ДАЛЬХИМФАРМ ОАО,Инозин,rx,Инозин,rx,Инозин,rx,Инозин,rx,Инозин,rx,,,Инозин,rx
РЕАФЕРОН-ЕС-ЛИПИНТ ЛИОФ. Д/СУСП. Д/ПРИЕМА ВНУТРЬ 500ТЫС.МЕ ФЛ. №5 | ВЕКТОР-МЕДИКА АО | ВЕКТОР-МЕДИКА АО,Интерферон альфа-2b,rx,Интерферон альфа-2b,otc,Интерферон альфа-2b,rx,Интерферон альфа-2b,rx,1-(4-бромфенил)виолуровая кислота,rx,,,Интерферон альфа-2b,rx
ПОЛЫНИ ГОРЬКОЙ ТРАВА 50Г КРАСНОГОРСКЛЕКСРЕДСТВА | КРАСНОГОРСКЛЕКСРЕДСТВА | КРАСНОГОРСКЛЕКСРЕДСТВА,Полыни горькой трава,otc,,,Ромашки аптечной цветки,otc,,,,,,,Ромашки аптечной цветки,
ОРНИДАЗОЛ-OBL ТАБЛ. П/ПЛЕН/ОБ. 500МГ №10 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,Орнидазол,rx,Орнидазол,rx,,,Орнидазол,rx,Орнидазол,rx,,,Орнидазол,rx
НЕМОЗОЛ СУСП. Д/ПРИЕМА ВНУТРЬ 100МГ/5МЛ ФЛ. 20МЛ | ИПКА ЛАБОРАТОРИЗ ЛИМИТЕД | ИПКА ЛАБОРАТОРИЗ ЛИМИТЕД,Албендазол,rx,,,Албендазол,rx,,,Албендазол,rx,,,Албендазол,rx
НАТЕКАЛЬ 1000 ТАБЛ. ДИСПЕРГ. 600МГ+1000МЕ №30 | ИТАЛФАРМАКО С.П.А. | ИТАЛФАРМАКО С.П.А.,Кальция карбонат+Колекальциферол,Без рецепта,Кальция карбонат + Колекальциферол,rx,Кальция карбонат + Колекальциферол,rx,"Кальция карбонат, Колекальциферол",rx,Кальция карбонат,otc,,,"Кальция карбонат, Колекальциферол",rx
МОТИЛАК ТАБЛ. П/ПЛЕН/ОБ. 10МГ №30 | ВЕРОФАРМ ООО | ВЕРОФАРМ ООО,домперидон,rx,Домперидон,rx,Домперидон,rx,Домперидон,rx,Домперидон,rx,,,Домперидон,rx
"МОКСОНИДИН-АЛСИ ТАБЛ. П/ПЛЕН/ОБ. 0,4МГ №30 | АЛСИ ФАРМА | АЛСИ ФАРМА",Моксонидин,rx,Моксонидин,rx,Моксонидин,rx,Моксонидин,rx,Моксонидин,rx,,,Моксонидин,rx
МИЛУРИТ ТАБЛ. 300МГ №30 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО,Аллопуринол,rx,Аллопуринол,rx,Аллопуринол,rx,Аллопуринол,rx,Аллопуринол,rx,,,Аллопуринол,rx
ЛАРИГАМА Р-Р ДЛЯ В/М ВВЕД. АМП. 2МЛ №5 | ГРОТЕКС ООО | ГРОТЕКС ООО,,rx,Кромоглициевая кислота,otc,Натрия хлорид,rx,,,,,,,,
КАРДИКЕТ ТАБЛ. ПРОЛОНГ. 40МГ №50 | ЭЙСИКА ФАРМАСЬЮТИКАЛЗ С.Р.Л. | ЭЙСИКА ФАРМАСЬЮТИКАЛЗ С.Р.Л.,Изосорбида динитрат,rx,Изосорбида динитрат,rx,,,,,Изосорбида динитрат,rx,,,Изосорбида динитрат,rx
ЖЕЛЧЕГОННЫЙ СБОР №2 50Г ИВАН-ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО,,otc,,,,otc,"Иван-чай (Кипрей), Кипрей",,,,,,"Иван-чай (Кипрей), Кипрей",
"ДИЛАКСА КАПС. 200МГ №30 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",,,Целекоксиб,rx,Целекоксиб,rx,Целекоксиб,rx,Целекоксиб,rx,,,Целекоксиб,rx
ДАЛАЦИН КРЕМ ВАГ. 2% ТУБА 40Г С АППЛИКАТ. №7 | ФАРМАЦИЯ И АПДЖОН КАМПАНИ ЭЛ ЭЛ СИ | ФАРМАЦИЯ И АПДЖОН КАМПАНИ ЭЛ ЭЛ СИ,Клиндамицин,rx,Клиндамицин,rx,,,,,Клиндамицин,rx,,,Клиндамицин,rx
ГИДРОХЛОРТИАЗИД ТАБЛ. 100МГ №20 ПРАНАФАРМ | ПРАНАФАРМ ООО | ПРАНАФАРМ ООО,Гидрохлоротиазид,rx,Спиронолактон,rx,Метопролол,rx,Атенолол,rx,,,,,,rx
ГЕМАЗА ПОР. ЛИОФ. Д/Р-РА Д/ИН. АМП. 5000ЕД №5 | ФГБУ НМИЦ КАРДИОЛОГИИ МЗ РФ | ФГБУ НМИЦ КАРДИОЛОГИИ МЗ РФ,,rx,,,,,,,,,,,,
БИСАКОДИЛ СУПП. РЕКТ. 10МГ №10 ТУЛЬСКАЯ ФФ | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО,Бисакодил,otc,,,,,Бисакодил,,,,,,Бисакодил,
АФОБАЗОЛ ТАБЛ. 10МГ №60 ОТИСИФАРМ | ОТИСИФАРМ ПРО АО | ОТИСИФАРМ ПРО АО,фабомотизол,rx,Фабомотизол,otc,Фабомотизол,otc,Фабомотизол,,Фабомотизол,otc,,,Фабомотизол,otc
АНАЛЬГИН ТАБЛ. 500МГ №20 БИОХИМИК | БИОХИМИК АО | БИОХИМИК АО,Метамизол натрия,rx,Метамизол натрия,rx,Метамизол натрия,otc,Метамизол натрия,,Метамизол натрия,otc,,,Метамизол натрия,otc
АМОСИН ТАБЛ. 500МГ №10 | СИНТЕЗ | СИНТЕЗ,Амоксициллин,rx,Амоксициллин,rx,Амоксициллин,rx,Амоксициллин,rx,Амоксициллин,rx,,,Амоксициллин,rx
АЛГЕЗИР УЛЬТРА ТАБЛ. П/ПЛЕН/ОБ. 275МГ №10 АЛИУМ | АЛИУМ АО | АЛИУМ АО,,rx,Напроксен,otc,,,,,Напроксен,otc,,,Напроксен,otc
АЕВИТ МЕЛИГЕН КАПС. ПО 200МГ №10 | МЕЛИГЕН ФП | МЕЛИГЕН ФП,Аевит,,,,Рыбий жир,otc,,,,,,,Рыбий жир,
30/60/90 ОМЕГА 3-6-9 КАПС. №60 | ГЕО ОРГАНИКС ЛТД. | ГЕО ОРГАНИКС ЛТД.,Омега-3-6-9,,,,,otc,,,,,,,,
