normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc
ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,Левофлоксацин,rx,Левофлоксацин,rx,Левофлоксацин,rx,,,Левофлоксацин,rx,,,Левофлоксацин,rx
"НАТРИЯ ХЛОРИД 0,9% 400мл N12 р-р д/инфузий Биосинтез | Биосинтез ПАО | Биосинтез ПАО | N12",Натрия хлорид,rx,Натрия хлорид,rx,,,,,,,,,Натрия хлорид,
МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,Мерифатин,rx,Метформин,rx,Метформин,rx,Метформин,rx,Метформин,rx,,,Метформин,rx
МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,,rx,Мелатонин,otc,Мелатонин,otc,Мелатонин,,Мелатонин,otc,,,Мелатонин,otc
АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,,otc,,,Биотин,otc,,,,,,,Биотин,
ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,Гепарин натрия,rx,,,,,Гепарин натрия,rx,,,,,Гепарин натрия,
РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,,,,,Глюкозамин+Хондроитин+MSM,,"Глюкозамин, Хондроитинсульфат",,,,,,"Глюкозамин, MSM, Хондроитин, Хондроитинсульфат",
ДИКЛОФЕНАК 25мг/мл 3мл N10 р-р для в/м введения Дальхимфарм ОАО | Дальхимфарм ОАО | Дальхимфарм ОАО | N10,Диклофенак,rx,,,,,Диклофенак,rx,,,,,Диклофенак,
ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,Эплеренон,rx,Эплеренон,rx,Эплеренон,rx,Эплеренон,rx,Эплеренон,rx,,,Эплеренон,rx
РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,Розувастатин,rx,Розувастатин,rx,,,Розувастатин,rx,Розувастатин,rx,,,Розувастатин,rx
ФАРИНГАЛ таб. 650мг N10 Салута-М | Салута-М ООО | Салута-М ООО | N10,,otc,,,,otc,,,,,,,,
ГАСТРАСАН ЭКСПРЕСС 680мг+80мг N12 таб. жевательные Апельсин ЮжФарм ООО | ЮжФарм ООО | ЮжФарм ООО | N12,,otc,,,Кальция карбонат + Магния карбонат,otc,"Кальция карбонат, Магния карбонат",,Кальция карбонат,otc,,,"Кальция карбонат, Магния карбонат",otc
САМБУКУС БУЗИНА ИММУНИТЕТ таб. массой 700мг N30 Грин сайд ООО | Грин Сайд ООО | Грин Сайд ООО | N30,,otc,,,,,,,,,,,,
ТАДАЛАФИЛ-АЛИУМ 20мг N8 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N8,Тадалафил,rx,Ацикловир,rx,Ривароксабан,rx,Ацикловир,rx,Албендазол,rx,,,Ацикловир,rx
ГЕСПЕРИДИН+ДИОСМИН 100мг+900мг N30 таб. покрытые пленочной оболочкой Алиум АО | Алиум АО | Алиум АО | N30,Диосмин+Гесперидин,otc,,,Бензалкония хлорид + Бензокаин + Тиротрицин,otc,Албендазол,rx,Албендазол,rx,,,Албендазол,rx
ДИНАМИКО ЛОНГ 20мг N8 таб. покрытые пленочной оболочкой Тева Фармацевтические Предприятия Лтд | Тева Фармацевтические Предприятия Лтд. | Тева Фармацевтические Предприятия Лтд. | N8,,rx,Тадалафил,rx,Тадалафил,rx,Тадалафил,rx,Тадалафил,rx,,,Тадалафил,rx
ОСТЕОМЕД таб. N60 Парафарм | Парафарм ООО | Парафарм ООО | N60,,otc,,,,otc,,,,otc,,,,otc
"ЭХИНАЦЕИ ПУРПУРНОЙ ТРАВА 1,5Г Ф/П №20 ИВАН ЧАЙ | ИВАН-ЧАЙ ЗАО | ИВАН-ЧАЙ ЗАО",,otc,,,,otc,,,,,,,,
"ЭТОРИАКС ТАБЛ. П/ПЛЕН/ОБ. 60МГ №14 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,Эторикоксиб,rx,,,Эторикоксиб,rx
ЭСЦИТАЛОПРАМ КАНОН ТАБЛ. П/ПЛЕН/ОБ. 20МГ №28 | КАНОНФАРМА ПРОДАКШН ЗАО | КАНОНФАРМА ПРОДАКШН ЗАО,Эсциталопрам,rx,Эсциталопрам,rx,,,,,Эсциталопрам,rx,,,Эсциталопрам,rx
ЭНАЛАПРИЛ АЛЬФАКТИВ ТАБЛ. 20МГ №20 | ОЗОН ФАРМ ООО | ОЗОН ФАРМ ООО,Эналаприл,rx,Эналаприл,rx,,,Эналаприл,rx,,,,,Эналаприл,rx
ЭЛЬКАР Р-Р Д/ПРИЕМА ВНУТРЬ 300МГ/МЛ ФЛ. 25МЛ | ///ПИК-ФАРМА ЛЕК | ///ПИК-ФАРМА ЛЕК,Левокарнитин,Без рецепта,Левокарнитин,otc,Левокарнитин,otc,Левокарнитин,,Левокарнитин,rx,,,Левокарнитин,otc
"ЭЛИЦЕЯ КУ-ТАБ ТАБЛ. ДИСПЕРГ. В ПОЛОСТИ РТА 10МГ №56 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",,rx,Эсциталопрам,rx,,,,,Эсциталопрам,rx,,,Эсциталопрам,rx
"ЭКЗОРОЛФИНЛАК ЛАК Д/НОГТЕЙ 5% ФЛ. 2,5МЛ | ПАУЛЬ В. БЕЙФЕРС ГМБХ | ПАУЛЬ В. БЕЙФЕРС ГМБХ",Циклопирокс,rx,Аморолфин,otc,,,,,Аморолфин,otc,,,Аморолфин,otc
ЭДАС-117 ЛАРИНОЛ КАПЛИ Д/ПРИЕМА ВНУТРЬ ГОМЕОП. ФЛ. 25МЛ | ЭДАС ХОЛДИНГ ОАО | ЭДАС ХОЛДИНГ ОАО,,Без рецепта,,otc,,,,,,otc,,,,otc
