normalized_text,product_id,product_kind,attr_mnn,attr_rx_otc,attr_brand,attr_dosage,attr_dosage_form,attr_package_hint,mnn_uteka,rx_uteka,url_uteka,title_uteka,brand_uteka,form_uteka,dose_uteka,pack_uteka,match_score_uteka,match_status_uteka,source_class_uteka,query_uteka,ladder_step_uteka,fetched_at_uteka,http_status_uteka,parser_version_uteka,error_uteka,mnn_asna,rx_asna,url_asna,title_asna,brand_asna,form_asna,dose_asna,pack_asna,match_score_asna,match_status_asna,source_class_asna,query_asna,ladder_step_asna,fetched_at_asna,http_status_asna,parser_version_asna,error_asna,mnn_apteka,rx_apteka,url_apteka,title_apteka,brand_apteka,form_apteka,dose_apteka,pack_apteka,match_score_apteka,match_status_apteka,source_class_apteka,query_apteka,ladder_step_apteka,fetched_at_apteka,http_status_apteka,parser_version_apteka,error_apteka,mnn_vidal,rx_vidal,url_vidal,title_vidal,brand_vidal,form_vidal,dose_vidal,pack_vidal,match_score_vidal,match_status_vidal,source_class_vidal,query_vidal,ladder_step_vidal,fetched_at_vidal,http_status_vidal,parser_version_vidal,error_vidal,mnn_stolichki,rx_stolichki,url_stolichki,title_stolichki,brand_stolichki,form_stolichki,dose_stolichki,pack_stolichki,match_score_stolichki,match_status_stolichki,source_class_stolichki,query_stolichki,ladder_step_stolichki,fetched_at_stolichki,http_status_stolichki,parser_version_stolichki,error_stolichki
ХАЙЛЕФЛОКС 500мг N5 таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд. | Хайгланс лабораториз пвт. Лтд | Хайгланс лабораториз пвт. Лтд | N5,8,drug,Левофлоксацин,rx,Хайлефлокс,500 мг,таблетки,N5,Левофлоксацин,rx,https://uteka.ru/product/hajlefloks-238472/,"Хайлефлокс, 500 мг, табл. п.п.о, 5 шт.",,таблетки,500мг,5,1.0000,,product_card,Хайлефлокс 500 мг таблетки,exact,2026-08-13T19:21:24+00:00,0,mnn_source_identity_v1,,Левофлоксацин,rx,https://www.asna.ru/cards/khaylefloks_500mg_n5_tab_khayglans_laboratoriz_pvtltd.html,/cards/khaylefloks_500mg_n5_tab_khayglans_laboratoriz_pvtltd.html,,,,,0.5000,,product_card,Хайлефлокс 500 мг таблетки,exact,2026-08-13T19:21:24+00:00,0,mnn_source_identity_v1,,,,,,,,,,0.0000,,search_only,ХАЙЛЕФЛОКС 500мг таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд 500 мг таблетки,generic,,,mnn_source_identity_v1,not_found,Левофлоксацин,rx,https://www.vidal.ru/drugs/hileflox__28594,Хайлефлокс,,,,,1.0000,,product_card,Хайлефлокс 500 мг таблетки,exact,2026-08-13T19:21:25+00:00,0,mnn_source_identity_v1,,,,,,,,,,0.0000,,search_only,ХАЙЛЕФЛОКС 500мг таб. покрытые пленочной оболочкой Хайгланс Лабораториз Пвт.Лтд 500 мг таблетки,generic,,,mnn_source_identity_v1,search:antibot
"НАТРИЯ ХЛОРИД 0,9% 400мл N12 р-р д/инфузий Биосинтез | Биосинтез ПАО | Биосинтез ПАО | N12",10,drug,Натрия хлорид,rx,,"0,9%",раствор,400мл N12,Натрия хлорид,rx,https://uteka.ru/product/natriya-hlorid-25903/,"Натрия хлорид, 0.9%, р-р д/инф, 400 мл, 1 шт.",,раствор,400мл,1,0.6000,,product_card,"НАТРИЯ ХЛОРИД 0,9% 400мл 0,9% раствор",exact,2026-08-13T19:21:25+00:00,0,mnn_source_identity_v1,,,,https://www.asna.ru/cards/natriya_khlorid_09_200ml_n1_r-r_dinfuziy_fl_pe_groteks.html,/cards/natriya_khlorid_09_200ml_n1_r-r_dinfuziy_fl_pe_groteks.html,,,,,0.0000,,search_only,"НАТРИЯ ХЛОРИД 0,9% 400мл",fallback,2026-08-13T19:21:25+00:00,0,mnn_source_identity_v1,low_match,,,https://apteka.ru/product/niczergolin-binergiya-4-mg-liofilizat-dlya-prigotovleniya-rastvora-dlya-inekczij-ampuly-5-sht--rastvoritel-natriya-xlorid-09-5-ml-ampuly-5-sht-696dedf6c3024b4301fd5b1e/,niczergolin binergiya 4 mg liofilizat dlya prigotovleniya rastvora dlya inekczij ampuly 5 sht  rastvoritel natriya xlorid 09 5 ml ampuly 5 sht,,,,,0.0900,,search_only,"НАТРИЯ ХЛОРИД 0,9% 400мл",fallback,2026-08-13T19:21:26+00:00,0,mnn_source_identity_v1,low_match,,,https://www.vidal.ru/drugs/products,По алфавиту,,по,,,0.0000,,search_only,"НАТРИЯ ХЛОРИД 0,9% 400мл",fallback,2026-08-13T19:21:26+00:00,0,mnn_source_identity_v1,low_match,,,,,,,,,0.0000,,search_only,"НАТРИЯ ХЛОРИД 0,9% 400мл",fallback,,,mnn_source_identity_v1,search:antibot
МЕРИФАТИН МВ 750мг N60 таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | Фармасинтез-Тюмень ООО | N60,28,drug,Мерифатин,rx,Мерифатин,750 мг,таблетки,60 таблеток,Метформин,rx,https://uteka.ru/product/merifatin-mv-376881/,"Мерифатин МВ, 750 мг, табл. с пролонг. высвоб, 60 шт.",,таблетки,750мг,60,1.0000,,product_card,Мерифатин 750 мг таблетки,exact,2026-08-13T19:21:26+00:00,0,mnn_source_identity_v1,,Метформин,rx,https://www.asna.ru/cards/merifatin_mv_750mg_n60_tab_s_prolongirovannym_vysvobozhdeniem_farmasintez-tyumen_ooo.html,/cards/merifatin_mv_750mg_n60_tab_s_prolongirovannym_vysvobozhdeniem_farmasintez-tyumen_ooo.html,,,,,0.5000,,product_card,Мерифатин 750 мг таблетки,exact,2026-08-13T19:21:26+00:00,0,mnn_source_identity_v1,,Метформин,rx,https://apteka.ru/product/merifatin-mv-750-mg-60-sht-blister-tabletki-s-prolongirovannym-vysvobozhdeniem-622b16f05032e8d0b17c8ece/,merifatin mv 750 mg 60 sht blister tabletki s prolongirovannym vysvobozhdeniem,,,,,1.0000,,product_card,Мерифатин 750 мг таблетки,exact,2026-08-13T19:21:26+00:00,0,mnn_source_identity_v1,,Метформин,rx,https://www.vidal.ru/drugs/merifatin-mb-1,Мерифатин МВ,,,,,1.0000,,product_card,Мерифатин 750 мг таблетки,exact,2026-08-13T19:21:26+00:00,0,mnn_source_identity_v1,,,,,,,,,,0.0000,,search_only,МЕРИФАТИН МВ 750мг таб. с пролонгированным высвобождением Фармасинтез-Тюмень ООО 750 мг таблетки,generic,,,mnn_source_identity_v1,search:antibot
МЕЛАДАПТ 3мг N10 таб. покрытые пленочной оболочкой Озон ООО | Озон ООО | Озон ООО | N10,34,drug,,rx,Меладапт,3 мг,таблетки,10 таблеток,Мелатонин,otc,https://uteka.ru/product/meladapt-376844/,"Меладапт, 3 мг, табл. п.п.о, 30 шт.",,таблетки,3мг,30,1.0000,,product_card,Меладапт 3 мг таблетки,exact,2026-08-13T19:21:28+00:00,0,mnn_source_identity_v1,,Мелатонин,otc,https://www.asna.ru/cards/meladapt_3mg_n30_tab_pokrytye_plenochnoy_obolochkoy_ozon_ooo.html,/cards/meladapt_3mg_n30_tab_pokrytye_plenochnoy_obolochkoy_ozon_ooo.html,,,,,0.4000,,product_card,Меладапт 3 мг таблетки,exact,2026-08-13T19:21:29+00:00,0,mnn_source_identity_v1,,Мелатонин,,https://apteka.ru/product/meladapt-3-mg-60-sht-tabletki-pokrytye-plenochnoj-obolochkoj-blister-668e719cdf37923de79b4156/,meladapt 3 mg 60 sht tabletki pokrytye plenochnoj obolochkoj blister,,,,,1.0000,,product_card,Меладапт 3 мг таблетки,exact,2026-08-13T19:21:30+00:00,0,mnn_source_identity_v1,,Мелатонин,otc,https://www.vidal.ru/drugs/meladapt,Меладапт,,,,,1.0000,,product_card,Меладапт 3 мг таблетки,exact,2026-08-13T19:21:30+00:00,0,mnn_source_identity_v1,,,,,,,,,,0.0000,,search_only,МЕЛАДАПТ 3мг таб. покрытые пленочной оболочкой Озон ООО 3 мг таблетки,generic,,,mnn_source_identity_v1,search:antibot
АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. N60 ВТФ ООО | ВТФ ООО | ВТФ ООО | N60,45,drug,,otc,АКВИОН,,таблетки,N60,,,https://uteka.ru/product/akvion-multivitaminy-dlya-zhenshhin-384682/,"Аквион мультивитамины для женщин, табл. п.п.о, 60 шт.",,таблетки,,60,0.9500,,product_card,АКВИОН таблетки,exact,2026-08-13T19:21:32+00:00,0,mnn_source_identity_v1,,Биотин,otc,https://www.asna.ru/cards/akvion_biotin_tab_600mkg_n60_biosfera_ooo.html,/cards/akvion_biotin_tab_600mkg_n60_biosfera_ooo.html,,,,,0.4000,,product_card,АКВИОН таблетки,exact,2026-08-13T19:21:33+00:00,0,mnn_source_identity_v1,,,,https://apteka.ru/product/akvion-morskoj-kollagen-50-sht-tabletki-zhevatelnye-massoj-1960-mg-63ff859c222122894ef0f212/,akvion morskoj kollagen 50 sht tabletki zhevatelnye massoj 1960 mg,,,,50,1.0000,,product_card,АКВИОН таблетки,exact,2026-08-13T19:21:33+00:00,0,mnn_source_identity_v1,,,,https://www.vidal.ru/drugs/products,По алфавиту,,по,,,0.0000,,search_only,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. ВТФ ООО таблетки,generic,2026-08-13T19:21:35+00:00,0,mnn_source_identity_v1,low_match,,,,,,,,,0.0000,,search_only,АКВИОН КОЖА ВОЛОСЫ НОГТИ таб. ВТФ ООО таблетки,generic,,,mnn_source_identity_v1,search:antibot
ГЕПАРИН 5000ЕД/мл 5мл N5 р-р для в/в и п/к введения Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | Армавирская биологическая фабрика фгуп | N5,54,drug,Гепарин натрия,rx,,5000 ЕД/мл,раствор,5 мл №5,,,,,,,,,0.0000,,search_only,ГЕПАРИН 5000ЕД/мл 5мл 5000 ЕД/мл,short,,,mnn_source_identity_v1,not_found,,,https://www.asna.ru/cards/geparin_25g_maz_dnaruzhnogo_primeneniya_nizhfarm.html,/cards/geparin_25g_maz_dnaruzhnogo_primeneniya_nizhfarm.html,,,,,0.0000,,search_only,ГЕПАРИН 5000ЕД/мл 5мл 5000 ЕД/мл,short,2026-08-13T19:21:38+00:00,200,mnn_source_identity_v1,low_match,Гепарин натрия,rx,https://apteka.ru/product/geparin-natriya-5000-meml-5-ml-5-sht-ampuly-rastvor-dlya-vnutrivennogo-i-podkozhnogo-vvedeniya-5e327824ca7bdc0001934929/,geparin natriya 5000 meml 5 ml 5 sht ampuly rastvor dlya vnutrivennogo i podkozhnogo vvedeniya,,,,,0.2571,,product_card,ГЕПАРИН 5000ЕД/мл 5мл 5000 ЕД/мл раствор,exact,2026-08-13T19:21:39+00:00,0,mnn_source_identity_v1,,,,https://www.vidal.ru/drugs/products,По алфавиту,,по,,,0.0000,,search_only,ГЕПАРИН 5000ЕД/мл 5мл 5000 ЕД/мл,short,2026-08-13T19:21:39+00:00,0,mnn_source_identity_v1,low_match,,,,,,,,,0.0000,,search_only,ГЕПАРИН 5000ЕД/мл 5мл 5000 ЕД/мл,short,,,mnn_source_identity_v1,search:antibot
РИТОФЛЕКС МСМ таб. N60 Фармацевтическая Фабрика ООО | Фармацевтическая фабрика ООО | Фармацевтическая фабрика ООО | N60,56,drug,,,РИТОФЛЕКС МСМ,,таблетки,60 таблеток,,,https://uteka.ru/product/ritofleks-msm-373459/,"Ритофлекс МСМ, 500мг + 400мг, табл, 1.3 г, 60 шт.",,таблетки,500мг,60,1.0000,,product_card,РИТОФЛЕКС МСМ таблетки,exact,2026-08-13T19:21:41+00:00,0,mnn_source_identity_v1,,Глюкозамин+Хондроитин+MSM,,https://www.asna.ru/cards/ritofleks_msm_tab_n60_farmatsevticheskaya_fabrika_ooo.html,/cards/ritofleks_msm_tab_n60_farmatsevticheskaya_fabrika_ooo.html,,,,,0.4000,,product_card,РИТОФЛЕКС МСМ таблетки,exact,2026-08-13T19:21:42+00:00,0,mnn_source_identity_v1,,"Глюкозамин, Хондроитинсульфат",,https://apteka.ru/product/erzig-ritofleks-msm-60-sht-tabletki-massoj-13-g-6881ca52930d4277140351ba/,erzig ritofleks msm 60 sht tabletki massoj 13 g,,,,,0.4500,,product_card,РИТОФЛЕКС МСМ таблетки,exact,2026-08-13T19:21:42+00:00,0,mnn_source_identity_v1,,,,https://www.vidal.ru/drugs/products,По алфавиту,,по,,,0.0000,,search_only,РИТОФЛЕКС МСМ таб. Фармацевтическая Фабрика ООО таблетки,generic,2026-08-13T19:21:43+00:00,0,mnn_source_identity_v1,low_match,,,,,,,,,0.0000,,search_only,РИТОФЛЕКС МСМ таб. Фармацевтическая Фабрика ООО таблетки,generic,,,mnn_source_identity_v1,search:antibot
ДИКЛОФЕНАК 25мг/мл 3мл N10 р-р для в/м введения Дальхимфарм ОАО | Дальхимфарм ОАО | Дальхимфарм ОАО | N10,60,drug,Диклофенак,rx,,"25 мг/мл, 3 мл",раствор,"ампулы, 10 шт.",,,,,,,,,0.0000,,search_only,"ДИКЛОФЕНАК 25мг/мл 3мл 25 мг/мл, 3 мл",short,,,mnn_source_identity_v1,not_found,,,https://www.asna.ru/cards/diklofenak_velfarm_25mgml_3ml_n10_r-r_dlya_vm_vvedeniya_velfarm_ooo.html,/cards/diklofenak_velfarm_25mgml_3ml_n10_r-r_dlya_vm_vvedeniya_velfarm_ooo.html,,,,,0.1000,,search_only,"ДИКЛОФЕНАК 25мг/мл 3мл 25 мг/мл, 3 мл",short,2026-08-13T19:21:46+00:00,200,mnn_source_identity_v1,low_match,Диклофенак,rx,https://apteka.ru/product/diklofenak-25-mgml-rastvor-dlya-vnutrimyshechnogo-vvedeniya-3-ml-ampuly-5-sht-5e326bc9ca7bdc000192e980/,diklofenak 25 mgml rastvor dlya vnutrimyshechnogo vvedeniya 3 ml ampuly 5 sht,,,,,0.2812,,product_card,"ДИКЛОФЕНАК 25мг/мл 3мл 25 мг/мл, 3 мл раствор",exact,2026-08-13T19:21:47+00:00,0,mnn_source_identity_v1,,,,https://www.vidal.ru/drugs/products,По алфавиту,,по,,,0.0000,,search_only,"ДИКЛОФЕНАК 25мг/мл 3мл 25 мг/мл, 3 мл",short,2026-08-13T19:21:48+00:00,0,mnn_source_identity_v1,low_match,,,,,,,,,0.0000,,search_only,"ДИКЛОФЕНАК 25мг/мл 3мл 25 мг/мл, 3 мл",short,,,mnn_source_identity_v1,search:antibot
ЭПЛЕРЕНОН-ТЕВА 25мг N30 таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | Тева фармасьютикал воркс прайвэт Лимитед Компани | N30,68,drug,Эплеренон,rx,Эплеренон-Тева,25 мг,таблетки,30 таблеток,Эплеренон,rx,https://uteka.ru/product/eplerenon-401467/,"Эплеренон-Тева, 25 мг, табл. п.п.о, 30 шт.",,таблетки,25мг,30,1.0000,,product_card,Эплеренон-Тева 25 мг таблетки,exact,2026-08-13T19:21:50+00:00,0,mnn_source_identity_v1,,Эплеренон,rx,https://www.asna.ru/cards/eplerenon-teva_25mg_n30_tab_pokrytye_plenochnoy_obolochkoy_teva_pharmaceutical_works_private_co.html,/cards/eplerenon-teva_25mg_n30_tab_pokrytye_plenochnoy_obolochkoy_teva_pharmaceutical_works_private_co.html,,,,,0.5000,,product_card,Эплеренон-Тева 25 мг таблетки,exact,2026-08-13T19:21:51+00:00,0,mnn_source_identity_v1,,Эплеренон,rx,https://apteka.ru/product/eplerenon-teva-25-mg-30-sht-tabletki-pokrytye-plenochnoj-obolochkoj-6566fabdb045b8b580df49be/,eplerenon teva 25 mg 30 sht tabletki pokrytye plenochnoj obolochkoj,,,,,0.4500,,product_card,Эплеренон-Тева 25 мг таблетки,exact,2026-08-13T19:21:51+00:00,0,mnn_source_identity_v1,,Эплеренон,rx,https://www.vidal.ru/drugs/eplerenon-teva,Эплеренон-Тева,,,,,1.0000,,product_card,Эплеренон-Тева 25 мг таблетки,exact,2026-08-13T19:21:51+00:00,0,mnn_source_identity_v1,,,,,,,,,,0.0000,,search_only,ЭПЛЕРЕНОН-ТЕВА 25мг таб. покрытые пленочной оболочкой Тева фармасьютикал воркс прайвэт Лимитед Компани 25 мг таблетки,generic,,,mnn_source_identity_v1,search:antibot
РОЗУВАСТАТИН-ТЕВА 20мг N90 таб. покрытые пленочной оболочкой Р-Фарм Новосёлки | Р-Фарм новосёлки ООО | Р-Фарм новосёлки ООО | N90,70,drug,Розувастатин,rx,Розувастатин-Тева,20 мг,таблетки,N90,Розувастатин,rx,https://uteka.ru/product/rozuvastatin-383231/,"Розувастатин, 20 мг, табл. п.п.о, 90 шт.",,таблетки,20мг,90,0.7000,,product_card,Розувастатин-Тева 20 мг таблетки,exact,2026-08-13T19:21:54+00:00,0,mnn_source_identity_v1,,,,https://www.asna.ru/cards/fikseyd_eko_kotton_nabor_plastyrey_meditsinskikh_bakteritsidnykh_s_soderzhaniem_serebra_72mmkh19mm_n20_nordeplast_lsez.html,/cards/fikseyd_eko_kotton_nabor_plastyrey_meditsinskikh_bakteritsidnykh_s_soderzhaniem_serebra_72mmkh19mm_n20_nordeplast_lsez.html,,,,,0.0000,,search_only,РОЗУВАСТАТИН-ТЕВА 20мг таб. покрытые пленочной оболочкой Р-Фарм Новосёлки 20 мг таблетки,generic,2026-08-13T19:21:56+00:00,200,mnn_source_identity_v1,low_match,Розувастатин,rx,https://apteka.ru/product/rozuvastatin-verteks-20-mg-90-sht-blister-tabletki-pokrytye-plenochnoj-obolochkoj-5e3bd2c0bc272f00016ba27e/,rozuvastatin verteks 20 mg 90 sht blister tabletki pokrytye plenochnoj obolochkoj,,,,,0.3600,,product_card,Розувастатин-Тева 20 мг таблетки,exact,2026-08-13T19:21:57+00:00,0,mnn_source_identity_v1,,Розувастатин,rx,https://www.vidal.ru/drugs/tevastor__33191,Розувастатин-Тева,,,,,1.0000,,product_card,Розувастатин-Тева 20 мг таблетки,exact,2026-08-13T19:21:58+00:00,0,mnn_source_identity_v1,,,,,,,,,,0.0000,,search_only,РОЗУВАСТАТИН-ТЕВА 20мг таб. покрытые пленочной оболочкой Р-Фарм Новосёлки 20 мг таблетки,generic,,,mnn_source_identity_v1,search:antibot
