product_id,run_id,normalized_text,product_kind,medical_device_profile,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_administration_route_raw,attr_dosage_form_raw,attr_age_segment_raw,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
11,331,"РОКСИ КИДС набор гигиенический д/малышей 6в1 0+ Ningbo Raffini Import&Export Co., LTD | Ningbo Raffini Import&Export Co Ltd | Ningbo Raffini Import&Export Co Ltd",cosmetic_hygiene,,0.75,"Товар представляет собой гигиенический набор для малышей 0+ с брендом «РОКСИ КИДС». Возрастная группа и упаковка указаны явно, но конкретная форма выпуска и способ применения отсутствуют, поэтому данные поля не заполнены.",True,,pending_fallback,direction_select,,semantic_primary,success,,,дети,,,РОКСИ КИДС,,,,,,,,,,,,дети,,набор 6в1,,,
12,331,ЭВИТАЛИЯ ЗАКВАСКА СМЕТАНА 2г N2 пак. Империя заквасок/В-МИН | Империя заквасок ООО/В-Мин ООО | Империя заквасок ООО/В-Мин ООО | N2,other,,0.9,"Товар относится к категории «другое» (пищевая закваска), поэтому большинство лекарственных атрибутов неприменимо. В названии читается бренд «Эвиталия» и фасовка 2 г №2 в пакетах.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Эвиталия,,,,,,не применимо,,не применимо,,,,не применимо,,пакет 2 г №2,,,
13,331,ПАРОДОНТОЛ ПРОФ зубная паста профессиональное отбеливание 124г Свобода | Свобода АО | Свобода АО,cosmetic_hygiene,,0.85,"Продукт является косметическим гигиеническим средством — зубной пастой для отбеливания, поэтому MNN, рецептурный статус, нозология и дозировка неприменимы. Указаны форма выпуска и масса 124 г; возрастная группа явно не назначена, выбран универсальный сегмент.",True,,pending_fallback,direction_select,,semantic_primary,success,местно,зубная паста,универсальный,,,Пародонтол Проф,,,,,,,,,,,,универсальный,,124 г,,,
19,331,АСКОРУТИН 50мг+50мг N50 таб. Фармцентр вилар АО | Фармцентр Вилар АО | Фармцентр Вилар АО | N50,drug,,0.85,"В тексте указано торговое название «Аскорутин», форма «таблетки», дозировка 50мг+50мг и упаковка N50. Активные вещества явно не перечислены, поэтому МНН не заполнен. Препарат относится к ангиопротекторам и отпускается без рецепта.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,таблетки,взрослые,,,Аскорутин,,otc,,ангиопротекторы,,перорально,,таблетки,,50мг+50мг,,взрослые,,50 таблеток,,true,
21,331,НУТРИКОМП ДРИНК ПЛЮС смесь жидкая Банан 200мл Нутрихем Диет+Фарма ГмбХ | Нутрихем Диет+Фарма ГмбХ | Нутрихем Диет+Фарма ГмбХ,other,,0.55,"Согласно product_kind 'other' и attr_profile поля mnn, rx_otc, nosology, route, form, dosage и combination_hint не применимы и обнулены. Бренд и объём упаковки считаны из названия. Возрастных указаний нет, поэтому возрастной сегмент оставлен пустым.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,Нутрикомп Дринк Плюс,,,,,,не применимо,,не применимо,,,,не применимо,,200 мл,,,
23,331,АКТИВТЕКС КОМПЛЕКТ N8 для лечения пролежней Альтекс Плюс | Альтекс плюс ООО | Альтекс плюс ООО | N8,medical_device,clinical_like,0.7,"Медицинское изделие для лечения пролежней, бренд Активтекс, применяется наружно. Указан комплект N8, но дозировка в привычном смысле отсутствует. Возрастная привязка не указана, поэтому выбран универсальный возраст.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,комплект,универсальный,,,Активтекс,,,,,,наружно,,,,,,универсальный,,комплект N8,,,
29,331,МИНИМАКС перчатки смотровые латексные нестерильные опудренные гладкие р.L N50 Топ Глав Сдн Бхд | Топ Глав Сдн Бхд | Топ Глав Сдн Бхд | N50,medical_device,clinical_like,0.7,"Медицинское изделие — смотровые латексные перчатки. Бренд МИНИМАКС, размер L, в упаковке 50 штук. Возрастной сегмент определён как взрослые по размеру L.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,перчатки,взрослые,,,МИНИМАКС,,,,,,наружно,,,,L,,взрослые,,50 шт,,,
36,331,ТАУФОН ТАБС ЛЮТЕИН N120 таб. покрытые пленочной оболочкой Фармстандарт-УфаВИТА ОАО | Фармстандарт-Уфавита ОАО | Фармстандарт-Уфавита ОАО | N120,vitamin_or_baa,,0.72,"Препарат относится к БАД для зрения, в названии указаны таурин и лютеин, поэтому действующее вещество можно считать комплексом. Форма выпуска — таблетки в пленочной оболочке, упаковка 120 штук; принимается внутрь. Возрастных ограничений нет, поэтому возрастной сегмент универсальный.",True,,pending_fallback,direction_select,,semantic_primary,success,внутрь,"таблетки, покрытые пленочной оболочкой",универсальный,Комплекс,,Тауфон Табс Лютеин,,,,комплексные профили,,перорально,,таблетки,,,,универсальный,,120 таблеток,,комбинированный,
37,331,ЭВЕРС ЛАЙФ бинт марлевый медицинский стерильный 7х14см Эвтекс ООО | Эвтекс ООО | Эвтекс ООО,medical_device,clinical_like,0.8,"Стерильный марлевый бинт относится к медицинским изделиям для наружного применения. В тексте указан размер 7х14 см. Возрастных ограничений нет, поэтому возрастной сегмент универсальный.",True,,pending_fallback,direction_select,,semantic_primary,success,наружно,бинт марлевый,универсальный,,,ЭВЕРС ЛАЙФ,,,,,,наружно,,,,7х14 см,,универсальный,,,,,
38,331,ПЕРИО ОРИДЖИНАЛ ПАМПИНГ зубная паста 285г LG H&H | Lg H&H | Lg H&H,cosmetic_hygiene,,0.85,"Косметико-гигиеническое средство — зубная паста для ухода за полостью рта. Указан вес тубы 285 г, возрастных ограничений нет. Лекарственные атрибуты неприменимы.",True,,pending_fallback,direction_select,,semantic_primary,success,местно,зубная паста,универсальный,,,LG H&H,,,,,,,,,,,,универсальный,,285 г,,,
