product_id,display_name,normalized_text_full,rx_otc_brand_norm,rx_otc_form_norm,rx_otc_strength_norm,rx_otc_pack_norm,rx_otc_manufacturer_norm,rx_otc_identity_text,rx_otc_identity_query,mnn_if_known,layer,query_kind,query_order,query_template_id,query,when_to_run,reason,stop_if,notes
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q1,grls_primary,1,q1_grls_site,"""Флуконазол-OBL"" ""капсулы"" ""150 мг"" site:grls.rosminzdrav.ru",always_first,brand+form+strength GRLS primary; never MNN-only,tier_1_accepted,Queries designed not executed. Manufacturer tail deduped. Do not query only Флуконазол.
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q1,grls_primary,2,q1_grls_keyword,"""Флуконазол-OBL"" ""капсулы"" ""150 мг"" ГРЛС",if_q1_1_empty_or_landing_only,keyword GRLS discovery without site: restriction,tier_1_accepted,P3 GRLS landing must not be accepted; may trigger tighter Q1.
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q1,grls_primary,3,q1_grls_manufacturer,"""Флуконазол-OBL"" ""Оболенское"" site:grls.rosminzdrav.ru",if_ambiguity_or_near_brand,manufacturer used only as disambiguator,tier_1_accepted,Do not lead with manufacturer. Pack N4 omitted unless still ambiguous.
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q1,grls_primary,4,q1_grls_brand_only,"""Флуконазол-OBL"" site:grls.rosminzdrav.ru",if_previous_q1_empty,shortened Q1 last resort; still brand not MNN,unresolved_if_only_landing,Brand-only GRLS hits are identity C until form/strength confirmed.
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q2,official_instruction,5,q2_instruction_otpusk,"""Флуконазол-OBL"" ""капсулы"" ""150 мг"" инструкция условия отпуска",if_q1_no_tier_1,P1 official instruction / MAH,tier_1_accepted,Status phrase must be in captured page excerpt not LLM summary.
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q2,official_instruction,6,q2_po_receptu,"""Флуконазол-OBL"" ""капсулы"" ""150 мг"" ""по рецепту""",if_q2_5_no_explicit_status,explicit RX phrasing; still requires identity A/B,tier_1_accepted,Query containing status words is not itself evidence.
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q2,official_instruction,7,q2_bez_recepta,"""Флуконазол-OBL"" ""капсулы"" ""150 мг"" ""без рецепта""",if_q2_5_no_explicit_status,explicit OTC phrasing; still requires identity A/B,tier_1_accepted,Human hint for this error row is otc; retrieval must still capture excerpt.
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q2,official_instruction,8,q2_official_site,"""Флуконазол-OBL"" ""капсулы"" ""150 мг"" официальный сайт инструкция",if_budget_remaining_and_no_tier_1,MAH / official site instruction,tier_1_or_budget,Within total budget 8; skip if budget exhausted.
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q3,support_card,9,q3_rls,"""Флуконазол-OBL"" ""капсулы"" ""150 мг"" site:rlsnet.ru",if_no_tier_1_and_budget,P2 supporting card only,never_accept_as_tier_1,M3.0 had no saved evidence (skip_catalog). /inn/ paths are P3.
3065,Флуконазол-OBL капс. 150 мг №4,ФЛУКОНАЗОЛ-OBL КАПС. 150МГ №4 | ОБОЛЕНСКОЕ ФП АО | ОБОЛЕНСКОЕ ФП АО,флуконазол-obl,капсулы,150 мг,N4,оболенское фп ао,флуконазол-obl капсулы 150 мг N4 оболенское фп ао,"""Флуконазол-OBL"" ""капсулы"" ""150 мг""",Флуконазол,Q3,support_card,10,q3_vidal,"""Флуконазол-OBL"" ""капсулы"" ""150 мг"" site:vidal.ru",if_no_tier_1_and_budget,P2 supporting card only,never_accept_as_tier_1,Over budget example: do not run if 8 queries already used; listed to show template.
